Date,Adj Close_GREENPOWER.NS,Close_GREENPOWER.NS,High_GREENPOWER.NS,Low_GREENPOWER.NS,Open_GREENPOWER.NS,Volume_GREENPOWER.NS,Date
2021-12-27,17.863035202026367,17.863035202026367,17.863035202026367,14.778440475463867,14.778440475463867,6873587,2021-12-27
2022-01-03,22.697105407714844,22.697105407714844,22.697105407714844,17.816997528076172,18.73777198791504,42025710,2022-01-03
2022-01-10,21.454059600830078,21.454059600830078,26.1960506439209,21.454059600830078,23.802034378051758,43837397,2022-01-10
2022-01-17,20.026857376098633,20.026857376098633,23.61787986755371,18.369461059570312,21.684253692626953,55795210,2022-01-17
2022-01-24,16.666027069091797,16.666027069091797,19.520431518554688,16.666027069091797,19.060043334960938,26734852,2022-01-24
2022-01-31,15.10071086883545,15.10071086883545,15.83733081817627,13.627470970153809,15.83733081817627,72675212,2022-01-31
2022-02-07,11.785921096801758,11.785921096801758,15.054672241210938,11.785921096801758,15.00863265991211,9771262,2022-02-07
2022-02-14,12.292346954345703,12.292346954345703,12.292346954345703,10.680990219116211,11.233454704284668,54294381,2022-02-14
2022-02-21,9.622098922729492,9.622098922729492,12.200268745422363,9.622098922729492,11.877998352050781,24872358,2022-02-21
2022-02-28,10.128524780273438,10.128524780273438,10.542874336242676,9.161711692810059,9.161711692810059,16531064,2022-02-28
2022-03-07,11.601765632629395,11.601765632629395,11.601765632629395,9.161711692810059,9.622098922729492,5536543,2022-03-07
2022-03-14,12.844812393188477,12.844812393188477,13.995780944824219,12.154231071472168,12.154231071472168,14113432,2022-03-14
2022-03-21,13.397276878356934,13.397276878356934,14.456168174743652,12.246308326721191,12.246308326721191,31355766,2022-03-21
2022-03-28,11.509688377380371,11.509688377380371,13.535392761230469,11.00326156616211,13.535392761230469,69459475,2022-03-28
2022-04-04,11.325532913208008,11.325532913208008,12.522541046142578,10.911184310913086,11.555727005004883,68147388,2022-04-04
2022-04-11,11.509688377380371,11.509688377380371,11.877998352050781,11.187417030334473,11.417610168457031,20299723,2022-04-11
2022-04-18,11.095338821411133,11.095338821411133,11.601765632629395,10.957222938537598,11.509688377380371,24811617,2022-04-18
2022-04-25,10.727028846740723,10.727028846740723,11.233454704284668,9.483983039855957,11.049300193786621,25024179,2022-04-25
2022-05-02,9.898331642150879,9.898331642150879,10.496834754943848,9.714177131652832,10.358718872070312,14401916,2022-05-02
2022-05-09,9.20775032043457,9.20775032043457,10.128524780273438,8.609246253967285,9.898331642150879,15232146,2022-05-09
2022-05-16,10.6349515914917,10.6349515914917,10.6349515914917,9.345867156982422,9.530021667480469,19909946,2022-05-16
2022-05-23,8.333013534545898,8.333013534545898,10.128524780273438,8.333013534545898,10.128524780273438,19696341,2022-05-23
2022-05-30,8.240936279296875,8.240936279296875,9.115673065185547,7.596394062042236,7.918664932250977,46320049,2022-05-30
2022-06-06,8.10282039642334,8.10282039642334,8.333013534545898,7.780549049377441,8.240936279296875,11586359,2022-06-06
2022-06-13,6.859774112701416,6.859774112701416,7.9647040367126465,6.859774112701416,7.918664932250977,12569680,2022-06-13
2022-06-20,6.905813217163086,6.905813217163086,6.997889995574951,6.261270046234131,6.951850891113281,13041535,2022-06-20
2022-06-27,8.701324462890625,8.701324462890625,8.701324462890625,6.951850891113281,7.228084087371826,10334334,2022-06-27
2022-07-04,8.425090789794922,8.425090789794922,9.990408897399902,8.240936279296875,9.115673065185547,28737828,2022-07-04
2022-07-11,8.885478973388672,8.885478973388672,9.622098922729492,8.286974906921387,8.47113037109375,16297941,2022-07-11
2022-07-18,8.83944034576416,8.83944034576416,9.161711692810059,8.701324462890625,9.069634437561035,15130107,2022-07-18
2022-07-25,8.885478973388672,8.885478973388672,8.931517601013184,8.286974906921387,8.83944034576416,14016822,2022-07-25
2022-08-01,9.023594856262207,9.023594856262207,10.036447525024414,8.655284881591797,9.299827575683594,37181081,2022-08-01
2022-08-08,8.517168998718262,8.517168998718262,9.437944412231445,8.425090789794922,9.023594856262207,14755512,2022-08-08
2022-08-15,8.609246253967285,8.609246253967285,8.931517601013184,8.517168998718262,8.517168998718262,12291599,2022-08-15
2022-08-22,8.379053115844727,8.379053115844727,8.885478973388672,8.286974906921387,8.701324462890625,15687961,2022-08-22
2022-08-29,8.793401718139648,8.793401718139648,8.793401718139648,8.010743141174316,8.286974906921387,15983426,2022-08-29
2022-09-05,8.609246253967285,8.609246253967285,9.622098922729492,8.47113037109375,9.20775032043457,39936365,2022-09-05
2022-09-12,8.379053115844727,8.379053115844727,8.931517601013184,8.286974906921387,8.747363090515137,15071726,2022-09-12
2022-09-19,8.194897651672363,8.194897651672363,8.609246253967285,8.148859024047852,8.47113037109375,12259622,2022-09-19
2022-09-26,7.688470840454102,7.688470840454102,8.194897651672363,7.458278179168701,8.056780815124512,9633310,2022-09-26
2022-10-03,8.379053115844727,8.379053115844727,8.609246253967285,7.642433166503906,7.872625827789307,13653544,2022-10-03
2022-10-10,7.826588153839111,7.826588153839111,8.563207626342773,7.826588153839111,8.379053115844727,10545783,2022-10-10
2022-10-17,7.642433166503906,7.642433166503906,8.148859024047852,7.182044982910156,7.918664932250977,13978092,2022-10-17
2022-10-24,7.596394062042236,7.596394062042236,8.010743141174316,7.550354957580566,7.826588153839111,6754589,2022-10-24
2022-10-31,7.9647040367126465,7.9647040367126465,8.47113037109375,7.320160865783691,7.688470840454102,21132049,2022-10-31
2022-11-07,7.918664932250977,7.918664932250977,8.609246253967285,7.826588153839111,8.240936279296875,13649615,2022-11-07
2022-11-14,7.688470840454102,7.688470840454102,8.056780815124512,7.550354957580566,8.010743141174316,9267210,2022-11-14
2022-11-21,7.7345099449157715,7.7345099449157715,8.010743141174316,7.596394062042236,7.7345099449157715,9721140,2022-11-21
2022-11-28,9.023594856262207,9.023594856262207,9.20775032043457,7.7345099449157715,7.826588153839111,40194223,2022-11-28
2022-12-05,8.379053115844727,8.379053115844727,9.345867156982422,8.286974906921387,9.161711692810059,23927273,2022-12-05
2022-12-12,10.174564361572266,10.174564361572266,10.542874336242676,8.148859024047852,8.333013534545898,99682575,2022-12-12
2022-12-19,10.174564361572266,10.174564361572266,12.200268745422363,9.161711692810059,10.450797080993652,219648058,2022-12-19
2022-12-26,9.94437026977539,9.94437026977539,10.865144729614258,9.714177131652832,10.358718872070312,50207034,2022-12-26
2023-01-02,10.266641616821289,10.266641616821289,11.417610168457031,9.898331642150879,10.082487106323242,100257010,2023-01-02
2023-01-09,10.128524780273438,10.128524780273438,10.819107055664062,9.898331642150879,10.496834754943848,39487122,2023-01-09
2023-01-16,10.128524780273438,10.128524780273438,10.358718872070312,9.622098922729492,10.128524780273438,37944574,2023-01-16
2023-01-23,9.115673065185547,9.115673065185547,10.727028846740723,8.931517601013184,10.174564361572266,48551281,2023-01-23
2023-01-30,8.286974906921387,8.286974906921387,9.622098922729492,8.10282039642334,9.299827575683594,37516704,2023-01-30
2023-02-06,8.010743141174316,8.010743141174316,8.609246253967285,7.918664932250977,8.286974906921387,26676103,2023-02-06
2023-02-13,7.780549049377441,7.780549049377441,8.10282039642334,7.550354957580566,8.010743141174316,19297538,2023-02-13
2023-02-20,7.458278179168701,7.458278179168701,8.010743141174316,7.320160865783691,7.780549049377441,16508122,2023-02-20
2023-02-27,8.148859024047852,8.148859024047852,8.517168998718262,7.366199970245361,7.458278179168701,22409081,2023-02-27
2023-03-06,8.379053115844727,8.379053115844727,8.655284881591797,8.148859024047852,8.240936279296875,13211834,2023-03-06
2023-03-13,8.194897651672363,8.194897651672363,8.425090789794922,7.9647040367126465,8.379053115844727,17655824,2023-03-13
2023-03-20,7.780549049377441,7.780549049377441,8.333013534545898,7.642433166503906,8.056780815124512,12078550,2023-03-20
2023-03-27,8.333013534545898,8.333013534545898,8.517168998718262,7.089968204498291,7.780549049377441,26451033,2023-03-27
2023-04-03,8.517168998718262,8.517168998718262,8.793401718139648,8.10282039642334,8.286974906921387,17048557,2023-04-03
2023-04-10,8.379053115844727,8.379053115844727,8.83944034576416,8.240936279296875,8.563207626342773,12185892,2023-04-10
2023-04-17,8.286974906921387,8.286974906921387,9.161711692810059,8.194897651672363,8.333013534545898,29204355,2023-04-17
2023-04-24,8.148859024047852,8.148859024047852,8.701324462890625,8.10282039642334,8.286974906921387,18826229,2023-04-24
2023-05-01,8.47113037109375,8.47113037109375,8.977557182312012,8.148859024047852,8.148859024047852,32407402,2023-05-01
2023-05-08,8.010743141174316,8.010743141174316,8.517168998718262,7.826588153839111,8.47113037109375,20266171,2023-05-08
2023-05-15,8.056780815124512,8.056780815124512,8.286974906921387,7.780549049377441,8.056780815124512,13925200,2023-05-15
2023-05-22,8.286974906921387,8.286974906921387,8.793401718139648,7.918664932250977,8.10282039642334,35364048,2023-05-22
2023-05-29,8.286974906921387,8.286974906921387,8.47113037109375,8.10282039642334,8.333013534545898,16190552,2023-05-29
2023-06-05,9.760214805603027,9.760214805603027,9.990408897399902,8.240936279296875,8.286974906921387,87223200,2023-06-05
2023-06-12,9.760214805603027,9.760214805603027,10.496834754943848,9.57606029510498,10.128524780273438,83475643,2023-06-12
2023-06-19,9.20775032043457,9.20775032043457,9.94437026977539,9.069634437561035,9.806254386901855,25563731,2023-06-19
2023-06-26,10.358718872070312,10.358718872070312,10.542874336242676,9.760214805603027,10.128524780273438,60202114,2023-06-26
2023-07-03,10.496834754943848,10.496834754943848,11.095338821411133,10.266641616821289,10.40475845336914,58665019,2023-07-03
2023-07-10,9.806254386901855,9.806254386901855,10.6349515914917,9.530021667480469,10.588912963867188,29019163,2023-07-10
2023-07-17,10.358718872070312,10.358718872070312,10.6349515914917,9.852293014526367,9.898331642150879,35690355,2023-07-17
2023-07-24,11.924036979675293,11.924036979675293,12.476502418518066,10.450797080993652,10.450797080993652,172898553,2023-07-24
2023-07-31,14.272012710571289,14.272012710571289,15.46902084350586,12.062152862548828,12.062152862548828,269546811,2023-07-31
2023-08-07,13.167082786560059,13.167082786560059,14.548246383666992,12.706695556640625,14.410128593444824,72692802,2023-08-07
2023-08-14,14.149999618530273,14.149999618530273,14.550000190734863,13.443316459655762,13.811626434326172,40274568,2023-08-14
2023-08-21,14.149999618530273,14.149999618530273,15.149999618530273,13.5,14.25,19143873,2023-08-21
2023-08-28,14.0,14.0,14.5,13.5,14.449999809265137,20480728,2023-08-28
2023-09-04,14.149999618530273,14.149999618530273,14.199999809265137,13.649999618530273,14.149999618530273,20066969,2023-09-04
