Date,Adj Close_GREENLAM.NS,Close_GREENLAM.NS,High_GREENLAM.NS,Low_GREENLAM.NS,Open_GREENLAM.NS,Volume_GREENLAM.NS,Date
2023-02-20,154.6286163330078,155.39999389648438,159.0,153.5,159.0,53256,2023-02-20
2023-02-27,152.81268310546875,153.5749969482422,156.97500610351562,149.97500610351562,156.97500610351562,89130,2023-02-27
2023-03-06,157.16595458984375,157.9499969482422,160.85000610351562,152.375,153.8249969482422,75470,2023-03-06
2023-03-13,152.2405242919922,153.0,160.1999969482422,150.5,157.9499969482422,62814,2023-03-13
2023-03-20,152.68829345703125,153.4499969482422,168.47500610351562,150.5,153.0,236124,2023-03-20
2023-03-27,149.23056030273438,149.97500610351562,155.5,140.77499389648438,153.4499969482422,398220,2023-03-27
2023-04-03,153.26043701171875,154.02499389648438,155.39999389648438,144.0749969482422,152.1750030517578,406938,2023-04-03
2023-04-10,152.78781127929688,153.5500030517578,156.52499389648438,150.5500030517578,154.10000610351562,106760,2023-04-10
2023-04-17,151.69325256347656,152.4499969482422,156.5,151.35000610351562,152.1750030517578,111386,2023-04-17
2023-04-24,144.3797607421875,145.10000610351562,153.6999969482422,141.75,151.375,334324,2023-04-24
2023-05-01,146.5439453125,147.27499389648438,154.5,145.10000610351562,145.10000610351562,657298,2023-05-01
2023-05-08,156.7679443359375,157.5500030517578,160.64999389648438,146.52499389648438,146.52499389648438,227312,2023-05-08
2023-05-15,152.04151916503906,152.8000030517578,160.64999389648438,151.0500030517578,159.125,231756,2023-05-15
2023-05-22,155.99679565429688,156.77499389648438,158.60000610351562,152.3249969482422,153.0,154434,2023-05-22
2023-05-29,182.1911163330078,183.10000610351562,188.6999969482422,173.0,180.39999389648438,2316712,2023-05-29
2023-06-05,236.56983947753906,237.75,241.22500610351562,180.5500030517578,185.0,5514642,2023-06-05
2023-06-12,219.67910766601562,220.77499389648438,252.9499969482422,208.8000030517578,240.0,4955066,2023-06-12
2023-06-19,219.33084106445312,220.4250030517578,236.47500610351562,211.1999969482422,222.0,1137730,2023-06-19
2023-06-26,224.65428161621094,225.77499389648438,233.4499969482422,217.52499389648438,217.89999389648438,657750,2023-06-26
2023-07-03,229.08416748046875,229.47500610351562,239.0749969482422,218.35000610351562,224.60000610351562,1172020,2023-07-03
2023-07-10,244.0835723876953,244.5,249.39999389648438,223.5,232.375,1059786,2023-07-10
2023-07-17,236.4715576171875,236.875,247.72500610351562,229.75,247.1999969482422,436538,2023-07-17
2023-07-24,238.96730041503906,239.375,259.5,231.5,238.97500610351562,2226930,2023-07-24
2023-07-31,224.04275512695312,224.4250030517578,244.85000610351562,219.0,239.375,634280,2023-07-31
2023-08-07,224.691650390625,225.0749969482422,231.9499969482422,211.6999969482422,224.5,401140,2023-08-07
2023-08-14,224.36720275878906,224.75,228.5,223.10000610351562,228.5,149696,2023-08-14
2023-08-21,228.3104705810547,228.6999969482422,235.85000610351562,224.39999389648438,224.75,285786,2023-08-21
2023-08-28,221.4471893310547,221.8249969482422,232.52499389648438,217.5,231.47500610351562,253200,2023-08-28
2023-09-04,227.46192932128906,227.85000610351562,233.5,223.10000610351562,225.22500610351562,168026,2023-09-04
2023-09-11,228.41030883789062,228.8000030517578,232.5,214.25,231.72500610351562,166606,2023-09-11
2023-09-18,213.4608154296875,213.8249969482422,232.1999969482422,209.60000610351562,231.97500610351562,467648,2023-09-18
2023-09-25,207.3462371826172,207.6999969482422,220.72500610351562,194.10000610351562,215.0,1032236,2023-09-25
2023-10-02,203.6525421142578,204.0,210.8249969482422,194.75,207.6999969482422,332642,2023-10-02
2023-10-09,203.003662109375,203.35000610351562,206.97500610351562,200.0,200.0,146224,2023-10-09
2023-10-16,202.75408935546875,203.10000610351562,209.1999969482422,200.5749969482422,204.35000610351562,159206,2023-10-16
2023-10-23,215.6570587158203,216.02499389648438,227.47500610351562,200.9250030517578,203.10000610351562,1162180,2023-10-23
2023-10-30,276.6280517578125,277.1000061035156,286.2250061035156,220.25,222.5,11430800,2023-10-30
2023-11-06,279.0988464355469,279.57501220703125,298.125,265.0249938964844,285.0,1409344,2023-11-06
2023-11-13,283.1668701171875,283.6499938964844,298.125,265.79998779296875,281.82501220703125,2355340,2023-11-13
2023-11-20,299.33929443359375,299.8500061035156,312.7749938964844,279.2250061035156,288.0,1842676,2023-11-20
2023-11-27,287.2099914550781,287.70001220703125,304.25,282.0,299.8500061035156,683226,2023-11-27
2023-12-04,278.0755615234375,278.54998779296875,300.0,276.9750061035156,293.82501220703125,687470,2023-12-04
2023-12-11,274.1322937011719,274.6000061035156,288.6000061035156,270.2749938964844,285.0,441092,2023-12-11
2023-12-18,270.91278076171875,271.375,289.5,268.125,277.8500061035156,987450,2023-12-18
2023-12-25,266.3455810546875,266.79998779296875,284.25,265.0,271.375,438248,2023-12-25
2024-01-01,272.9842834472656,273.45001220703125,280.04998779296875,266.32501220703125,273.5,380522,2024-01-01
2024-01-08,269.09088134765625,269.54998779296875,285.75,267.375,276.0,491328,2024-01-08
2024-01-15,261.77838134765625,262.2250061035156,272.79998779296875,255.02499389648438,270.1499938964844,453890,2024-01-15
2024-01-22,257.6104736328125,258.04998779296875,264.75,254.6999969482422,262.2250061035156,98512,2024-01-22
2024-01-29,273.1589660644531,273.625,277.67498779296875,253.97500610351562,257.6000061035156,495774,2024-01-29
2024-02-05,271.2871398925781,271.75,276.0,253.5,258.0,745270,2024-02-05
2024-02-12,265.9462585449219,266.3999938964844,272.0,254.02499389648438,271.45001220703125,601360,2024-02-12
2024-02-19,269.41534423828125,269.875,282.4750061035156,257.70001220703125,267.75,954678,2024-02-19
2024-02-26,268.9910888671875,269.45001220703125,278.29998779296875,258.5249938964844,271.0,890154,2024-02-26
2024-03-04,255.73866271972656,256.17498779296875,274.2250061035156,254.0500030517578,269.79998779296875,396856,2024-03-04
2024-03-11,230.9060516357422,231.3000030517578,256.0,222.60000610351562,256.0,1138852,2024-03-11
2024-03-18,242.8606414794922,243.27499389648438,246.75,215.5,225.52499389648438,843512,2024-03-18
2024-03-25,252.34446716308594,252.77499389648438,265.0,239.0,243.27499389648438,710382,2024-03-25
2024-04-01,288.53271484375,289.0249938964844,295.0,251.5500030517578,256.5249938964844,1478616,2024-04-01
2024-04-08,276.60308837890625,277.07501220703125,299.4750061035156,272.5,290.1000061035156,346014,2024-04-08
2024-04-15,286.6609191894531,287.1499938964844,297.375,268.1000061035156,274.1000061035156,217710,2024-04-15
2024-04-22,302.5088806152344,303.0249938964844,310.0,287.17498779296875,290.0,706216,2024-04-22
2024-04-29,288.3580322265625,288.8500061035156,318.5,288.0,304.45001220703125,746894,2024-04-29
2024-05-06,277.87591552734375,278.3500061035156,292.4750061035156,259.79998779296875,290.07501220703125,491790,2024-05-06
2024-05-13,291.1033630371094,291.6000061035156,307.5,264.20001220703125,278.3500061035156,1683748,2024-05-13
2024-05-20,293.24969482421875,293.75,307.5,285.5249938964844,295.29998779296875,582960,2024-05-20
2024-05-27,284.1152648925781,284.6000061035156,331.0,277.7749938964844,295.79998779296875,3205990,2024-05-27
2024-06-03,294.0483093261719,294.54998779296875,297.625,249.5,284.5,766938,2024-06-03
2024-06-10,304.45556640625,304.9750061035156,314.20001220703125,297.5,297.5,540340,2024-06-10
2024-06-17,306.8265380859375,307.3500061035156,319.5,300.20001220703125,304.9750061035156,443528,2024-06-17
2024-06-24,303.5321350097656,304.04998779296875,317.0,300.57501220703125,308.95001220703125,269742,2024-06-24
2024-07-01,299.0897216796875,299.6000061035156,321.8999938964844,298.125,305.6499938964844,214218,2024-07-01
2024-07-08,285.537841796875,286.0249938964844,299.67498779296875,281.04998779296875,299.67498779296875,800550,2024-07-08
2024-07-15,279.5231018066406,280.0,290.8500061035156,277.67498779296875,286.25,153382,2024-07-15
2024-07-22,279.5480651855469,280.0249938964844,297.92498779296875,273.5,280.0249938964844,382666,2024-07-22
2024-07-29,290.9286193847656,291.42498779296875,299.4750061035156,278.0,284.1000061035156,320206,2024-07-29
2024-08-05,288.4328918457031,288.92498779296875,294.0,277.29998779296875,281.0,207514,2024-08-05
2024-08-12,289.306396484375,289.79998779296875,297.5,276.8999938964844,288.92498779296875,249494,2024-08-12
2024-08-19,290.97857666015625,291.4750061035156,296.4750061035156,283.5,289.79998779296875,243776,2024-08-19
2024-08-26,280.221923828125,280.70001220703125,295.0,274.54998779296875,289.25,259404,2024-08-26
2024-09-02,278.32513427734375,278.79998779296875,287.92498779296875,275.0,280.70001220703125,174150,2024-09-02
2024-09-09,269.68988037109375,270.1499938964844,283.2749938964844,263.8999938964844,277.5,433386,2024-09-09
2024-09-16,268.4420166015625,268.8999938964844,287.625,266.5249938964844,273.25,456394,2024-09-16
2024-09-23,259.0580139160156,259.5,271.2250061035156,251.27499389648438,268.8999938964844,464094,2024-09-23
2024-09-30,256.6121826171875,257.04998779296875,262.57501220703125,245.52499389648438,259.6000061035156,316178,2024-09-30
2024-10-07,254.1414031982422,254.5749969482422,261.57501220703125,245.0,257.625,196390,2024-10-07
2024-10-14,266.09600830078125,266.54998779296875,271.4750061035156,252.60000610351562,255.4250030517578,240084,2024-10-14
2024-10-21,252.26959228515625,252.6999969482422,269.0,246.6750030517578,264.1499938964844,586854,2024-10-21
2024-10-28,268.3671569824219,268.82501220703125,277.67498779296875,246.6750030517578,250.6999969482422,516584,2024-10-28
2024-11-04,277.4516296386719,277.92498779296875,289.5,263.17498779296875,263.42498779296875,366008,2024-11-04
2024-11-11,258.1595458984375,258.6000061035156,281.7250061035156,256.2749938964844,278.0,96692,2024-11-11
2024-11-18,252.9185028076172,253.35000610351562,262.875,251.5,256.6000061035156,99342,2024-11-18
2024-11-25,285.18841552734375,285.67498779296875,292.57501220703125,254.02499389648438,254.02499389648438,300954,2024-11-25
2024-12-02,292.7255859375,293.2250061035156,299.0,282.67498779296875,285.67498779296875,312796,2024-12-02
2024-12-09,293.3495178222656,293.8500061035156,303.45001220703125,290.0249938964844,293.2250061035156,179136,2024-12-09
2024-12-16,274.6813659667969,275.1499938964844,297.5,272.5,293.6000061035156,80574,2024-12-16
2024-12-23,278.57470703125,279.04998779296875,285.0,268.17498779296875,274.7749938964844,111748,2024-12-23
2024-12-30,293.9984130859375,294.5,312.0,274.8999938964844,279.04998779296875,945038,2024-12-30
2025-01-06,278.32513427734375,278.79998779296875,294.3999938964844,271.125,292.875,155584,2025-01-06
2025-01-13,270.3887023925781,270.8500061035156,277.1499938964844,263.29998779296875,277.125,235822,2025-01-13
2025-01-20,285.43798828125,285.92498779296875,300.0,268.0,273.5249938964844,401966,2025-01-20
2025-01-27,267.09429931640625,267.54998779296875,294.29998779296875,262.5,285.92498779296875,403686,2025-01-27
2025-02-03,286.4612731933594,286.95001220703125,289.79998779296875,262.0,271.70001220703125,326284,2025-02-03
2025-02-10,270.51348876953125,270.9750061035156,296.3999938964844,266.8999938964844,286.3500061035156,239686,2025-02-10
2025-02-17,264.87310791015625,265.32501220703125,274.5249938964844,260.25,269.6000061035156,131736,2025-02-17
2025-02-24,224.84140014648438,225.22500610351562,269.1499938964844,223.375,269.1499938964844,197278,2025-02-24
2025-03-03,239.64114379882812,240.0500030517578,247.5,217.85000610351562,225.22500610351562,177912,2025-03-03
2025-03-10,233.25204467773438,233.64999389648438,245.47500610351562,226.875,243.52499389648438,180638,2025-03-10
2025-03-17,273.8827209472656,274.3500061035156,297.70001220703125,237.5,240.0,1087149,2025-03-17
2025-03-24,235.44830322265625,235.85000610351562,274.5,226.0,271.6000061035156,419459,2025-03-24
2025-03-31,226.40371704101562,226.7899932861328,245.19000244140625,218.0,235.85000610351562,280419,2025-03-31
2025-04-07,218.097900390625,218.47000122070312,228.5399932861328,202.64999389648438,211.0,167822,2025-04-07
2025-04-14,225.06600952148438,225.4499969482422,232.1999969482422,219.9199981689453,224.75,95699,2025-04-14
2025-04-21,214.75360107421875,215.1199951171875,227.69000244140625,208.9600067138672,225.0,303385,2025-04-21
2025-04-28,206.28805541992188,206.63999938964844,224.77000427246094,201.25,216.19000244140625,328758,2025-04-28
2025-05-05,211.62893676757812,211.99000549316406,228.0,197.4199981689453,207.64999389648438,1251629,2025-05-05
2025-05-12,246.57931518554688,247.0,249.5,214.2100067138672,215.10000610351562,280310,2025-05-12
2025-05-19,256.7220153808594,257.1600036621094,264.75,242.8800048828125,248.1999969482422,218383,2025-05-19
2025-05-26,263.77996826171875,264.2300109863281,279.3999938964844,255.91000366210938,257.0199890136719,191609,2025-05-26
2025-06-02,238.9423370361328,239.35000610351562,262.79998779296875,237.0,260.0,190877,2025-06-02
2025-06-09,239.84080505371094,240.25,260.20001220703125,237.0,241.4499969482422,1911755,2025-06-09
2025-06-16,235.09889221191406,235.5,244.14999389648438,231.3000030517578,241.4499969482422,125259,2025-06-16
