Date,Adj Close_VAIBHAVGBL.NS,Close_VAIBHAVGBL.NS,High_VAIBHAVGBL.NS,Low_VAIBHAVGBL.NS,Open_VAIBHAVGBL.NS,Volume_VAIBHAVGBL.NS,Date
2023-10-09,417.23492431640625,431.6499938964844,445.5,408.04998779296875,421.25,1917252,2023-10-09
2023-10-16,421.8262939453125,436.3999938964844,457.0,423.0,434.79998779296875,1640884,2023-10-16
2023-10-23,394.8097229003906,408.45001220703125,444.8999938964844,388.5,437.0,1309077,2023-10-23
2023-10-30,407.4722595214844,421.54998779296875,426.75,402.79998779296875,411.0,1085421,2023-10-30
2023-11-06,408.0038757324219,422.1000061035156,442.5,414.3999938964844,424.95001220703125,1135357,2023-11-06
2023-11-13,406.8684387207031,419.45001220703125,435.75,416.6000061035156,422.0,594952,2023-11-13
2023-11-20,406.3349914550781,418.8999938964844,441.54998779296875,416.0,420.0,1206944,2023-11-20
2023-11-27,419.38153076171875,432.3500061035156,454.25,416.1000061035156,418.8999938964844,2172661,2023-11-27
2023-12-04,387.1773986816406,399.1499938964844,441.5,397.0,436.0,1752160,2023-12-04
2023-12-11,393.5308837890625,405.70001220703125,426.6000061035156,391.0,401.3999938964844,4990806,2023-12-11
2023-12-18,392.7064208984375,404.8500061035156,420.0,390.0,407.8999938964844,1111228,2023-12-18
2023-12-25,384.94635009765625,396.8500061035156,410.1499938964844,395.04998779296875,404.8500061035156,729909,2023-12-25
2024-01-01,401.14544677734375,413.54998779296875,447.70001220703125,393.1499938964844,396.8500061035156,10114240,2024-01-01
2024-01-08,418.7025146484375,431.6499938964844,437.79998779296875,394.6000061035156,415.0,5759096,2024-01-08
2024-01-15,482.4803161621094,497.3999938964844,506.25,418.25,435.8999938964844,15723459,2024-01-15
2024-01-22,498.8733825683594,514.2999877929688,524.4500122070312,468.70001220703125,497.3999938964844,5361678,2024-01-22
2024-01-29,466.572265625,481.0,542.4000244140625,478.0,520.0,6928951,2024-01-29
2024-02-05,445.0381774902344,458.79998779296875,499.29998779296875,449.54998779296875,481.04998779296875,3084175,2024-02-05
2024-02-12,461.23968505859375,474.0,493.1000061035156,424.54998779296875,457.0,3185682,2024-02-12
2024-02-19,428.8361511230469,440.70001220703125,479.8999938964844,435.54998779296875,477.0,2199277,2024-02-19
2024-02-26,416.67266845703125,428.20001220703125,459.70001220703125,414.79998779296875,441.04998779296875,2765011,2024-02-26
2024-03-04,412.5370788574219,423.95001220703125,442.8999938964844,410.70001220703125,436.8999938964844,1220910,2024-03-04
2024-03-11,363.347900390625,373.3999938964844,429.6000061035156,354.8500061035156,429.6000061035156,2977350,2024-03-11
