Date,Adj Close_HOVS.NS,Close_HOVS.NS,High_HOVS.NS,Low_HOVS.NS,Open_HOVS.NS,Volume_HOVS.NS,Date
2025-01-20,67.79000091552734,67.79000091552734,72.77999877929688,67.1500015258789,70.5,41495,2025-01-20
2025-01-27,64.2699966430664,64.2699966430664,67.91000366210938,60.20000076293945,67.87999725341797,68312,2025-01-27
2025-02-03,63.650001525878906,63.650001525878906,66.58999633789062,61.04999923706055,64.30000305175781,36007,2025-02-03
2025-02-10,58.43000030517578,58.43000030517578,67.75,57.5,63.650001525878906,145946,2025-02-10
2025-02-17,56.31999969482422,56.31999969482422,59.70000076293945,49.0,59.11000061035156,110385,2025-02-17
2025-02-24,47.25,47.25,56.38999938964844,46.25,53.720001220703125,109295,2025-02-24
2025-03-03,47.5,47.5,48.58000183105469,41.5,47.25,217444,2025-03-03
2025-03-10,41.970001220703125,41.970001220703125,49.0,41.599998474121094,47.5,104358,2025-03-10
2025-03-17,46.310001373291016,46.310001373291016,48.5,41.65999984741211,43.04999923706055,127820,2025-03-17
2025-03-24,45.209999084472656,45.209999084472656,48.5,43.54999923706055,48.5,123299,2025-03-24
2025-03-31,47.2599983215332,47.2599983215332,49.59000015258789,45.209999084472656,45.209999084472656,79359,2025-03-31
2025-04-07,47.2599983215332,47.2599983215332,47.790000915527344,42.70000076293945,44.9900016784668,51714,2025-04-07
2025-04-14,48.72999954223633,48.72999954223633,49.95000076293945,46.36000061035156,48.5,33155,2025-04-14
2025-04-21,50.97999954223633,50.97999954223633,55.59000015258789,48.810001373291016,50.0,135204,2025-04-21
2025-04-28,49.779998779296875,49.779998779296875,53.9900016784668,48.5,50.0,21654,2025-04-28
2025-05-05,46.63999938964844,46.63999938964844,52.2400016784668,45.29999923706055,48.97999954223633,42617,2025-05-05
2025-05-12,54.52000045776367,54.52000045776367,57.439998626708984,48.0099983215332,49.7400016784668,97257,2025-05-12
2025-05-19,59.2400016784668,59.2400016784668,61.810001373291016,54.40999984741211,56.9900016784668,163405,2025-05-19
2025-05-26,61.060001373291016,61.060001373291016,65.38999938964844,58.5,61.5,122064,2025-05-26
2025-06-02,69.62999725341797,69.62999725341797,70.5999984741211,60.7599983215332,61.400001525878906,273181,2025-06-02
2025-06-09,64.1500015258789,64.1500015258789,73.77999877929688,64.1500015258789,70.4000015258789,172956,2025-06-09
2025-06-16,58.220001220703125,58.220001220703125,62.9900016784668,57.0099983215332,61.2599983215332,114356,2025-06-16
2025-06-23,55.90999984741211,55.90999984741211,58.97999954223633,54.0,57.0099983215332,60476,2025-06-23
2025-06-30,59.9900016784668,59.9900016784668,60.5,57.0,57.0099983215332,17700,2025-06-30
2025-07-07,60.06999969482422,60.06999969482422,61.88999938964844,58.0,61.18000030517578,22579,2025-07-07
2025-07-14,59.77000045776367,59.77000045776367,60.5,58.849998474121094,60.349998474121094,2181,2025-07-14
