Date,Adj Close_JINDALSAW.NS,Close_JINDALSAW.NS,High_JINDALSAW.NS,Low_JINDALSAW.NS,Open_JINDALSAW.NS,Volume_JINDALSAW.NS,Date
2022-11-28,46.00347900390625,47.025001525878906,47.474998474121094,44.775001525878906,46.099998474121094,13328254,2022-11-28
2022-12-05,44.633888244628906,45.625,48.29999923706055,45.275001525878906,47.25,10665870,2022-12-05
2022-12-12,47.98448944091797,49.04999923706055,53.099998474121094,45.29999923706055,45.82500076293945,34408260,2022-12-12
2022-12-19,44.53606414794922,45.525001525878906,53.70000076293945,45.125,49.20000076293945,27219956,2022-12-19
2022-12-26,50.65029525756836,51.775001525878906,53.900001525878906,45.349998474121094,45.92499923706055,21363828,2022-12-26
2023-01-02,54.26991653442383,55.474998474121094,57.25,51.875,51.974998474121094,45375892,2023-01-02
2023-01-09,55.443851470947266,56.67499923706055,58.375,54.400001525878906,55.849998474121094,24950044,2023-01-09
2023-01-16,57.1069221496582,58.375,59.099998474121094,54.5,56.974998474121094,21860090,2023-01-16
2023-01-23,57.03355026245117,58.29999923706055,60.849998474121094,53.95000076293945,58.5,30672798,2023-01-23
2023-01-30,63.56354904174805,64.9749984741211,67.92500305175781,57.900001525878906,58.525001525878906,58386544,2023-01-30
2023-02-06,69.45767211914062,71.0,72.69999694824219,65.17500305175781,65.2249984741211,37361560,2023-02-06
2023-02-13,71.41423034667969,73.0,76.375,70.5,71.2249984741211,31304240,2023-02-13
2023-02-20,77.06377410888672,78.7750015258789,79.2249984741211,72.44999694824219,73.5,26478076,2023-02-20
2023-02-27,72.24575805664062,73.8499984741211,79.17500305175781,71.5,78.7750015258789,27034480,2023-02-27
2023-03-06,85.42804718017578,87.32499694824219,89.7750015258789,73.75,73.9749984741211,44743912,2023-03-06
2023-03-13,75.71864318847656,77.4000015258789,88.07499694824219,74.67500305175781,87.5,28527706,2023-03-13
2023-03-20,69.0908203125,70.625,77.2249984741211,70.3499984741211,76.75,24172962,2023-03-20
2023-03-27,71.36530303955078,72.94999694824219,76.05000305175781,67.69999694824219,70.625,16824396,2023-03-27
2023-04-03,78.70238494873047,80.44999694824219,81.69999694824219,73.17500305175781,73.44999694824219,19063836,2023-04-03
2023-04-10,79.92523193359375,81.69999694824219,83.3499984741211,80.0,80.92500305175781,15907516,2023-04-10
2023-04-17,77.870849609375,79.5999984741211,82.7249984741211,76.55000305175781,81.30000305175781,19368768,2023-04-17
2023-04-24,79.99860382080078,81.7750015258789,83.4749984741211,78.9000015258789,79.625,10885954,2023-04-24
