Date,Adj Close_PARAGMILK.NS,Close_PARAGMILK.NS,High_PARAGMILK.NS,Low_PARAGMILK.NS,Open_PARAGMILK.NS,Volume_PARAGMILK.NS,Date
2023-08-14,169.106689453125,169.5500030517578,181.35000610351562,151.8000030517578,161.5,7509097,2023-08-14
2023-08-21,202.96791076660156,203.5,207.0,166.0500030517578,169.0500030517578,22131055,2023-08-21
2023-08-28,198.6791534423828,199.1999969482422,218.9499969482422,193.0,201.60000610351562,16628475,2023-08-28
2023-09-04,205.2120361328125,205.75,209.5,191.10000610351562,199.89999389648438,5854047,2023-09-04
2023-09-11,198.72901916503906,199.25,211.9499969482422,176.5,206.8000030517578,4192410,2023-09-11
2023-09-18,195.1883087158203,195.6999969482422,210.4499969482422,194.5500030517578,196.85000610351562,4275900,2023-09-18
2023-09-25,213.3905792236328,213.9499969482422,216.8000030517578,195.0,197.39999389648438,5674163,2023-09-25
2023-10-02,210.3485565185547,210.89999389648438,222.8000030517578,205.5500030517578,213.9499969482422,5173923,2023-10-02
2023-10-09,214.4877166748047,215.0500030517578,223.25,202.0,207.10000610351562,4226085,2023-10-09
2023-10-16,216.3827362060547,216.9499969482422,230.5500030517578,208.25,215.0500030517578,6288425,2023-10-16
2023-10-23,204.81307983398438,205.35000610351562,218.39999389648438,190.64999389648438,217.89999389648438,3732679,2023-10-23
2023-10-30,219.02581787109375,219.60000610351562,226.0,202.5,206.9499969482422,3827112,2023-10-30
2023-11-06,225.05999755859375,225.64999389648438,229.5,217.64999389648438,220.4499969482422,4236458,2023-11-06
2023-11-13,214.38796997070312,214.9499969482422,228.8000030517578,212.5500030517578,227.6999969482422,1560773,2023-11-13
2023-11-20,215.23574829101562,215.8000030517578,222.0,207.4499969482422,215.0500030517578,2247701,2023-11-20
2023-11-27,220.07305908203125,220.64999389648438,227.89999389648438,214.0,215.8000030517578,2904611,2023-11-27
2023-12-04,251.49070739746094,252.14999389648438,255.5500030517578,219.0,225.0,8725999,2023-12-04
2023-12-11,240.12051391601562,240.75,263.3999938964844,239.10000610351562,254.0500030517578,3582406,2023-12-11
2023-12-18,236.7294158935547,237.35000610351562,251.4499969482422,225.0,241.8000030517578,3642692,2023-12-18
2023-12-25,231.74249267578125,232.35000610351562,241.9499969482422,228.10000610351562,237.35000610351562,1555745,2023-12-25
2024-01-01,231.1939239501953,231.8000030517578,237.0,228.14999389648438,234.1999969482422,2015374,2024-01-01
2024-01-08,217.2803955078125,217.85000610351562,234.64999389648438,216.39999389648438,230.1999969482422,2861816,2024-01-08
2024-01-15,203.31700134277344,203.85000610351562,221.35000610351562,201.14999389648438,218.8000030517578,3936224,2024-01-15
2024-01-22,194.39039611816406,194.89999389648438,208.6999969482422,189.1999969482422,203.85000610351562,2590021,2024-01-22
2024-01-29,210.8472442626953,211.39999389648438,221.6999969482422,196.5,197.0,7952325,2024-01-29
2024-02-05,260.9658508300781,261.6499938964844,269.79998779296875,206.8000030517578,212.35000610351562,29345007,2024-02-05
2024-02-12,265.60369873046875,266.29998779296875,289.75,250.3000030517578,269.95001220703125,19268083,2024-02-12
2024-02-19,256.228271484375,256.8999938964844,268.70001220703125,250.0500030517578,267.45001220703125,3141285,2024-02-19
2024-02-26,244.40927124023438,245.0500030517578,264.0,238.14999389648438,257.8999938964844,4046539,2024-02-26
2024-03-04,223.5639190673828,224.14999389648438,247.5500030517578,222.0500030517578,247.0,2802830,2024-03-04
2024-03-11,199.5269317626953,200.0500030517578,225.60000610351562,188.39999389648438,225.0,6118283,2024-03-11
2024-03-18,202.0702667236328,202.60000610351562,212.6999969482422,192.60000610351562,195.0,7791346,2024-03-18
2024-03-25,207.3563995361328,207.89999389648438,216.3000030517578,199.10000610351562,202.60000610351562,5766128,2024-03-25
2024-04-01,214.43785095214844,215.0,219.0,209.10000610351562,211.5500030517578,5662789,2024-04-01
2024-04-08,211.2462158203125,211.8000030517578,222.8000030517578,210.0,218.0,3785181,2024-04-08
2024-04-15,210.2488250732422,210.8000030517578,218.0,203.14999389648438,209.89999389648438,3779506,2024-04-15
2024-04-22,213.44046020507812,214.0,225.0,213.0,215.0,5494227,2024-04-22
2024-04-29,209.45091247558594,210.0,220.0,207.3000030517578,215.3000030517578,2320407,2024-04-29
2024-05-06,202.5689697265625,203.10000610351562,211.39999389648438,198.5,211.39999389648438,3224080,2024-05-06
2024-05-13,214.0388946533203,214.60000610351562,219.5,198.10000610351562,203.10000610351562,4810366,2024-05-13
