Date,Adj Close_GUJAPOLLO.NS,Close_GUJAPOLLO.NS,High_GUJAPOLLO.NS,Low_GUJAPOLLO.NS,Open_GUJAPOLLO.NS,Volume_GUJAPOLLO.NS,Date
2024-12-02,354.6000061035156,354.6000061035156,369.79998779296875,300.0,335.8999938964844,151659,2024-12-02
2024-12-09,351.6499938964844,351.6499938964844,372.0,343.0,368.0,98619,2024-12-09
2024-12-16,328.54998779296875,328.54998779296875,366.95001220703125,321.20001220703125,342.3500061035156,46402,2024-12-16
2024-12-23,334.75,334.75,354.8999938964844,315.45001220703125,354.8999938964844,30598,2024-12-23
2024-12-30,349.5,349.5,359.3999938964844,313.0,342.3500061035156,47673,2024-12-30
2025-01-06,348.70001220703125,348.70001220703125,390.0,333.6000061035156,352.95001220703125,202239,2025-01-06
2025-01-13,424.75,424.75,435.0,315.1499938964844,345.04998779296875,618260,2025-01-13
2025-01-20,369.1000061035156,369.1000061035156,442.3999938964844,367.0,428.0,346103,2025-01-20
2025-01-27,368.1000061035156,368.1000061035156,378.6499938964844,333.1499938964844,359.79998779296875,122070,2025-01-27
2025-02-03,355.3500061035156,355.3500061035156,369.8999938964844,342.1000061035156,368.5,43767,2025-02-03
2025-02-10,320.6000061035156,320.6000061035156,359.0,306.95001220703125,352.29998779296875,116312,2025-02-10
2025-02-17,300.6000061035156,300.6000061035156,317.54998779296875,290.1000061035156,306.1499938964844,68309,2025-02-17
2025-02-24,260.1000061035156,260.1000061035156,305.45001220703125,253.0500030517578,301.5,56500,2025-02-24
2025-03-03,284.0,284.0,288.0,246.5500030517578,259.8999938964844,90499,2025-03-03
2025-03-10,258.8500061035156,258.8500061035156,291.0,256.54998779296875,291.0,51218,2025-03-10
2025-03-17,326.1000061035156,326.1000061035156,330.0,261.04998779296875,272.0,115026,2025-03-17
2025-03-24,311.29998779296875,311.29998779296875,332.8999938964844,291.29998779296875,332.0,100569,2025-03-24
2025-03-31,372.1000061035156,372.1000061035156,385.6499938964844,300.5,311.29998779296875,202012,2025-03-31
2025-04-07,365.29998779296875,365.29998779296875,381.8999938964844,327.95001220703125,350.0,102054,2025-04-07
2025-04-14,368.04998779296875,368.04998779296875,375.0,358.0,370.0,34420,2025-04-14
2025-04-21,344.29998779296875,344.29998779296875,394.8999938964844,338.29998779296875,361.0,94770,2025-04-21
2025-04-28,341.8500061035156,341.8500061035156,363.75,337.3500061035156,340.0,24290,2025-04-28
2025-05-05,325.75,325.75,348.8999938964844,323.54998779296875,339.8500061035156,19130,2025-05-05
2025-05-12,357.29998779296875,357.29998779296875,363.0,329.1000061035156,329.1000061035156,30371,2025-05-12
2025-05-19,343.6499938964844,343.6499938964844,362.8999938964844,340.1499938964844,360.70001220703125,27417,2025-05-19
2025-05-26,347.54998779296875,347.54998779296875,369.8500061035156,333.20001220703125,347.3500061035156,50201,2025-05-26
2025-06-02,348.8500061035156,348.8500061035156,359.8999938964844,330.0,349.1499938964844,64930,2025-06-02
2025-06-09,378.6499938964844,378.6499938964844,382.5,341.29998779296875,357.5,155149,2025-06-09
2025-06-16,365.3500061035156,365.3500061035156,397.8999938964844,358.0,389.8500061035156,101087,2025-06-16
2025-06-23,363.6000061035156,363.6000061035156,375.0,356.79998779296875,360.0,98647,2025-06-23
2025-06-30,386.0,386.0,390.0,362.5,363.8999938964844,89095,2025-06-30
