Date,Adj Close_WEL.NS,Close_WEL.NS,High_WEL.NS,Low_WEL.NS,Open_WEL.NS,Volume_WEL.NS,Date
2023-07-10,21.81349754333496,21.825000762939453,22.600000381469727,21.229999542236328,22.0,74260,2023-07-10
2023-07-17,21.77351951599121,21.78499984741211,22.094999313354492,21.0049991607666,21.84000015258789,131950,2023-07-17
2023-07-24,25.421594619750977,25.434999465942383,26.4950008392334,21.575000762939453,22.600000381469727,471800,2023-07-24
2023-07-31,26.121227264404297,26.135000228881836,26.9950008392334,23.899999618530273,25.530000686645508,267080,2023-07-31
2023-08-07,25.806392669677734,25.81999969482422,28.0,25.104999542236328,26.899999618530273,235630,2023-08-07
2023-08-14,22.802976608276367,22.815000534057617,25.834999084472656,22.014999389648438,25.81999969482422,202550,2023-08-14
2023-08-21,22.6430606842041,22.655000686645508,23.9950008392334,22.454999923706055,23.9950008392334,78010,2023-08-21
2023-08-28,29.669355392456055,29.684999465942383,32.619998931884766,23.100000381469727,23.489999771118164,3441250,2023-08-28
2023-09-04,28.764833450317383,28.780000686645508,31.149999618530273,27.5,29.684999465942383,112160,2023-09-04
2023-09-11,29.569406509399414,29.584999084472656,29.969999313354492,26.600000381469727,28.780000686645508,1223410,2023-09-11
2023-09-18,27.38056182861328,27.395000457763672,30.0,27.0,30.0,55630,2023-09-18
2023-09-25,25.58650779724121,25.600000381469727,27.65999984741211,25.0,27.399999618530273,54070,2023-09-25
2023-10-02,27.66541290283203,27.68000030517578,27.700000762939453,24.809999465942383,25.600000381469727,78160,2023-10-02
2023-10-09,27.485506057739258,27.5,29.0,26.30500030517578,27.600000381469727,68380,2023-10-09
2023-10-16,28.664884567260742,28.68000030517578,29.5,27.5,27.5,57020,2023-10-16
2023-10-23,28.549945831298828,28.565000534057617,29.395000457763672,26.204999923706055,29.395000457763672,37620,2023-10-23
2023-10-30,30.983661651611328,31.0,32.244998931884766,28.565000534057617,28.565000534057617,147990,2023-10-30
2023-11-06,29.184612274169922,29.200000762939453,31.0,28.6200008392334,31.0,4150,2023-11-06
2023-11-13,28.4849796295166,28.5,29.06999969482422,28.399999618530273,28.43000030517578,10640,2023-11-13
2023-11-20,28.195131301879883,28.209999084472656,28.565000534057617,27.44499969482422,28.0049991607666,4820,2023-11-20
2023-11-27,27.98524284362793,28.0,28.4950008392334,27.645000457763672,28.209999084472656,9260,2023-11-27
2023-12-04,26.431062698364258,26.44499969482422,28.0,26.34000015258789,27.440000534057617,22430,2023-12-04
2023-12-11,27.580455780029297,27.594999313354492,28.985000610351562,26.604999542236328,27.760000228881836,97400,2023-12-11
2023-12-18,30.79875946044922,30.815000534057617,30.815000534057617,27.5,27.600000381469727,141590,2023-12-18
2023-12-25,40.613582611083984,40.6349983215332,46.5,30.0,30.815000534057617,2866690,2023-12-25
2024-01-01,35.97602844238281,35.994998931884766,41.345001220703125,35.6349983215332,41.345001220703125,344760,2024-01-01
2024-01-08,35.01153564453125,35.029998779296875,37.45000076293945,33.005001068115234,36.560001373291016,423620,2024-01-08
2024-01-15,34.0720329284668,34.09000015258789,35.95000076293945,33.459999084472656,35.029998779296875,110450,2024-01-15
