Date,Adj Close_HONDAPOWER.NS,Close_HONDAPOWER.NS,High_HONDAPOWER.NS,Low_HONDAPOWER.NS,Open_HONDAPOWER.NS,Volume_HONDAPOWER.NS,Date
2022-06-06,1509.93115234375,1551.050048828125,1556.0,1423.699951171875,1508.5,77117,2022-06-06
2022-06-13,1478.0494384765625,1518.300048828125,1595.949951171875,1399.300048828125,1529.949951171875,58753,2022-06-13
2022-06-20,1377.780029296875,1415.300048828125,1559.0,1398.300048828125,1559.0,44107,2022-06-20
2022-06-27,1470.4560546875,1510.5,1528.0,1400.0,1460.0,60925,2022-06-27
2022-07-04,1412.8255615234375,1451.300048828125,1518.0999755859375,1405.5,1487.8499755859375,29912,2022-07-04
2022-07-11,1467.53564453125,1507.5,1550.0,1447.0,1451.300048828125,22154,2022-07-11
2022-07-18,1562.4022216796875,1604.949951171875,1645.0,1470.0,1500.050048828125,56269,2022-07-18
2022-07-25,1515.139404296875,1556.4000244140625,1610.0,1485.0,1609.949951171875,31769,2022-07-25
2022-08-01,1561.818115234375,1604.3499755859375,1685.0,1562.949951171875,1564.199951171875,65697,2022-08-01
2022-08-08,1413.8963623046875,1452.4000244140625,1540.0,1382.3499755859375,1540.0,149053,2022-08-08
2022-08-15,1426.8924560546875,1465.75,1480.0,1448.9000244140625,1452.4000244140625,32851,2022-08-15
2022-08-22,1438.8177490234375,1478.0,1490.050048828125,1450.0,1450.0,39806,2022-08-22
2022-08-29,1443.4906005859375,1482.800048828125,1495.0,1450.0,1450.0,33883,2022-08-29
2022-09-05,1434.242431640625,1473.300048828125,1497.4000244140625,1450.0,1483.0,15987,2022-09-05
2022-09-12,1422.268310546875,1461.0,1539.949951171875,1450.550048828125,1486.0,38699,2022-09-12
2022-09-19,1474.912109375,1500.0,1575.0,1435.0,1465.050048828125,56660,2022-09-19
2022-09-26,1472.10986328125,1497.1500244140625,1525.0,1462.949951171875,1500.0,37245,2022-09-26
2022-10-03,1474.6171875,1499.699951171875,1528.0,1455.0,1504.6500244140625,23429,2022-10-03
2022-10-10,1569.4049072265625,1596.0999755859375,1670.0,1487.5999755859375,1490.0,136544,2022-10-10
2022-10-17,1614.4388427734375,1641.9000244140625,1705.949951171875,1556.699951171875,1596.0,63583,2022-10-17
2022-10-24,1654.2615966796875,1682.4000244140625,1705.5999755859375,1606.949951171875,1666.0,15154,2022-10-24
2022-10-31,1744.870361328125,1774.550048828125,1855.550048828125,1660.6500244140625,1660.6500244140625,89366,2022-10-31
2022-11-07,2157.649169921875,2194.35009765625,2205.35009765625,1788.0,1788.0,521669,2022-11-07
2022-11-14,2352.976806640625,2393.0,2450.0,2013.0,2190.0,609036,2022-11-14
2022-11-21,2528.884521484375,2571.89990234375,2575.0,2352.550048828125,2389.0,319097,2022-11-21
