Date,Adj Close_WIPL.NS,Close_WIPL.NS,High_WIPL.NS,Low_WIPL.NS,Open_WIPL.NS,Volume_WIPL.NS,Date
2024-05-13,172.95823669433594,174.0,174.0,150.0,157.1999969482422,27966,2024-05-13
2024-05-20,174.4492645263672,175.5,182.5,165.9499969482422,165.9499969482422,107105,2024-05-20
2024-05-27,169.2803955078125,170.3000030517578,185.3000030517578,162.85000610351562,177.0,85916,2024-05-27
2024-06-03,161.62649536132812,162.60000610351562,174.9499969482422,152.0,170.9499969482422,119201,2024-06-03
2024-06-10,154.38014221191406,155.30999755859375,170.0,153.0,170.0,74150,2024-06-10
2024-06-17,157.32241821289062,158.27000427246094,165.0,155.0,155.30999755859375,53368,2024-06-17
2024-06-24,163.64434814453125,164.6300048828125,176.1999969482422,154.0,164.0,113910,2024-06-24
2024-07-01,163.1870880126953,164.1699981689453,168.88999938964844,153.9499969482422,166.05999755859375,108242,2024-07-01
2024-07-08,157.10374450683594,158.0500030517578,172.0,150.38999938964844,172.0,50846,2024-07-08
2024-07-15,154.10182189941406,155.02999877929688,163.0,153.0,163.0,14340,2024-07-15
2024-07-22,155.3642120361328,156.3000030517578,167.0,146.0,159.3000030517578,14541,2024-07-22
2024-07-29,159.88697814941406,160.85000610351562,163.0,154.02999877929688,156.3000030517578,23388,2024-07-29
2024-08-05,179.4491424560547,180.52999877929688,190.0,155.0,168.0,248212,2024-08-05
2024-08-12,220.909423828125,222.24000549316406,249.39999389648438,175.0,185.0,489674,2024-08-12
2024-08-19,211.87384033203125,213.14999389648438,232.0,200.0,220.0,58375,2024-08-19
2024-08-26,203.77264404296875,205.0,219.0,200.0,215.0,22075,2024-08-26
2024-09-02,212.71876525878906,214.0,219.0,200.0,205.0,12295,2024-09-02
2024-09-09,200.6116943359375,201.82000732421875,218.0,191.0,218.0,10787,2024-09-09
2024-09-16,196.77479553222656,197.9600067138672,211.5,190.0,211.5,12808,2024-09-16
2024-09-23,201.88999938964844,201.88999938964844,204.0,189.10000610351562,191.0,10517,2024-09-23
2024-09-30,198.42999267578125,198.42999267578125,204.9499969482422,183.0,204.0,5142,2024-09-30
2024-10-07,194.86000061035156,194.86000061035156,200.77000427246094,185.00999450683594,194.4600067138672,10076,2024-10-07
2024-10-14,193.17999267578125,193.17999267578125,201.97999572753906,187.5,191.0,8971,2024-10-14
2024-10-21,181.27999877929688,181.27999877929688,195.00999450683594,179.0,195.00999450683594,6950,2024-10-21
2024-10-28,195.8000030517578,195.8000030517578,197.38999938964844,172.5,172.5,11835,2024-10-28
2024-11-04,199.0,199.0,205.0,190.0,205.0,9005,2024-11-04
2024-11-11,196.9600067138672,196.9600067138672,202.99000549316406,190.5,198.99000549316406,3919,2024-11-11
2024-11-18,190.0,190.0,196.9499969482422,180.4499969482422,196.9499969482422,8437,2024-11-18
2024-11-25,199.0500030517578,199.0500030517578,202.0,181.35000610351562,193.8000030517578,19072,2024-11-25
2024-12-02,218.77000427246094,218.77000427246094,219.89999389648438,191.10000610351562,195.14999389648438,26488,2024-12-02
2024-12-09,237.69000244140625,237.69000244140625,245.25999450683594,217.72000122070312,218.8000030517578,75705,2024-12-09
2024-12-16,251.3699951171875,251.3699951171875,270.0,221.42999267578125,240.57000732421875,281208,2024-12-16
2024-12-23,245.00999450683594,245.00999450683594,263.9700012207031,237.0,263.9700012207031,21911,2024-12-23
2024-12-30,239.17999267578125,239.17999267578125,265.0,233.39999389648438,246.27000427246094,30537,2024-12-30
2025-01-06,217.35000610351562,217.35000610351562,245.1999969482422,213.5500030517578,239.17999267578125,7987,2025-01-06
2025-01-13,219.85000610351562,219.85000610351562,222.0,207.0,213.0,4084,2025-01-13
2025-01-20,210.1699981689453,210.1699981689453,230.83999633789062,206.6999969482422,230.83999633789062,5421,2025-01-20
2025-01-27,221.0,221.0,228.97999572753906,201.00999450683594,220.60000610351562,2022,2025-01-27
2025-02-03,203.5,203.5,221.0,199.5,210.00999450683594,3514,2025-02-03
2025-02-10,190.27999877929688,190.27999877929688,213.63999938964844,190.0,203.5,10541,2025-02-10
2025-02-17,192.99000549316406,192.99000549316406,196.35000610351562,180.0,190.27999877929688,2608,2025-02-17
2025-02-24,185.00999450683594,185.00999450683594,202.5,185.0,193.0,1449,2025-02-24
2025-03-03,181.0,181.0,190.0,180.0,185.00999450683594,1827,2025-03-03
2025-03-10,190.0,190.0,193.0,172.0,181.0,656,2025-03-10
2025-03-17,192.8000030517578,192.8000030517578,193.0,179.60000610351562,190.0,828,2025-03-17
2025-03-24,180.4499969482422,180.4499969482422,192.8000030517578,170.00999450683594,192.8000030517578,7624,2025-03-24
2025-03-31,170.61000061035156,170.61000061035156,181.0,161.0800018310547,180.4499969482422,6015,2025-03-31
2025-04-07,148.50999450683594,148.50999450683594,187.6699981689453,146.00999450683594,178.9499969482422,101482,2025-04-07
2025-04-14,157.89999389648438,157.89999389648438,160.0,148.00999450683594,148.00999450683594,3175,2025-04-14
2025-04-21,148.8000030517578,148.8000030517578,158.97999572753906,146.39999389648438,154.75,18513,2025-04-21
2025-04-28,150.0,150.0,169.3800048828125,147.0,147.0,15953,2025-04-28
2025-05-05,145.72000122070312,145.72000122070312,163.0,138.61000061035156,163.0,82266,2025-05-05
2025-05-12,154.83999633789062,154.83999633789062,162.0,145.00999450683594,147.0,48027,2025-05-12
2025-05-19,152.6699981689453,152.6699981689453,160.85000610351562,149.25999450683594,160.85000610351562,9806,2025-05-19
2025-05-26,153.1999969482422,153.1999969482422,159.2899932861328,149.42999267578125,152.60000610351562,25879,2025-05-26
2025-06-02,151.32000732421875,151.32000732421875,157.99000549316406,149.42999267578125,149.47999572753906,13176,2025-06-02
2025-06-09,148.8300018310547,148.8300018310547,159.0,137.89999389648438,158.0,23320,2025-06-09
2025-06-16,143.9600067138672,143.9600067138672,156.0,143.39999389648438,145.89999389648438,18013,2025-06-16
2025-06-23,160.61000061035156,160.61000061035156,173.6699981689453,141.1999969482422,148.00999450683594,194102,2025-06-23
2025-06-30,162.36000061035156,162.36000061035156,164.89999389648438,158.0,158.0,14742,2025-06-30
2025-07-07,158.75999450683594,158.75999450683594,167.5,155.0,155.39999389648438,16051,2025-07-07
2025-07-14,158.14999389648438,158.14999389648438,163.7899932861328,154.02000427246094,154.02000427246094,2583,2025-07-14
