Date,Adj Close_INSECTICID.NS,Close_INSECTICID.NS,High_INSECTICID.NS,Low_INSECTICID.NS,Open_INSECTICID.NS,Volume_INSECTICID.NS,Date
2023-05-29,438.554443359375,442.1000061035156,472.5,438.0,445.0,185614,2023-05-29
2023-06-05,452.8389587402344,456.5,468.95001220703125,442.29998779296875,445.8999938964844,257583,2023-06-05
2023-06-12,448.1270446777344,451.75,465.29998779296875,447.95001220703125,457.0,105105,2023-06-12
2023-06-19,438.554443359375,442.1000061035156,457.1000061035156,438.95001220703125,452.0,71972,2023-06-19
2023-06-26,442.5223693847656,446.1000061035156,450.0,441.1499938964844,444.3500061035156,68805,2023-06-26
2023-07-03,442.2247619628906,445.79998779296875,464.0,443.04998779296875,447.0,140927,2023-07-03
2023-07-10,420.0044250488281,423.3999938964844,448.8999938964844,414.04998779296875,448.04998779296875,180496,2023-07-10
2023-07-17,436.02490234375,439.54998779296875,448.0,423.0,427.8999938964844,107119,2023-07-17
2023-07-24,424.4187316894531,427.8500061035156,441.70001220703125,422.0,439.54998779296875,82539,2023-07-24
2023-07-31,472.0337829589844,475.8500061035156,479.0,426.0,430.0,316278,2023-07-31
2023-08-07,464.2962951660156,468.04998779296875,482.45001220703125,442.1499938964844,480.0,213196,2023-08-07
2023-08-14,483.887939453125,487.79998779296875,491.0,457.0,477.0,226627,2023-08-14
2023-08-21,515.5817260742188,519.75,539.9000244140625,487.0,492.70001220703125,394886,2023-08-21
2023-08-28,501.9419860839844,506.0,533.0,485.0,522.2999877929688,352217,2023-08-28
2023-09-04,495.8413391113281,499.8500061035156,526.0,498.0,524.9500122070312,279080,2023-09-04
2023-09-11,492.8157653808594,496.79998779296875,507.8999938964844,472.6000061035156,504.20001220703125,429097,2023-09-11
2023-09-18,468.2642517089844,472.04998779296875,496.3999938964844,468.0,496.0,155573,2023-09-18
2023-09-25,495.6925048828125,499.70001220703125,504.8999938964844,456.45001220703125,474.0,502585,2023-09-25
2023-10-02,509.0842590332031,513.2000122070312,517.0,496.04998779296875,499.70001220703125,196320,2023-10-02
2023-10-09,500.255615234375,504.29998779296875,519.0,502.04998779296875,511.8999938964844,257328,2023-10-09
2023-10-16,499.4124450683594,503.45001220703125,519.0,495.20001220703125,506.8500061035156,155372,2023-10-16
2023-10-23,496.5852966308594,500.6000061035156,507.8999938964844,465.1000061035156,503.45001220703125,151283,2023-10-23
2023-10-30,516.1273193359375,520.2999877929688,535.0,490.75,503.1499938964844,611855,2023-10-30
2023-11-06,508.141845703125,512.25,524.4500122070312,507.75,522.0,241578,2023-11-06
2023-11-13,522.7979125976562,523.9500122070312,529.5,510.04998779296875,519.0,129872,2023-11-13
2023-11-20,607.8604736328125,609.2000122070312,612.9000244140625,514.3499755859375,523.0,868640,2023-11-20
2023-11-27,653.010986328125,654.4500122070312,678.0,609.2000122070312,609.2000122070312,713208,2023-11-27
2023-12-04,659.0476684570312,660.5,671.0,644.25,670.0,134534,2023-12-04
2023-12-11,631.059326171875,632.4500122070312,669.9000244140625,621.2999877929688,669.9000244140625,100358,2023-12-11
2023-12-18,690.27880859375,691.7999877929688,698.0,638.25,647.9500122070312,311836,2023-12-18
2023-12-25,674.9127197265625,676.4000244140625,706.7000122070312,661.6500244140625,691.7999877929688,182376,2023-12-25
2024-01-01,673.016845703125,674.5,727.0,649.0,679.0,228789,2024-01-01
2024-01-08,648.3711547851562,649.7999877929688,675.4000244140625,640.5499877929688,674.0,113969,2024-01-08
2024-01-15,632.4063110351562,633.7999877929688,671.0,612.2999877929688,656.0,92758,2024-01-15
2024-01-22,629.6624145507812,631.0499877929688,642.5,618.5499877929688,633.7999877929688,46834,2024-01-22
2024-01-29,605.4158325195312,606.75,652.9000244140625,601.0999755859375,634.0,93993,2024-01-29
2024-02-05,568.8963623046875,570.1500244140625,642.0,568.0499877929688,609.0,188159,2024-02-05
2024-02-12,578.275634765625,579.5499877929688,625.0,540.5499877929688,573.0,272951,2024-02-12
2024-02-19,539.9600830078125,541.1500244140625,587.4500122070312,536.0999755859375,574.7999877929688,181138,2024-02-19
2024-02-26,537.2660522460938,538.4500122070312,559.0,529.5999755859375,543.9000244140625,258231,2024-02-26
2024-03-04,518.9064331054688,520.0499877929688,543.6500244140625,510.5,542.2999877929688,124503,2024-03-04
2024-03-11,487.3260498046875,488.3999938964844,522.6500244140625,468.8999938964844,520.0499877929688,159124,2024-03-11
2024-03-18,516.9607543945312,518.0999755859375,519.6500244140625,465.6000061035156,493.8999938964844,248546,2024-03-18
2024-03-25,485.2306823730469,486.29998779296875,518.0999755859375,480.54998779296875,518.0999755859375,182491,2024-03-25
2024-04-01,540.608642578125,541.7999877929688,546.5,490.75,491.20001220703125,230600,2024-04-01
2024-04-08,575.3820190429688,576.6500244140625,585.0,520.2000122070312,545.2999877929688,404474,2024-04-08
2024-04-15,532.626220703125,533.7999877929688,620.0,530.0499877929688,576.6500244140625,468779,2024-04-15
2024-04-22,576.6292724609375,577.9000244140625,592.5,542.5499877929688,544.5499877929688,196915,2024-04-22
2024-04-29,578.9242553710938,580.2000122070312,594.3499755859375,574.5499877929688,577.9000244140625,98450,2024-04-29
2024-05-06,538.613037109375,539.7999877929688,587.9500122070312,535.0499877929688,585.0,98164,2024-05-06
2024-05-13,580.3211059570312,581.5999755859375,588.0,519.0499877929688,536.5,169624,2024-05-13
2024-05-20,559.1178588867188,560.3499755859375,588.25,558.0,581.4500122070312,51811,2024-05-20
2024-05-27,527.7869262695312,528.9500122070312,580.8499755859375,527.5,554.9500122070312,187280,2024-05-27
2024-06-03,562.4605102539062,563.7000122070312,572.5999755859375,476.0,536.9500122070312,293323,2024-06-03
2024-06-10,617.938232421875,619.2999877929688,626.5,565.0999755859375,569.4500122070312,466250,2024-06-10
2024-06-17,715.0242919921875,716.5999755859375,731.9000244140625,617.5499877929688,619.2999877929688,1090736,2024-06-17
2024-06-24,691.0770263671875,692.5999755859375,737.8499755859375,672.4000244140625,716.5999755859375,367565,2024-06-24
2024-07-01,698.410888671875,699.9500122070312,724.0,673.0499877929688,701.5999755859375,283832,2024-07-01
2024-07-08,727.94580078125,729.5499877929688,757.5,691.2000122070312,700.6500244140625,509008,2024-07-08
2024-07-15,724.6032104492188,726.2000122070312,809.0,708.7000122070312,731.5,662967,2024-07-15
2024-07-22,772.0985107421875,773.7999877929688,792.7999877929688,711.4000244140625,719.0,368689,2024-07-22
2024-07-29,757.8299560546875,759.5,832.5999755859375,750.25,782.7000122070312,446003,2024-07-29
2024-08-05,908.6476440429688,910.6500244140625,927.7000122070312,737.9500122070312,754.9500122070312,1443054,2024-08-05
2024-08-12,888.2425537109375,890.2000122070312,965.0,860.0,923.8499755859375,782519,2024-08-12
2024-08-19,909.7451782226562,911.75,955.0,877.0499877929688,890.0,344040,2024-08-19
2024-08-26,994.4500122070312,994.4500122070312,1084.25,879.0,911.0,1824405,2024-08-26
2024-09-02,947.2000122070312,947.2000122070312,978.0,913.25,938.7999877929688,480458,2024-09-02
2024-09-09,952.7999877929688,952.7999877929688,976.5,920.5999755859375,954.9500122070312,266820,2024-09-09
2024-09-16,905.6500244140625,905.6500244140625,952.7000122070312,879.5,952.7000122070312,243329,2024-09-16
2024-09-23,865.2000122070312,865.2000122070312,915.0,855.0,905.4000244140625,182820,2024-09-23
2024-09-30,843.5,843.5,904.5999755859375,824.2000122070312,882.0,310003,2024-09-30
2024-10-07,818.2000122070312,818.2000122070312,855.0,788.0,855.0,471429,2024-10-07
2024-10-14,819.75,819.75,855.0,793.0999755859375,829.0,276150,2024-10-14
2024-10-21,760.3499755859375,760.3499755859375,830.0,751.0999755859375,812.0,243935,2024-10-21
2024-10-28,868.5999755859375,868.5999755859375,874.7999877929688,750.0,760.0,123609,2024-10-28
2024-11-04,890.4500122070312,890.4500122070312,912.5,853.0,868.5999755859375,177569,2024-11-04
2024-11-11,729.0,729.0,889.8499755859375,715.0,879.0,430273,2024-11-11
2024-11-18,706.2000122070312,706.2000122070312,734.8499755859375,688.0,731.5,182242,2024-11-18
2024-11-25,750.9500122070312,750.9500122070312,765.25,715.1500244140625,721.0,191990,2024-11-25
2024-12-02,754.5,754.5,767.1500244140625,734.0,760.0,226101,2024-12-02
2024-12-09,746.7999877929688,746.7999877929688,829.9000244140625,740.0,759.7000122070312,382162,2024-12-09
2024-12-16,733.5999755859375,733.5999755859375,754.2000122070312,718.5999755859375,748.6500244140625,169478,2024-12-16
2024-12-23,701.0499877929688,701.0499877929688,737.0999755859375,691.2000122070312,733.0,103173,2024-12-23
2024-12-30,679.4500122070312,679.4500122070312,706.9500122070312,659.5499877929688,693.0999755859375,222709,2024-12-30
2025-01-06,628.6500244140625,628.6500244140625,684.6500244140625,625.0,684.6500244140625,188530,2025-01-06
2025-01-13,624.5499877929688,624.5499877929688,631.75,580.0,580.0,270342,2025-01-13
2025-01-20,583.2000122070312,583.2000122070312,632.0,560.2000122070312,626.0,244917,2025-01-20
2025-01-27,661.25,661.25,675.0499877929688,556.7999877929688,580.0,252229,2025-01-27
2025-02-03,618.7999877929688,618.7999877929688,663.4000244140625,608.6500244140625,663.4000244140625,154626,2025-02-03
2025-02-10,558.1500244140625,558.1500244140625,624.25,546.9500122070312,622.75,306603,2025-02-10
2025-02-17,577.9500122070312,577.9500122070312,601.1500244140625,542.5499877929688,546.5999755859375,191252,2025-02-17
2025-02-24,575.75,575.75,589.0,565.0999755859375,565.0999755859375,184036,2025-02-24
2025-03-03,605.7999877929688,605.7999877929688,612.7000122070312,572.4500122070312,575.75,241491,2025-03-03
2025-03-10,594.5999755859375,594.5999755859375,607.9500122070312,574.9500122070312,605.7999877929688,139016,2025-03-10
2025-03-17,621.6500244140625,621.6500244140625,625.9500122070312,580.3499755859375,594.6500244140625,146318,2025-03-17
2025-03-24,590.8499755859375,590.8499755859375,644.75,585.0,625.0,176173,2025-03-24
2025-03-31,601.6500244140625,601.6500244140625,632.9500122070312,590.5999755859375,590.8499755859375,169020,2025-03-31
2025-04-07,625.7000122070312,625.7000122070312,644.7999877929688,573.75,582.9500122070312,209531,2025-04-07
2025-04-14,690.5999755859375,690.5999755859375,692.75,630.0,630.0,129202,2025-04-14
2025-04-21,712.75,712.75,756.4500122070312,694.1500244140625,703.0,403592,2025-04-21
2025-04-28,684.25,684.25,723.8499755859375,681.0,702.1500244140625,135476,2025-04-28
2025-05-05,667.7999877929688,667.7999877929688,711.2000122070312,646.0499877929688,683.3499755859375,141872,2025-05-05
2025-05-12,754.1500244140625,754.1500244140625,794.0,684.5,691.0,356956,2025-05-12
2025-05-19,765.2999877929688,765.2999877929688,772.4500122070312,739.0499877929688,755.0,196232,2025-05-19
2025-05-26,851.4000244140625,851.4000244140625,895.0,769.1500244140625,775.0,855331,2025-05-26
2025-06-02,836.75,836.75,871.4000244140625,826.0,840.0,222861,2025-06-02
2025-06-09,875.4000244140625,875.4000244140625,889.9000244140625,826.5999755859375,839.0,349670,2025-06-09
2025-06-16,909.2000122070312,909.2000122070312,947.0,853.3499755859375,866.6500244140625,572920,2025-06-16
2025-06-23,960.4500122070312,960.4500122070312,988.0,906.2000122070312,909.2000122070312,592542,2025-06-23
