Date,Adj Close_CARYSIL.NS,Close_CARYSIL.NS,High_CARYSIL.NS,Low_CARYSIL.NS,Open_CARYSIL.NS,Volume_CARYSIL.NS,Date
2024-11-25,762.3499755859375,762.3499755859375,774.0,745.3499755859375,748.5999755859375,200019,2024-11-25
2024-12-02,768.9500122070312,768.9500122070312,790.0,755.0,759.0,248866,2024-12-02
2024-12-09,760.5499877929688,760.5499877929688,791.7999877929688,755.25,768.9500122070312,260591,2024-12-09
2024-12-16,791.0999755859375,791.0999755859375,828.9500122070312,760.9500122070312,767.7999877929688,501960,2024-12-16
2024-12-23,764.2000122070312,764.2000122070312,805.5,760.25,795.0,173776,2024-12-23
2024-12-30,754.75,754.75,771.9000244140625,742.5999755859375,767.8499755859375,187571,2024-12-30
2025-01-06,710.7999877929688,710.7999877929688,766.0499877929688,707.0,766.0499877929688,264832,2025-01-06
2025-01-13,723.4500122070312,723.4500122070312,749.7000122070312,660.0,703.0,376399,2025-01-13
2025-01-20,689.7000122070312,689.7000122070312,738.0,681.9500122070312,724.0,135390,2025-01-20
2025-01-27,712.9000244140625,712.9000244140625,730.0,660.0,686.0,335630,2025-01-27
2025-02-03,696.0999755859375,696.0999755859375,720.8499755859375,690.4500122070312,715.0,140665,2025-02-03
2025-02-10,583.3499755859375,583.3499755859375,717.7000122070312,572.8499755859375,702.75,595530,2025-02-10
2025-02-17,544.9000244140625,544.9000244140625,565.0,485.79998779296875,551.2000122070312,818392,2025-02-17
2025-02-24,515.2000122070312,515.2000122070312,569.9000244140625,482.29998779296875,544.9000244140625,282064,2025-02-24
2025-03-03,536.7999877929688,536.7999877929688,548.0,486.25,525.3499755859375,508995,2025-03-03
2025-03-10,619.8499755859375,619.8499755859375,645.0,490.0,540.0,3308100,2025-03-10
2025-03-17,673.4000244140625,673.4000244140625,715.0,581.5,610.0,1153157,2025-03-17
2025-03-24,623.75,623.75,692.5999755859375,620.0999755859375,680.0,1040233,2025-03-24
2025-03-31,594.0,594.0,658.7000122070312,578.7999877929688,623.75,537110,2025-03-31
2025-04-07,597.7000122070312,597.7000122070312,614.0,512.0,525.0,461216,2025-04-07
2025-04-14,614.6500244140625,614.6500244140625,646.7000122070312,597.7000122070312,597.7000122070312,290443,2025-04-14
2025-04-21,632.2999877929688,632.2999877929688,692.7999877929688,610.2000122070312,615.0,1128573,2025-04-21
2025-04-28,600.7000122070312,600.7000122070312,658.1500244140625,599.0,630.0,332451,2025-04-28
2025-05-05,612.0999755859375,612.0999755859375,633.5,584.0,604.8499755859375,325027,2025-05-05
2025-05-12,650.0499877929688,650.0499877929688,671.0,620.2000122070312,620.2000122070312,340744,2025-05-12
2025-05-19,767.75,767.75,798.7999877929688,639.7000122070312,650.0499877929688,3070000,2025-05-19
2025-05-26,827.9000244140625,827.9000244140625,839.0,758.0,760.0,1057706,2025-05-26
2025-06-02,871.25,871.25,910.0,852.0,869.4500122070312,1266487,2025-06-02
2025-06-09,929.1500244140625,929.1500244140625,944.0999755859375,862.2999877929688,877.9500122070312,808744,2025-06-09
2025-06-16,862.3499755859375,862.3499755859375,947.0,840.0,933.9000244140625,653461,2025-06-16
2025-06-23,870.2000122070312,870.2000122070312,908.0,844.0,845.5,387996,2025-06-23
2025-06-30,888.0,888.0,912.2999877929688,851.1500244140625,870.0,484327,2025-06-30
2025-07-07,850.0999755859375,850.0999755859375,883.5499877929688,815.0499877929688,880.0,535497,2025-07-07
2025-07-14,869.6500244140625,869.6500244140625,875.0,840.7999877929688,847.6500244140625,104037,2025-07-14
