Date,Adj Close_MARINE.NS,Close_MARINE.NS,High_MARINE.NS,Low_MARINE.NS,Open_MARINE.NS,Volume_MARINE.NS,Date
2023-05-29,50.80637741088867,50.849998474121094,56.5,47.650001525878906,56.20000076293945,4359575,2023-05-29
2023-06-05,50.60655212402344,50.650001525878906,54.0,49.5,50.849998474121094,2445899,2023-06-05
2023-06-12,51.20603561401367,51.25,52.45000076293945,50.099998474121094,50.900001525878906,1825563,2023-06-12
2023-06-19,49.70732116699219,49.75,53.400001525878906,49.20000076293945,51.54999923706055,2266901,2023-06-19
2023-06-26,49.0079231262207,49.04999923706055,50.95000076293945,48.25,49.400001525878906,1208554,2023-06-26
2023-07-03,50.95624923706055,51.0,51.45000076293945,47.95000076293945,49.400001525878906,1905745,2023-07-03
2023-07-10,58.69960403442383,58.75,62.0,51.099998474121094,51.599998474121094,8244023,2023-07-10
2023-07-17,63.395572662353516,63.45000076293945,64.80000305175781,58.400001525878906,59.29999923706055,6789932,2023-07-17
2023-07-24,64.79436492919922,64.8499984741211,67.5,63.20000076293945,64.0,3932362,2023-07-24
2023-07-31,64.79436492919922,64.8499984741211,68.4000015258789,59.25,65.4000015258789,3548092,2023-07-31
2023-08-07,67.09239959716797,67.1500015258789,73.8499984741211,65.55000305175781,66.0,6923342,2023-08-07
2023-08-14,65.69359588623047,65.75,69.80000305175781,61.20000076293945,66.19999694824219,1966109,2023-08-14
2023-08-21,67.7418441772461,67.80000305175781,72.0,62.5,66.0,1372622,2023-08-21
2023-08-28,64.094970703125,64.1500015258789,69.9000015258789,63.0,69.9000015258789,1005793,2023-08-28
2023-09-04,66.39299774169922,66.44999694824219,66.80000305175781,61.5,64.8499984741211,1356069,2023-09-04
2023-09-11,61.29737091064453,61.349998474121094,67.94999694824219,60.20000076293945,67.4000015258789,1338923,2023-09-11
2023-09-18,61.047584533691406,61.099998474121094,64.0,59.099998474121094,61.349998474121094,928557,2023-09-18
2023-09-25,58.00020217895508,58.04999923706055,62.75,56.29999923706055,62.75,929944,2023-09-25
2023-10-02,58.4498176574707,58.5,60.75,57.0,58.04999923706055,552768,2023-10-02
2023-10-09,67.89170837402344,67.94999694824219,67.94999694824219,55.099998474121094,59.0,1585557,2023-10-09
2023-10-16,75.73497772216797,75.80000305175781,80.0999984741211,69.0,69.30000305175781,3799618,2023-10-16
2023-10-23,73.58682250976562,73.6500015258789,75.4000015258789,65.05000305175781,75.4000015258789,1466661,2023-10-23
2023-10-30,76.08467864990234,76.1500015258789,79.5999984741211,72.4000015258789,75.25,1587732,2023-10-30
2023-11-06,82.02957153320312,82.0999984741211,88.05000305175781,75.25,76.94999694824219,2971708,2023-11-06
