Date,Adj Close_SKIPPER.NS,Close_SKIPPER.NS,High_SKIPPER.NS,Low_SKIPPER.NS,Open_SKIPPER.NS,Volume_SKIPPER.NS,Date
2024-08-05,424.2959899902344,424.3999938964844,429.3500061035156,355.04998779296875,355.04998779296875,5854454,2024-08-05
2024-08-12,415.6980895996094,415.79998779296875,431.0,388.95001220703125,419.79998779296875,2691753,2024-08-12
2024-08-19,457.6378479003906,457.75,463.0,417.04998779296875,419.45001220703125,5873355,2024-08-19
2024-08-26,417.8975830078125,418.0,461.0,414.0,459.5,2374057,2024-08-26
2024-09-02,413.798583984375,413.8999938964844,433.70001220703125,405.0,419.8999938964844,1880905,2024-09-02
2024-09-09,421.6966247558594,421.79998779296875,428.0,398.25,409.0,2663624,2024-09-09
2024-09-16,417.5,417.5,450.0,409.29998779296875,424.0,2765187,2024-09-16
2024-09-23,467.54998779296875,467.54998779296875,507.5,423.29998779296875,423.29998779296875,12367931,2024-09-23
2024-09-30,483.6499938964844,483.6499938964844,490.8999938964844,456.3500061035156,469.79998779296875,3225508,2024-09-30
2024-10-07,548.0999755859375,548.0999755859375,564.4000244140625,440.0,490.0,13703706,2024-10-07
2024-10-14,571.0999755859375,571.0999755859375,618.9000244140625,550.0999755859375,553.0,10895781,2024-10-14
2024-10-21,504.1499938964844,504.1499938964844,575.5999755859375,487.54998779296875,575.0,4642271,2024-10-21
2024-10-28,546.25,546.25,550.0,497.04998779296875,508.54998779296875,4622648,2024-10-28
2024-11-04,564.8499755859375,564.8499755859375,605.25,527.9500122070312,546.1500244140625,4733238,2024-11-04
2024-11-11,531.1500244140625,531.1500244140625,584.4000244140625,515.5499877929688,568.0,2224579,2024-11-11
2024-11-18,531.7000122070312,531.7000122070312,544.2000122070312,512.5999755859375,540.0499877929688,1677192,2024-11-18
2024-11-25,578.9000244140625,578.9000244140625,584.0,538.0499877929688,545.0,3539669,2024-11-25
2024-12-02,622.0499877929688,622.0499877929688,644.2000122070312,565.0499877929688,581.0,9519809,2024-12-02
2024-12-09,622.5499877929688,622.5499877929688,665.0,611.0,622.0499877929688,5971962,2024-12-09
2024-12-16,563.1500244140625,563.1500244140625,632.9000244140625,560.0,623.0,4010274,2024-12-16
2024-12-23,548.75,548.75,571.5,538.5499877929688,568.0999755859375,2332573,2024-12-23
2024-12-30,556.5,556.5,571.9000244140625,520.5999755859375,560.9500122070312,2521436,2024-12-30
2025-01-06,466.45001220703125,466.45001220703125,559.25,457.95001220703125,557.0999755859375,3767623,2025-01-06
2025-01-13,479.5,479.5,481.5,427.25,459.0,5313586,2025-01-13
2025-01-20,439.75,439.75,499.04998779296875,437.1000061035156,482.6499938964844,2472572,2025-01-20
2025-01-27,433.8999938964844,433.8999938964844,475.0,373.1000061035156,430.0,5956123,2025-01-27
2025-02-03,479.45001220703125,479.45001220703125,490.3999938964844,396.70001220703125,414.5,4421435,2025-02-03
2025-02-10,423.25,423.25,484.70001220703125,406.0,479.45001220703125,2639223,2025-02-10
2025-02-17,417.25,417.25,439.0,376.54998779296875,415.04998779296875,2573821,2025-02-17
2025-02-24,392.04998779296875,392.04998779296875,424.8999938964844,374.5,415.0,1649364,2025-02-24
