Date,Adj Close_VEEDOL.NS,Close_VEEDOL.NS,High_VEEDOL.NS,Low_VEEDOL.NS,Open_VEEDOL.NS,Volume_VEEDOL.NS,Date
2024-04-22,1701.1046142578125,1772.4000244140625,1819.0,1571.0,1571.0,539767,2024-04-22
2024-04-29,1749.813232421875,1823.1500244140625,1870.0,1746.0,1798.699951171875,473844,2024-04-29
2024-05-06,1704.5118408203125,1775.949951171875,1859.9000244140625,1741.300048828125,1835.0,318021,2024-05-06
2024-05-13,1858.315673828125,1936.199951171875,1960.0,1734.0,1794.050048828125,614432,2024-05-13
2024-05-20,1790.5076904296875,1865.550048828125,1990.699951171875,1845.0,1900.699951171875,394352,2024-05-20
2024-05-27,1717.7567138671875,1789.75,1887.0,1756.0,1865.550048828125,232480,2024-05-27
2024-06-03,1745.926025390625,1819.0999755859375,1854.8499755859375,1643.6500244140625,1835.0,257168,2024-06-03
2024-06-10,1826.4510498046875,1903.0,1939.0,1816.1500244140625,1819.949951171875,229215,2024-06-10
2024-06-17,1859.131591796875,1937.050048828125,1974.0,1891.199951171875,1903.0,187965,2024-06-17
2024-06-24,2199.083740234375,2291.25,2324.0,1948.0,1950.050048828125,1505391,2024-06-24
2024-07-01,2265.59619140625,2360.550048828125,2463.0,2301.10009765625,2324.0,440434,2024-07-01
2024-07-08,2290.611572265625,2366.75,2471.0,2274.0,2360.0,316806,2024-07-08
2024-07-15,2186.230712890625,2258.89990234375,2440.0,2250.0,2380.0,164181,2024-07-15
2024-07-22,2543.60205078125,2628.14990234375,2675.0,2151.60009765625,2215.75,472427,2024-07-22
2024-07-29,2511.90576171875,2595.39990234375,2783.89990234375,2575.0,2627.949951171875,389125,2024-07-29
2024-08-05,2325.55029296875,2402.85009765625,2525.699951171875,2390.300048828125,2450.0,217422,2024-08-05
2024-08-12,2298.983154296875,2375.39990234375,2589.39990234375,2332.0,2385.0,193992,2024-08-12
2024-08-19,2578.492431640625,2664.199951171875,2736.0,2376.0,2376.0,234859,2024-08-19
2024-08-26,2525.455322265625,2609.39990234375,2800.0,2555.0,2691.050048828125,221005,2024-08-26
2024-09-02,2395.911376953125,2475.550048828125,2637.199951171875,2431.0,2628.050048828125,134874,2024-09-02
2024-09-09,2342.583984375,2420.449951171875,2513.050048828125,2405.0,2475.550048828125,79618,2024-09-09
2024-09-16,2308.9033203125,2385.64990234375,2442.0,2228.14990234375,2440.14990234375,135755,2024-09-16
2024-09-23,2203.361572265625,2276.60009765625,2429.0,2266.75,2428.800048828125,88005,2024-09-23
2024-09-30,2116.595458984375,2186.949951171875,2330.0,2166.10009765625,2276.60009765625,68765,2024-09-30
2024-10-07,1985.35791015625,2051.35009765625,2208.75,2020.550048828125,2195.0,110494,2024-10-07
2024-10-14,1979.986328125,2045.800048828125,2175.050048828125,2040.0,2052.949951171875,69830,2024-10-14
2024-10-21,1768.22509765625,1827.0,2071.449951171875,1801.0999755859375,2049.0,104446,2024-10-21
2024-10-28,1902.1243896484375,1965.3499755859375,1990.949951171875,1789.0,1835.0,60791,2024-10-28
2024-11-04,1878.94482421875,1941.4000244140625,2051.89990234375,1885.050048828125,1947.300048828125,66992,2024-11-04
2024-11-11,1746.642578125,1804.699951171875,1946.8499755859375,1730.0,1938.8499755859375,73523,2024-11-11
2024-11-18,1666.6514892578125,1722.050048828125,1809.949951171875,1680.300048828125,1804.699951171875,87390,2024-11-18
2024-11-25,1819.9107666015625,1858.3499755859375,1887.949951171875,1720.0,1735.0,91537,2024-11-25
2024-12-02,1883.7132568359375,1923.5,1940.0,1850.0,1858.3499755859375,57212,2024-12-02
2024-12-09,1795.574951171875,1833.5,1944.699951171875,1801.5999755859375,1923.5,47805,2024-12-09
2024-12-16,1655.87548828125,1690.8499755859375,1854.75,1678.050048828125,1833.5,73506,2024-12-16
2024-12-23,1626.9857177734375,1661.3499755859375,1724.6500244140625,1649.0,1724.6500244140625,38201,2024-12-23
2024-12-30,1637.9541015625,1672.550048828125,1688.0,1606.449951171875,1648.0,65545,2024-12-30
2025-01-06,1632.0782470703125,1666.550048828125,1758.0,1615.0,1664.0,100980,2025-01-06
2025-01-13,1557.013671875,1589.9000244140625,1698.25,1351.0,1641.550048828125,137084,2025-01-13
2025-01-20,1493.015380859375,1524.550048828125,1633.949951171875,1517.550048828125,1586.0,73155,2025-01-20
2025-01-27,1526.99755859375,1559.25,1581.449951171875,1440.0999755859375,1548.0,71439,2025-01-27
2025-02-03,1568.6185302734375,1601.75,1640.0,1515.199951171875,1565.0,53564,2025-02-03
2025-02-10,1441.16064453125,1471.5999755859375,1625.800048828125,1435.8499755859375,1625.800048828125,59616,2025-02-10
2025-02-17,1500.8690185546875,1520.300048828125,1537.449951171875,1401.0999755859375,1440.050048828125,65350,2025-02-17
2025-02-24,1419.4234619140625,1437.800048828125,1525.0,1411.0,1512.0,51239,2025-02-24
2025-03-03,1531.9664306640625,1551.800048828125,1583.0,1361.949951171875,1424.1500244140625,116522,2025-03-03
2025-03-10,1397.5565185546875,1415.6500244140625,1555.0999755859375,1407.4000244140625,1540.0,38753,2025-03-10
2025-03-17,1437.3414306640625,1455.949951171875,1468.699951171875,1351.0,1416.050048828125,67749,2025-03-17
2025-03-24,1347.8006591796875,1365.25,1494.300048828125,1351.0999755859375,1475.0,161155,2025-03-24
2025-03-31,1409.946044921875,1428.199951171875,1465.1500244140625,1365.25,1365.25,67105,2025-03-31
2025-04-07,1406.9351806640625,1425.1500244140625,1439.949951171875,1305.0,1305.0,49858,2025-04-07
2025-04-14,1472.9306640625,1492.0,1505.0,1425.1500244140625,1425.1500244140625,30534,2025-04-14
2025-04-21,1466.0201416015625,1485.0,1551.0,1450.0,1499.9000244140625,64054,2025-04-21
2025-04-28,1432.553466796875,1451.0999755859375,1505.9000244140625,1450.0,1494.0999755859375,28075,2025-04-28
2025-05-05,1481.1246337890625,1500.300048828125,1508.0,1376.0999755859375,1445.199951171875,71099,2025-05-05
2025-05-12,1672.743896484375,1694.4000244140625,1720.800048828125,1508.699951171875,1518.9000244140625,115995,2025-05-12
2025-05-19,1655.3687744140625,1676.800048828125,1745.0,1655.199951171875,1695.0,97722,2025-05-19
2025-05-26,1677.087646484375,1698.800048828125,1791.0,1635.0,1700.0,139343,2025-05-26
2025-06-02,1630.4908447265625,1651.5999755859375,1712.0,1635.9000244140625,1691.0,55331,2025-06-02
2025-06-09,1660.304931640625,1681.800048828125,1773.0,1651.0999755859375,1651.0999755859375,622803,2025-06-09
2025-06-16,1632.56396484375,1653.699951171875,1719.0999755859375,1649.300048828125,1684.0,96087,2025-06-16
2025-06-23,1642.23876953125,1663.5,1686.9000244140625,1640.0,1650.0,93923,2025-06-23
