Date,Adj Close_SAKAR.NS,Close_SAKAR.NS,High_SAKAR.NS,Low_SAKAR.NS,Open_SAKAR.NS,Volume_SAKAR.NS,Date
2022-01-31,143.39999389648438,143.39999389648438,155.0500030517578,140.0500030517578,141.1999969482422,117358,2022-01-31
2022-02-07,127.05000305175781,127.05000305175781,147.39999389648438,126.0999984741211,147.39999389648438,197486,2022-02-07
2022-02-14,121.1500015258789,121.1500015258789,133.0,118.75,120.3499984741211,118075,2022-02-14
2022-02-21,110.5,110.5,121.5,104.0999984741211,121.0,104480,2022-02-21
2022-02-28,118.0,118.0,121.5,103.3499984741211,109.94999694824219,101957,2022-02-28
2022-03-07,115.44999694824219,115.44999694824219,120.0,111.0,120.0,93571,2022-03-07
2022-03-14,114.6500015258789,114.6500015258789,118.94999694824219,110.6500015258789,114.5999984741211,87702,2022-03-14
2022-03-21,146.5500030517578,146.5500030517578,161.35000610351562,113.0,116.94999694824219,989870,2022-03-21
2022-03-28,138.14999389648438,138.14999389648438,153.89999389648438,134.0,150.0,163513,2022-03-28
2022-04-04,144.64999389648438,144.64999389648438,148.60000610351562,136.25,142.0,150693,2022-04-04
2022-04-11,141.75,141.75,151.0,140.35000610351562,145.0,58770,2022-04-11
2022-04-18,141.10000610351562,141.10000610351562,148.0,138.75,140.0500030517578,63580,2022-04-18
2022-04-25,137.8000030517578,137.8000030517578,148.25,136.0,139.4499969482422,85764,2022-04-25
2022-05-02,123.0,123.0,140.0,120.75,140.0,51782,2022-05-02
2022-05-09,120.5999984741211,120.5999984741211,131.5,111.80000305175781,128.0,43623,2022-05-09
2022-05-16,161.60000610351562,161.60000610351562,166.0,119.0,120.5999984741211,1139198,2022-05-16
2022-05-23,147.3000030517578,147.3000030517578,169.0,137.64999389648438,165.0,170264,2022-05-23
2022-05-30,164.3000030517578,164.3000030517578,176.25,148.14999389648438,149.5,628464,2022-05-30
2022-06-06,172.35000610351562,172.35000610351562,181.64999389648438,156.0,166.60000610351562,610180,2022-06-06
2022-06-13,168.9499969482422,168.9499969482422,188.64999389648438,160.14999389648438,170.35000610351562,593481,2022-06-13
2022-06-20,158.10000610351562,158.10000610351562,171.0,143.6999969482422,165.60000610351562,108211,2022-06-20
2022-06-27,158.64999389648438,158.64999389648438,169.0,156.0,160.0,64814,2022-06-27
2022-07-04,163.1999969482422,163.1999969482422,169.0,153.60000610351562,165.75,59089,2022-07-04
2022-07-11,192.64999389648438,192.64999389648438,199.4499969482422,159.0,166.39999389648438,289272,2022-07-11
2022-07-18,196.6999969482422,196.6999969482422,220.0500030517578,190.0,194.9499969482422,327538,2022-07-18
2022-07-25,198.5,198.5,208.0,183.10000610351562,187.5,136961,2022-07-25
2022-08-01,199.5500030517578,199.5500030517578,208.35000610351562,193.25,197.0,160533,2022-08-01
2022-08-08,180.0,180.0,191.0,176.14999389648438,191.0,69077,2022-08-08
2022-08-15,187.4499969482422,187.4499969482422,187.4499969482422,167.0,180.0,67846,2022-08-15
2022-08-22,208.85000610351562,208.85000610351562,224.0,189.10000610351562,194.0,132592,2022-08-22
2022-08-29,220.35000610351562,220.35000610351562,220.35000610351562,198.5,205.0,99649,2022-08-29
2022-09-05,215.9499969482422,215.9499969482422,245.0,213.75,231.35000610351562,218243,2022-09-05
2022-09-12,237.0,237.0,247.75,211.5,221.89999389648438,245188,2022-09-12
2022-09-19,228.10000610351562,228.10000610351562,248.85000610351562,218.0,248.85000610351562,157437,2022-09-19
2022-09-26,207.8000030517578,207.8000030517578,225.10000610351562,200.14999389648438,225.0,109708,2022-09-26
2022-10-03,238.9499969482422,238.9499969482422,238.9499969482422,205.10000610351562,211.9499969482422,92681,2022-10-03
2022-10-10,286.25,286.25,295.0,249.0500030517578,254.39999389648438,519022,2022-10-10
2022-10-17,270.3500061035156,270.3500061035156,290.0,257.6499938964844,290.0,197368,2022-10-17
2022-10-24,268.79998779296875,268.79998779296875,270.3500061035156,235.0,270.3500061035156,205508,2022-10-24
2022-10-31,246.39999389648438,246.39999389648438,274.70001220703125,244.0,274.0,210144,2022-10-31
2022-11-07,234.25,234.25,249.9499969482422,230.35000610351562,248.89999389648438,100353,2022-11-07
2022-11-14,234.8000030517578,234.8000030517578,243.9499969482422,225.14999389648438,237.8000030517578,77181,2022-11-14
2022-11-21,235.3000030517578,235.3000030517578,244.8000030517578,225.25,231.0,73002,2022-11-21
2022-11-28,252.14999389648438,252.14999389648438,283.29998779296875,232.10000610351562,235.0500030517578,302536,2022-11-28
2022-12-05,237.9499969482422,237.9499969482422,257.75,234.0500030517578,252.0,78616,2022-12-05
2022-12-12,226.25,226.25,244.14999389648438,223.8000030517578,236.5,84912,2022-12-12
2022-12-19,193.10000610351562,193.10000610351562,235.0,185.5500030517578,226.0,131468,2022-12-19
2022-12-26,224.25,224.25,236.89999389648438,200.25,202.8000030517578,161203,2022-12-26
2023-01-02,233.5500030517578,233.5500030517578,249.89999389648438,226.25,226.25,135881,2023-01-02
2023-01-09,236.3000030517578,236.3000030517578,244.0,226.35000610351562,236.75,60760,2023-01-09
2023-01-16,249.35000610351562,249.35000610351562,259.95001220703125,230.1999969482422,235.6999969482422,156031,2023-01-16
2023-01-23,236.60000610351562,236.60000610351562,260.45001220703125,234.0,250.0500030517578,113077,2023-01-23
2023-01-30,234.5,234.5,242.10000610351562,216.0,235.0,74859,2023-01-30
2023-02-06,229.35000610351562,229.35000610351562,243.89999389648438,223.0,231.0,86053,2023-02-06
