Date,Adj Close_PALASHSECU.NS,Close_PALASHSECU.NS,High_PALASHSECU.NS,Low_PALASHSECU.NS,Open_PALASHSECU.NS,Volume_PALASHSECU.NS,Date
2023-11-06,137.5,137.5,143.89999389648438,110.0,111.69999694824219,289724,2023-11-06
2023-11-13,128.3000030517578,128.3000030517578,165.60000610351562,128.3000030517578,161.0,253793,2023-11-13
2023-11-20,125.5999984741211,125.5999984741211,129.3000030517578,121.0,128.0,35327,2023-11-20
2023-11-27,122.44999694824219,122.44999694824219,127.9000015258789,121.0,125.5999984741211,15405,2023-11-27
2023-12-04,123.69999694824219,123.69999694824219,125.8499984741211,118.3499984741211,122.44999694824219,28479,2023-12-04
2023-12-11,123.3499984741211,123.3499984741211,125.5999984741211,120.05000305175781,120.5999984741211,15206,2023-12-11
2023-12-18,118.5,118.5,123.5,115.05000305175781,122.05000305175781,17931,2023-12-18
2023-12-25,117.30000305175781,117.30000305175781,122.5,115.19999694824219,118.5,9396,2023-12-25
2024-01-01,119.8499984741211,119.8499984741211,122.0,116.3499984741211,117.30000305175781,7749,2024-01-01
2024-01-08,120.25,120.25,122.0,118.0,119.0,11338,2024-01-08
2024-01-15,119.3499984741211,119.3499984741211,126.25,115.19999694824219,122.0,8722,2024-01-15
2024-01-22,117.8499984741211,117.8499984741211,120.0,113.19999694824219,119.3499984741211,6137,2024-01-22
2024-01-29,126.69999694824219,126.69999694824219,127.9000015258789,116.94999694824219,117.0,36027,2024-01-29
2024-02-05,120.6500015258789,120.6500015258789,132.89999389648438,119.80000305175781,132.89999389648438,27527,2024-02-05
2024-02-12,126.19999694824219,126.19999694824219,129.0,112.0,126.0,34403,2024-02-12
2024-02-19,122.30000305175781,122.30000305175781,145.6999969482422,121.80000305175781,127.05000305175781,163452,2024-02-19
2024-02-26,116.94999694824219,116.94999694824219,125.44999694824219,111.0999984741211,125.0,29231,2024-02-26
2024-03-04,125.0999984741211,125.0999984741211,138.0,118.05000305175781,118.05000305175781,145652,2024-03-04
2024-03-11,115.5,115.5,131.0,101.9000015258789,130.8000030517578,35955,2024-03-11
2024-03-18,120.55000305175781,120.55000305175781,122.30000305175781,113.44999694824219,115.5,19818,2024-03-18
