Date,Adj Close_NBCC.NS,Close_NBCC.NS,High_NBCC.NS,Low_NBCC.NS,Open_NBCC.NS,Volume_NBCC.NS,Date
2022-02-14,27.26093292236328,27.53333282470703,29.66666603088379,27.366666793823242,29.466665267944336,44199272,2022-02-14
2022-02-21,25.70976448059082,25.966665267944336,27.566665649414062,22.766666412353516,27.333332061767578,81377996,2022-02-21
2022-02-28,24.818668365478516,25.066665649414062,26.766666412353516,24.466665267944336,25.53333282470703,40744208,2022-02-28
2022-03-07,26.10580825805664,26.366666793823242,27.0,23.733333587646484,24.66666603088379,45673637,2022-03-07
2022-03-14,25.643756866455078,25.899999618530273,26.53333282470703,24.933332443237305,26.5,31863795,2022-03-14
2022-03-21,25.247716903686523,25.5,26.66666603088379,25.233333587646484,26.66666603088379,51630750,2022-03-21
2022-03-28,25.18170738220215,25.433332443237305,25.566665649414062,24.16666603088379,25.5,48659283,2022-03-28
2022-04-04,26.666866302490234,26.933332443237305,27.66666603088379,25.566665649414062,25.700000762939453,52664792,2022-04-04
2022-04-11,26.699871063232422,26.966665267944336,28.066665649414062,26.66666603088379,26.933332443237305,26514832,2022-04-11
2022-04-18,26.0398006439209,26.299999237060547,26.899999618530273,25.399999618530273,26.700000762939453,28869415,2022-04-18
2022-04-25,25.01668930053711,25.266666412353516,26.16666603088379,25.200000762939453,26.16666603088379,21563676,2022-04-25
2022-05-02,23.201494216918945,23.433332443237305,25.200000762939453,23.233333587646484,25.066665649414062,19538560,2022-05-02
2022-05-09,21.518314361572266,21.733333587646484,23.433332443237305,21.066665649414062,23.333332061767578,31175016,2022-05-09
2022-05-16,22.475418090820312,22.700000762939453,23.16666603088379,21.66666603088379,21.966665267944336,19373948,2022-05-16
2022-05-23,21.980365753173828,22.200000762939453,23.0,20.5,23.0,24754088,2022-05-23
2022-05-30,21.914356231689453,22.133333206176758,23.0,21.899999618530273,22.600000381469727,26695388,2022-05-30
2022-06-06,20.85824203491211,21.066665649414062,22.200000762939453,20.899999618530273,22.200000762939453,18995278,2022-06-06
2022-06-13,19.0760498046875,19.266666412353516,20.799999237060547,17.700000762939453,20.733333587646484,36929684,2022-06-13
2022-06-20,18.812023162841797,19.0,19.333332061767578,18.066665649414062,19.233333587646484,28632819,2022-06-20
2022-06-27,18.977041244506836,19.16666603088379,19.600000381469727,18.733333587646484,19.466665267944336,21431896,2022-06-27
2022-07-04,20.363187789916992,20.566665649414062,21.899999618530273,18.700000762939453,19.133333206176758,68239527,2022-07-04
2022-07-11,20.000150680541992,20.200000762939453,21.233333587646484,19.899999618530273,20.200000762939453,20753634,2022-07-11
2022-07-18,21.584320068359375,21.799999237060547,22.933332443237305,20.366666793823242,20.5,68954437,2022-07-18
2022-07-25,21.749338150024414,21.966665267944336,23.233333587646484,21.333332061767578,21.866666793823242,54362021,2022-07-25
2022-08-01,22.805452346801758,23.03333282470703,23.966665267944336,21.466665267944336,22.100000381469727,36815657,2022-08-01
2022-08-08,21.980365753173828,22.200000762939453,23.600000381469727,22.0,23.299999237060547,23890310,2022-08-08
2022-08-15,22.046371459960938,22.266666412353516,22.966665267944336,22.066665649414062,22.200000762939453,18904067,2022-08-15
2022-08-22,22.310400009155273,22.53333282470703,22.966665267944336,21.66666603088379,22.200000762939453,14939717,2022-08-22
2022-08-29,22.607431411743164,22.833332061767578,23.433332443237305,21.466665267944336,21.700000762939453,23176727,2022-08-29
2022-09-05,23.92757225036621,24.16666603088379,24.633333206176758,22.633333206176758,22.933332443237305,44936109,2022-09-05
2022-09-12,22.574426651000977,22.799999237060547,24.399999618530273,22.66666603088379,24.200000762939453,19427040,2022-09-12
2022-09-19,21.914356231689453,22.133333206176758,23.16666603088379,22.03333282470703,22.53333282470703,17467078,2022-09-19
2022-09-26,20.297182083129883,20.5,22.200000762939453,19.866666793823242,22.133333206176758,20492271,2022-09-26
2022-10-03,21.122270584106445,21.333332061767578,21.600000381469727,20.433332443237305,20.566665649414062,11975388,2022-10-03
2022-10-10,19.967147827148438,20.16666603088379,21.266666412353516,20.066665649414062,21.16666603088379,10708534,2022-10-10
2022-10-17,21.320293426513672,21.53333282470703,22.16666603088379,20.100000381469727,20.299999237060547,33534128,2022-10-17
2022-10-24,21.55131721496582,21.766666412353516,22.399999618530273,21.66666603088379,21.66666603088379,13008675,2022-10-24
2022-10-31,22.376405715942383,22.600000381469727,22.933332443237305,21.600000381469727,21.933332443237305,26141971,2022-10-31
2022-11-07,22.97047233581543,23.200000762939453,23.466665267944336,22.133333206176758,22.799999237060547,27094309,2022-11-07
2022-11-14,25.049694061279297,25.299999237060547,25.933332443237305,22.799999237060547,23.200000762939453,141576084,2022-11-14
