Date,Adj Close_PPL.NS,Close_PPL.NS,High_PPL.NS,Low_PPL.NS,Open_PPL.NS,Volume_PPL.NS,Date
2024-05-20,404.9638671875,406.1499938964844,406.1499938964844,364.6000061035156,371.04998779296875,654884,2024-05-20
2024-05-27,393.2481994628906,394.3999938964844,428.25,382.25,424.75,993055,2024-05-27
2024-06-03,424.40692138671875,425.6499938964844,434.0,355.5,400.0,942749,2024-06-03
2024-06-10,443.3016052246094,444.6000061035156,459.0,420.6000061035156,432.0,839221,2024-06-10
2024-06-17,450.7796936035156,452.1000061035156,459.5,438.0,444.6000061035156,463054,2024-06-17
2024-06-24,451.07879638671875,452.3999938964844,483.0,448.0,450.0,1036715,2024-06-24
2024-07-01,493.3051452636719,494.75,524.9000244140625,452.8999938964844,453.6000061035156,1460320,2024-07-01
2024-07-08,499.58673095703125,501.04998779296875,539.7000122070312,487.1000061035156,509.0,1207752,2024-07-08
2024-07-15,473.7125244140625,475.1000061035156,520.0,467.1499938964844,505.0,584440,2024-07-15
2024-07-22,498.3902587890625,499.8500061035156,520.0,459.1000061035156,475.1000061035156,973756,2024-07-22
2024-07-29,498.1409912109375,499.6000061035156,539.0,495.0,506.0,798769,2024-07-29
2024-08-05,488.12030029296875,489.54998779296875,494.0,462.3500061035156,480.0,577834,2024-08-05
2024-08-12,568.7840576171875,570.4500122070312,577.7000122070312,474.5,483.0,2792929,2024-08-12
2024-08-19,592.9133911132812,594.6500244140625,615.0,551.25,574.4500122070312,1994649,2024-08-19
2024-08-26,620.9811401367188,622.7999877929688,646.0,578.5999755859375,597.7999877929688,1636704,2024-08-26
2024-09-02,639.9256591796875,641.7999877929688,667.9500122070312,602.7999877929688,630.0,957987,2024-09-02
2024-09-09,609.115966796875,610.9000244140625,661.0,604.0999755859375,650.0,808617,2024-09-09
2024-09-16,593.2125244140625,594.9500122070312,627.1500244140625,574.25,610.0,686728,2024-09-16
2024-09-23,573.5499877929688,573.5499877929688,600.0999755859375,565.4000244140625,590.0,448978,2024-09-23
2024-09-30,584.6500244140625,584.6500244140625,596.7999877929688,562.0,573.5499877929688,380615,2024-09-30
2024-10-07,557.5,557.5,600.0,526.6500244140625,595.0,575164,2024-10-07
2024-10-14,570.75,570.75,610.0,537.3499755859375,565.8499755859375,1200876,2024-10-14
2024-10-21,518.7999877929688,518.7999877929688,573.9500122070312,501.70001220703125,571.0499877929688,549484,2024-10-21
2024-10-28,568.9000244140625,568.9000244140625,576.0,492.29998779296875,518.7999877929688,386440,2024-10-28
2024-11-04,540.2999877929688,540.2999877929688,575.0,530.0,568.9000244140625,468401,2024-11-04
2024-11-11,497.5,497.5,543.0999755859375,473.0,543.0,463551,2024-11-11
2024-11-18,484.29998779296875,484.29998779296875,512.0,464.3500061035156,497.5,550585,2024-11-18
2024-11-25,512.6500244140625,512.6500244140625,530.9000244140625,493.25,510.0,511479,2024-11-25
2024-12-02,521.3499755859375,521.3499755859375,527.9500122070312,508.1000061035156,516.0,379610,2024-12-02
2024-12-09,555.7000122070312,555.7000122070312,574.0999755859375,522.4000244140625,524.0,802297,2024-12-09
2024-12-16,499.5,499.5,562.5,486.1499938964844,562.0,310641,2024-12-16
