Date,Adj Close_SNOWMAN.NS,Close_SNOWMAN.NS,High_SNOWMAN.NS,Low_SNOWMAN.NS,Open_SNOWMAN.NS,Volume_SNOWMAN.NS,Date
2023-05-15,34.97685623168945,36.099998474121094,36.599998474121094,34.70000076293945,34.900001525878906,1110718,2023-05-15
2023-05-22,36.72085952758789,37.900001525878906,39.70000076293945,35.150001525878906,36.349998474121094,5519635,2023-05-22
2023-05-29,36.72085952758789,37.900001525878906,39.0,37.0,38.5,2780507,2023-05-29
2023-06-05,42.970184326171875,44.349998474121094,46.75,36.650001525878906,38.25,20171130,2023-06-05
2023-06-12,41.12929916381836,42.45000076293945,44.54999923706055,42.150001525878906,44.45000076293945,4538979,2023-06-12
2023-06-19,42.34040832519531,43.70000076293945,46.0,42.20000076293945,42.25,6882308,2023-06-19
2023-06-26,44.42351531982422,45.849998474121094,46.29999923706055,42.75,43.599998474121094,4353314,2023-06-26
2023-07-03,44.132850646972656,45.54999923706055,47.45000076293945,44.20000076293945,46.04999923706055,5922238,2023-07-03
2023-07-10,48.10529327392578,49.650001525878906,50.0,44.70000076293945,45.75,10290514,2023-07-10
2023-07-17,49.074180603027344,50.650001525878906,52.45000076293945,48.150001525878906,50.25,15235434,2023-07-17
2023-07-24,47.717735290527344,49.25,51.45000076293945,48.45000076293945,51.20000076293945,4899846,2023-07-24
2023-07-31,48.299068450927734,49.849998474121094,52.79999923706055,49.20000076293945,49.95000076293945,9192791,2023-07-31
2023-08-07,50.139957427978516,51.75,54.95000076293945,49.099998474121094,49.900001525878906,14272612,2023-08-07
2023-08-14,48.59490966796875,49.20000076293945,52.150001525878906,48.849998474121094,51.75,4946291,2023-08-14
2023-08-21,53.28649139404297,53.95000076293945,56.29999923706055,48.70000076293945,48.900001525878906,11524032,2023-08-21
2023-08-28,54.07665252685547,54.75,56.150001525878906,52.150001525878906,53.95000076293945,6891265,2023-08-28
2023-09-04,54.12603759765625,54.79999923706055,57.79999923706055,53.900001525878906,55.099998474121094,10621004,2023-09-04
2023-09-11,51.508628845214844,52.150001525878906,57.04999923706055,50.0,55.54999923706055,8180988,2023-09-11
2023-09-18,49.82953643798828,50.45000076293945,53.400001525878906,49.79999923706055,52.20000076293945,5004354,2023-09-18
2023-09-25,49.82953643798828,50.45000076293945,51.349998474121094,49.29999923706055,50.650001525878906,3280706,2023-09-25
2023-10-02,49.82953643798828,50.45000076293945,52.0,49.70000076293945,50.45000076293945,2753136,2023-10-02
2023-10-09,48.94060516357422,49.54999923706055,51.400001525878906,48.5,49.650001525878906,2885620,2023-10-09
2023-10-16,51.162933349609375,51.79999923706055,53.599998474121094,49.54999923706055,49.54999923706055,6721102,2023-10-16
2023-10-23,47.952903747558594,48.54999923706055,52.0,46.099998474121094,51.79999923706055,3876672,2023-10-23
2023-10-30,49.977691650390625,50.599998474121094,51.79999923706055,47.95000076293945,48.79999923706055,1801790,2023-10-30
2023-11-06,49.138145446777344,49.75,54.5,49.29999923706055,51.25,7176242,2023-11-06
2023-11-13,54.07665252685547,54.75,56.400001525878906,50.650001525878906,52.099998474121094,11538742,2023-11-13
2023-11-20,58.669464111328125,59.400001525878906,61.0,53.25,55.349998474121094,24018360,2023-11-20
2023-11-27,57.28668212890625,58.0,61.70000076293945,56.349998474121094,59.400001525878906,14455850,2023-11-27
2023-12-04,60.05224609375,60.79999923706055,63.45000076293945,56.5,58.599998474121094,15151885,2023-12-04
2023-12-11,59.70655059814453,60.45000076293945,62.20000076293945,59.599998474121094,61.099998474121094,7621404,2023-12-11
2023-12-18,62.225189208984375,63.0,64.44999694824219,54.54999923706055,60.29999923706055,15713089,2023-12-18
2023-12-25,62.71903991699219,63.5,65.80000305175781,61.5,63.0,10417479,2023-12-25
2024-01-01,67.06492614746094,67.9000015258789,69.0,62.5,63.5,23144893,2024-01-01
2024-01-08,73.04051971435547,73.94999694824219,79.25,68.30000305175781,68.3499984741211,41525684,2024-01-08
2024-01-15,69.68233489990234,70.55000305175781,74.9000015258789,66.4000015258789,74.5,12503898,2024-01-15
2024-01-22,71.26265716552734,72.1500015258789,75.1500015258789,68.75,70.55000305175781,5981677,2024-01-22
2024-01-29,69.92926025390625,70.80000305175781,74.1500015258789,68.69999694824219,72.8499984741211,8997921,2024-01-29
2024-02-05,68.4970932006836,69.3499984741211,76.1500015258789,67.4000015258789,71.30000305175781,11638706,2024-02-05
2024-02-12,69.08971405029297,69.94999694824219,71.80000305175781,62.349998474121094,69.9000015258789,13125005,2024-02-12
2024-02-19,79.36180877685547,80.3499984741211,84.9000015258789,69.05000305175781,69.94999694824219,49483792,2024-02-19
2024-02-26,75.01592254638672,75.94999694824219,83.30000305175781,72.5999984741211,80.5,17580449,2024-02-26
2024-03-04,68.69463348388672,69.55000305175781,77.75,69.0,77.3499984741211,6258751,2024-03-04
2024-03-11,62.669654846191406,63.45000076293945,69.9000015258789,56.099998474121094,69.80000305175781,14797837,2024-03-11
2024-03-18,67.4106216430664,68.25,68.94999694824219,62.70000076293945,66.0,12090463,2024-03-18
2024-03-25,72.39851379394531,73.30000305175781,76.19999694824219,67.0,68.25,8867833,2024-03-25
2024-04-01,74.0282211303711,74.94999694824219,77.8499984741211,73.4000015258789,73.8499984741211,7508822,2024-04-01
2024-04-08,70.91696166992188,71.80000305175781,76.0,70.80000305175781,75.3499984741211,4496750,2024-04-08
2024-04-15,67.31185150146484,68.1500015258789,70.19999694824219,61.20000076293945,61.20000076293945,6041236,2024-04-15
2024-04-22,67.60816192626953,68.44999694824219,71.4000015258789,68.05000305175781,68.3499984741211,3526242,2024-04-22
2024-04-29,65.63275909423828,66.44999694824219,70.4000015258789,66.1500015258789,68.75,2189471,2024-04-29
2024-05-06,63.16350555419922,63.95000076293945,67.05000305175781,62.79999923706055,67.0,2655074,2024-05-06
