Date,Adj Close_MANAKCOAT.NS,Close_MANAKCOAT.NS,High_MANAKCOAT.NS,Low_MANAKCOAT.NS,Open_MANAKCOAT.NS,Volume_MANAKCOAT.NS,Date
2022-12-26,17.958904266357422,18.0,18.549999237060547,15.550000190734863,16.649999618530273,202923,2022-12-26
2023-01-02,17.709476470947266,17.75,18.700000762939453,17.649999618530273,18.350000381469727,118095,2023-01-02
2023-01-09,19.106279373168945,19.149999618530273,19.5,17.5,18.149999618530273,216373,2023-01-09
2023-01-16,18.20833396911621,18.25,19.700000762939453,18.100000381469727,19.350000381469727,127093,2023-01-16
2023-01-23,18.70719337463379,18.75,21.5,18.299999237060547,18.549999237060547,787619,2023-01-23
2023-01-30,18.308107376098633,18.350000381469727,21.299999237060547,17.700000762939453,18.700000762939453,723704,2023-01-30
2023-02-06,18.258220672607422,18.299999237060547,19.200000762939453,17.5,19.200000762939453,217195,2023-02-06
2023-02-13,17.809247970581055,17.850000381469727,19.700000762939453,17.200000762939453,18.299999237060547,189942,2023-02-13
2023-02-20,16.96118927001953,17.0,17.899999618530273,16.299999237060547,17.850000381469727,61516,2023-02-20
2023-02-27,16.66187286376953,16.700000762939453,17.100000381469727,15.600000381469727,17.0,88912,2023-02-27
2023-03-06,17.4101619720459,17.450000762939453,17.799999237060547,16.0,17.049999237060547,92865,2023-03-06
2023-03-13,15.414727210998535,15.449999809265137,17.299999237060547,15.300000190734863,16.799999237060547,146815,2023-03-13
2023-03-20,14.76621150970459,14.800000190734863,17.899999618530273,14.100000381469727,15.449999809265137,761751,2023-03-20
2023-03-27,14.76621150970459,14.800000190734863,16.25,13.899999618530273,14.649999618530273,407122,2023-03-27
2023-04-03,15.614270210266113,15.649999618530273,15.75,14.25,14.800000190734863,98389,2023-04-03
2023-04-10,15.464613914489746,15.5,15.949999809265137,15.100000381469727,15.649999618530273,63510,2023-04-10
2023-04-17,15.065526962280273,15.100000381469727,15.699999809265137,15.0,15.100000381469727,118753,2023-04-17
2023-04-24,15.464613914489746,15.5,16.450000762939453,14.800000190734863,15.449999809265137,151364,2023-04-24
2023-05-01,15.364840507507324,15.399999618530273,16.0,15.199999809265137,15.5,76677,2023-05-01
2023-05-08,16.212900161743164,16.25,18.0,15.199999809265137,15.449999809265137,932234,2023-05-08
2023-05-15,15.664156913757324,15.699999809265137,16.399999618530273,15.399999618530273,16.25,1664459,2023-05-15
2023-05-22,19.95433807373047,20.0,21.0,15.199999809265137,15.899999618530273,3323107,2023-05-22
2023-05-29,16.51221466064453,16.549999237060547,20.850000381469727,15.0,19.799999237060547,1881192,2023-05-29
2023-06-05,18.108562469482422,18.149999618530273,19.0,16.5,16.549999237060547,782167,2023-06-05
2023-06-12,18.008790969848633,18.049999237060547,19.0,17.799999237060547,18.399999618530273,478429,2023-06-12
2023-06-19,17.609704971313477,17.649999618530273,18.649999618530273,17.149999618530273,18.100000381469727,544698,2023-06-19
2023-06-26,17.21061897277832,17.25,18.0,17.049999237060547,17.899999618530273,119902,2023-06-26
2023-07-03,17.859134674072266,17.899999618530273,18.700000762939453,17.149999618530273,17.299999237060547,346378,2023-07-03
2023-07-10,17.509931564331055,17.549999237060547,18.049999237060547,17.0,17.899999618530273,272320,2023-07-10
2023-07-17,16.76164436340332,16.799999237060547,18.350000381469727,15.399999618530273,17.799999237060547,564077,2023-07-17
2023-07-24,17.21061897277832,17.25,18.200000762939453,16.450000762939453,16.600000381469727,481594,2023-07-24
