Date,Adj Close_ITDCEM.NS,Close_ITDCEM.NS,High_ITDCEM.NS,Low_ITDCEM.NS,Open_ITDCEM.NS,Volume_ITDCEM.NS,Date
2024-10-07,590.0999755859375,590.0999755859375,673.4000244140625,582.9500122070312,655.0499877929688,11033353,2024-10-07
2024-10-14,583.6500244140625,583.6500244140625,614.0,561.1500244140625,591.2999877929688,5598607,2024-10-14
2024-10-21,533.6500244140625,533.6500244140625,584.7999877929688,507.0,583.6500244140625,5374770,2024-10-21
2024-10-28,566.0499877929688,566.0499877929688,574.0999755859375,491.1000061035156,540.0,7845194,2024-10-28
2024-11-04,542.4500122070312,542.4500122070312,569.9000244140625,534.9000244140625,547.1500244140625,4938118,2024-11-04
2024-11-11,517.75,517.75,544.7999877929688,515.6500244140625,536.0999755859375,4015389,2024-11-11
2024-11-18,485.95001220703125,485.95001220703125,527.2999877929688,480.0,517.0,6076762,2024-11-18
2024-11-25,522.5999755859375,522.5999755859375,525.2000122070312,494.0,501.0,5426093,2024-11-25
2024-12-02,508.8999938964844,508.8999938964844,529.0499877929688,506.1000061035156,526.0,2937050,2024-12-02
2024-12-09,512.7000122070312,512.7000122070312,519.0,502.8500061035156,511.95001220703125,2050184,2024-12-09
2024-12-16,510.25,510.25,529.7999877929688,506.1000061035156,514.8499755859375,2471938,2024-12-16
2024-12-23,531.5499877929688,531.5499877929688,542.6500244140625,514.75,519.0,2172161,2024-12-23
2024-12-30,540.0999755859375,540.0999755859375,560.0,527.0,532.8499755859375,3646768,2024-12-30
2025-01-06,523.4500122070312,523.4500122070312,540.7999877929688,515.2000122070312,540.6500244140625,2851296,2025-01-06
2025-01-13,523.7999877929688,523.7999877929688,525.6500244140625,501.04998779296875,516.1500244140625,2255230,2025-01-13
2025-01-20,513.5999755859375,513.5999755859375,529.9500122070312,510.0,524.8499755859375,1802422,2025-01-20
2025-01-27,535.1500244140625,535.1500244140625,544.0,501.70001220703125,510.1499938964844,3401809,2025-01-27
2025-02-03,537.7000122070312,537.7000122070312,542.7999877929688,521.2000122070312,531.5,4804194,2025-02-03
2025-02-10,524.75,524.75,538.8499755859375,520.0999755859375,536.0,3330218,2025-02-10
2025-02-17,528.2999877929688,528.2999877929688,536.0,517.0999755859375,523.0499877929688,2994471,2025-02-17
2025-02-24,536.5,536.5,538.7000122070312,522.0999755859375,527.5,2052899,2025-02-24
2025-03-03,535.0999755859375,535.0999755859375,537.9500122070312,517.5,536.0,2736825,2025-03-03
2025-03-10,552.6500244140625,552.6500244140625,558.0,532.5499877929688,536.5,3672524,2025-03-10
2025-03-17,554.4500122070312,554.4500122070312,559.2000122070312,550.5,554.8499755859375,2653928,2025-03-17
2025-03-24,557.2999877929688,557.2999877929688,563.9500122070312,551.5499877929688,556.0,4120913,2025-03-24
2025-03-31,558.4000244140625,558.4000244140625,563.0,554.25,557.2999877929688,3274365,2025-03-31
2025-04-07,524.9000244140625,524.9000244140625,569.9500122070312,519.0,550.0,3738512,2025-04-07
2025-04-14,532.2000122070312,532.2000122070312,539.25,520.3499755859375,529.0,1664300,2025-04-14
2025-04-21,518.4000244140625,518.4000244140625,546.0,510.1000061035156,535.0,2042336,2025-04-21
2025-04-28,483.3500061035156,483.3500061035156,520.5999755859375,476.6000061035156,518.4000244140625,1186459,2025-04-28
2025-05-05,523.75,523.75,534.9500122070312,481.0,481.0,3178890,2025-05-05
2025-05-12,653.6500244140625,653.6500244140625,684.2000122070312,531.7000122070312,531.7000122070312,12410906,2025-05-12
