Date,Adj Close_EQUIPPP.NS,Close_EQUIPPP.NS,High_EQUIPPP.NS,Low_EQUIPPP.NS,Open_EQUIPPP.NS,Volume_EQUIPPP.NS,Date
2025-02-17,21.559999465942383,21.559999465942383,23.989999771118164,21.200000762939453,22.0,43240,2025-02-17
2025-02-24,22.229999542236328,22.229999542236328,22.43000030517578,20.549999237060547,21.559999465942383,41260,2025-02-24
2025-03-03,21.469999313354492,21.469999313354492,23.100000381469727,20.81999969482422,23.100000381469727,159601,2025-03-03
2025-03-10,21.5,21.5,22.489999771118164,20.860000610351562,21.469999313354492,67431,2025-03-10
2025-03-17,20.709999084472656,20.709999084472656,21.709999084472656,19.899999618530273,21.709999084472656,221859,2025-03-17
2025-03-24,19.1299991607666,19.1299991607666,22.0,18.8700008392334,21.649999618530273,194178,2025-03-24
2025-03-31,19.399999618530273,19.399999618530273,19.860000610351562,18.950000762939453,19.1299991607666,53424,2025-03-31
2025-04-07,20.610000610351562,20.610000610351562,21.25,17.540000915527344,18.600000381469727,235183,2025-04-07
2025-04-14,22.0,22.0,22.399999618530273,20.1200008392334,21.149999618530273,210909,2025-04-14
2025-04-21,20.389999389648438,20.389999389648438,22.5,20.100000381469727,22.399999618530273,141658,2025-04-21
2025-04-28,19.5,19.5,20.799999237060547,18.940000534057617,20.399999618530273,119754,2025-04-28
2025-05-05,20.950000762939453,20.950000762939453,21.979999542236328,19.299999237060547,19.399999618530273,247943,2025-05-05
2025-05-12,20.360000610351562,20.360000610351562,21.790000915527344,20.0,21.5,55042,2025-05-12
2025-05-19,21.290000915527344,21.290000915527344,21.479999542236328,20.0,20.549999237060547,85383,2025-05-19
2025-05-26,19.950000762939453,19.950000762939453,21.5,19.399999618530273,20.850000381469727,178499,2025-05-26
2025-06-02,19.280000686645508,19.280000686645508,20.700000762939453,19.100000381469727,20.0,74369,2025-06-02
2025-06-09,19.239999771118164,19.239999771118164,19.770000457763672,17.700000762939453,19.280000686645508,120545,2025-06-09
2025-06-16,19.68000030517578,19.68000030517578,20.290000915527344,18.709999084472656,19.34000015258789,110815,2025-06-16
2025-06-23,18.889999389648438,18.889999389648438,20.75,18.5,19.68000030517578,96503,2025-06-23
2025-06-30,17.93000030517578,17.93000030517578,19.149999618530273,17.899999618530273,18.799999237060547,151897,2025-06-30
2025-07-07,17.850000381469727,17.850000381469727,18.299999237060547,16.260000228881836,18.299999237060547,127352,2025-07-07
2025-07-14,17.899999618530273,17.899999618530273,18.489999771118164,16.950000762939453,18.18000030517578,57688,2025-07-14
