Date,Adj Close_SESHAPAPER.NS,Close_SESHAPAPER.NS,High_SESHAPAPER.NS,Low_SESHAPAPER.NS,Open_SESHAPAPER.NS,Volume_SESHAPAPER.NS,Date
2023-05-08,272.2249755859375,284.79998779296875,293.25,283.04998779296875,286.70001220703125,356803,2023-05-08
2023-05-15,262.093017578125,274.20001220703125,289.0,272.54998779296875,287.70001220703125,222717,2023-05-15
2023-05-22,263.0010681152344,275.1499938964844,279.95001220703125,264.3500061035156,276.8500061035156,346214,2023-05-22
2023-05-29,268.3059997558594,280.70001220703125,288.79998779296875,272.3500061035156,276.0,394155,2023-05-29
2023-06-05,255.0197296142578,266.79998779296875,286.6000061035156,265.1000061035156,283.6000061035156,516822,2023-06-05
2023-06-12,272.7442626953125,279.29998779296875,284.6000061035156,266.0,267.79998779296875,297056,2023-06-12
2023-06-19,266.2991943359375,272.70001220703125,283.8500061035156,271.1000061035156,283.0,228547,2023-06-19
2023-06-26,274.50201416015625,281.1000061035156,283.95001220703125,270.0,270.20001220703125,209739,2023-06-26
2023-07-03,276.4550476074219,283.1000061035156,299.8999938964844,278.0,279.0,1032946,2023-07-03
2023-07-10,280.2635192871094,287.0,299.5,282.8999938964844,283.6000061035156,452903,2023-07-10
2023-07-17,290.95654296875,297.95001220703125,303.0,286.54998779296875,289.8999938964844,619127,2023-07-17
2023-07-24,267.47100830078125,273.8999938964844,289.0,265.45001220703125,289.0,760330,2023-07-24
2023-07-31,251.89540100097656,257.95001220703125,281.95001220703125,254.14999389648438,276.8500061035156,819065,2023-07-31
2023-08-07,262.05126953125,268.3500061035156,271.25,256.75,261.79998779296875,348667,2023-08-07
2023-08-14,275.9668273925781,282.6000061035156,294.3999938964844,261.1499938964844,268.95001220703125,927118,2023-08-14
2023-08-21,301.3565368652344,308.6000061035156,318.0,281.0,282.8500061035156,1577111,2023-08-21
2023-08-28,313.31903076171875,320.8500061035156,323.0,305.79998779296875,311.0,882101,2023-08-28
2023-09-04,365.612060546875,374.3999938964844,393.95001220703125,315.5,323.0,3721655,2023-09-04
2023-09-11,373.3754577636719,382.3500061035156,421.8500061035156,376.0,383.95001220703125,2269758,2023-09-11
2023-09-18,365.6609191894531,374.45001220703125,387.45001220703125,367.95001220703125,382.0,446619,2023-09-18
2023-09-25,375.42620849609375,384.45001220703125,388.6499938964844,370.0,372.3999938964844,526266,2023-09-25
2023-10-02,368.8834228515625,377.75,387.0,374.29998779296875,384.45001220703125,295142,2023-10-02
2023-10-09,360.38763427734375,369.04998779296875,387.29998779296875,359.29998779296875,376.0,815096,2023-10-09
2023-10-16,357.16510009765625,365.75,384.70001220703125,359.1000061035156,369.8500061035156,593905,2023-10-16
2023-10-23,343.83551025390625,352.1000061035156,368.6000061035156,327.6000061035156,368.6000061035156,511141,2023-10-23
2023-10-30,339.92938232421875,348.1000061035156,355.6499938964844,333.95001220703125,354.70001220703125,262609,2023-10-30
2023-11-06,323.32843017578125,331.1000061035156,342.0,327.04998779296875,341.54998779296875,462047,2023-11-06
2023-11-13,323.32843017578125,331.1000061035156,349.0,327.79998779296875,336.8999938964844,330898,2023-11-13
2023-11-20,319.3734436035156,327.04998779296875,337.79998779296875,326.0,332.79998779296875,199546,2023-11-20
2023-11-27,328.5039978027344,336.3999938964844,339.45001220703125,323.1499938964844,327.04998779296875,207540,2023-11-27
2023-12-04,343.93316650390625,352.20001220703125,364.0,335.54998779296875,338.25,712343,2023-12-04
2023-12-11,343.2496032714844,351.5,372.8500061035156,348.1499938964844,348.8999938964844,400192,2023-12-11
2023-12-18,347.5951232910156,355.95001220703125,370.20001220703125,343.0,354.29998779296875,603221,2023-12-18
2023-12-25,345.8373718261719,354.1499938964844,366.70001220703125,347.0,355.95001220703125,340325,2023-12-25
2024-01-01,352.7218933105469,361.20001220703125,368.0,345.3500061035156,353.1000061035156,312924,2024-01-01
2024-01-08,355.7003173828125,364.25,375.5,350.25,363.04998779296875,329132,2024-01-08
2024-01-15,358.1904602050781,366.79998779296875,383.29998779296875,346.54998779296875,365.0,722480,2024-01-15
2024-01-22,323.18194580078125,330.95001220703125,366.79998779296875,323.54998779296875,366.79998779296875,446099,2024-01-22
2024-01-29,328.9434509277344,336.8500061035156,354.0,332.29998779296875,332.3999938964844,416838,2024-01-29
2024-02-05,322.35186767578125,330.1000061035156,341.3999938964844,322.75,337.04998779296875,300650,2024-02-05
2024-02-12,321.0823669433594,328.79998779296875,335.6000061035156,315.1000061035156,330.1000061035156,191784,2024-02-12
2024-02-19,334.3143615722656,342.3500061035156,350.0,323.5,330.0,384135,2024-02-19
2024-02-26,324.2073059082031,332.0,346.0,324.3500061035156,342.3999938964844,207060,2024-02-26
2024-03-04,326.4044494628906,334.25,348.8999938964844,327.1000061035156,336.3999938964844,239672,2024-03-04
2024-03-11,310.535888671875,318.0,334.25,300.04998779296875,334.20001220703125,212853,2024-03-11
2024-03-18,304.8232116699219,312.1499938964844,318.79998779296875,296.54998779296875,318.0,167589,2024-03-18
