Date,Adj Close_FINCABLES.NS,Close_FINCABLES.NS,High_FINCABLES.NS,Low_FINCABLES.NS,Open_FINCABLES.NS,Volume_FINCABLES.NS,Date
2023-10-23,865.9959716796875,870.9500122070312,933.9500122070312,841.2000122070312,931.0,2769535,2023-10-23
2023-10-30,905.022705078125,910.2000122070312,940.2000122070312,875.2000122070312,879.0,4111086,2023-10-30
2023-11-06,928.5879516601562,933.9000244140625,964.0,900.0499877929688,920.0,4008312,2023-11-06
2023-11-13,910.4417114257812,915.6500244140625,934.4000244140625,896.4500122070312,934.2999877929688,1386118,2023-11-13
2023-11-20,919.2413940429688,924.5,935.0499877929688,900.0,915.6500244140625,1703183,2023-11-20
2023-11-27,1018.622802734375,1024.449951171875,1032.5,924.5,924.5,2732113,2023-11-27
2023-12-04,1026.279052734375,1032.1500244140625,1069.0,1011.0,1060.0,2734532,2023-12-04
2023-12-11,1119.197509765625,1125.5999755859375,1143.949951171875,1035.0,1035.300048828125,2743500,2023-12-11
2023-12-18,1047.557373046875,1053.550048828125,1157.949951171875,1020.0999755859375,1127.0,1648986,2023-12-18
2023-12-25,1063.068603515625,1069.1500244140625,1078.0,1040.0,1053.550048828125,917593,2023-12-25
2024-01-01,1038.2108154296875,1044.1500244140625,1087.9000244140625,1025.0,1055.0,924986,2024-01-01
2024-01-08,1048.3031005859375,1054.300048828125,1078.300048828125,1021.0499877929688,1042.0,1051693,2024-01-08
2024-01-15,1059.63818359375,1065.699951171875,1097.4000244140625,1032.199951171875,1067.9000244140625,923691,2024-01-15
2024-01-22,1100.5045166015625,1106.800048828125,1124.0,1061.050048828125,1065.699951171875,856504,2024-01-22
2024-01-29,1058.6439208984375,1064.699951171875,1120.0,1054.9000244140625,1117.0,892976,2024-01-29
2024-02-05,1052.429443359375,1058.449951171875,1183.0,1052.0,1064.0,1975747,2024-02-05
2024-02-12,993.3673095703125,999.0499877929688,1069.949951171875,982.0499877929688,1059.050048828125,987493,2024-02-12
2024-02-19,975.2211303710938,980.7999877929688,1006.2000122070312,978.0,1000.25,595500,2024-02-19
2024-02-26,909.646240234375,914.8499755859375,989.2999877929688,907.5,987.9500122070312,1098146,2024-02-26
2024-03-04,901.244384765625,906.4000244140625,969.5999755859375,901.0499877929688,961.0,868431,2024-03-04
2024-03-11,872.9561767578125,877.9500122070312,916.0,831.25,905.2000122070312,2573764,2024-03-11
2024-03-18,884.73876953125,889.7999877929688,910.6500244140625,854.0,877.9500122070312,1523735,2024-03-18
2024-03-25,995.3062133789062,1001.0,1008.9000244140625,889.7999877929688,889.7999877929688,3227852,2024-03-25
2024-04-01,985.412841796875,991.0499877929688,1045.75,969.0,1003.0,1641431,2024-04-01
2024-04-08,994.659912109375,1000.3499755859375,1022.0,987.0999755859375,995.0,696318,2024-04-08
2024-04-15,964.9300537109375,970.4500122070312,1005.5999755859375,960.5999755859375,981.7000122070312,461269,2024-04-15
2024-04-22,998.6869506835938,1004.4000244140625,1032.0,966.2999877929688,977.0,991945,2024-04-22
