Date,Adj Close_CHOICEIN.NS,Close_CHOICEIN.NS,High_CHOICEIN.NS,Low_CHOICEIN.NS,Open_CHOICEIN.NS,Volume_CHOICEIN.NS,Date
2024-07-29,395.29998779296875,395.29998779296875,413.8999938964844,390.0,400.5,3768722,2024-07-29
2024-08-05,394.6499938964844,394.6499938964844,396.6499938964844,378.29998779296875,389.8999938964844,2317677,2024-08-05
2024-08-12,392.79998779296875,392.79998779296875,403.79998779296875,389.0,396.3999938964844,2497626,2024-08-12
2024-08-19,431.1000061035156,431.1000061035156,434.0,394.3999938964844,396.8999938964844,4860746,2024-08-19
2024-08-26,450.95001220703125,450.95001220703125,454.70001220703125,426.29998779296875,432.0,3673107,2024-08-26
2024-09-02,450.45001220703125,450.45001220703125,461.3999938964844,441.1000061035156,453.29998779296875,2987556,2024-09-02
2024-09-09,457.45001220703125,457.45001220703125,467.45001220703125,442.20001220703125,450.79998779296875,3910591,2024-09-09
2024-09-16,457.25,457.25,471.8999938964844,450.04998779296875,461.0,2945684,2024-09-16
2024-09-23,467.04998779296875,467.04998779296875,477.0,458.6499938964844,459.8999938964844,2510248,2024-09-23
2024-09-30,470.1000061035156,470.1000061035156,482.8500061035156,461.04998779296875,467.0,2006222,2024-09-30
2024-10-07,481.1000061035156,481.1000061035156,487.1000061035156,443.1000061035156,474.45001220703125,3823708,2024-10-07
2024-10-14,493.04998779296875,493.04998779296875,497.79998779296875,472.29998779296875,485.5,3139989,2024-10-14
2024-10-21,455.70001220703125,455.70001220703125,498.1000061035156,451.54998779296875,495.8999938964844,2288019,2024-10-21
2024-10-28,522.8499755859375,522.8499755859375,528.7999877929688,449.5,459.8999938964844,3898401,2024-10-28
2024-11-04,523.9500122070312,523.9500122070312,539.9000244140625,507.25,526.0,3930795,2024-11-04
2024-11-11,526.7999877929688,526.7999877929688,534.0999755859375,503.25,522.0,2149364,2024-11-11
2024-11-18,537.7999877929688,537.7999877929688,540.0,518.0,528.0,1897702,2024-11-18
2024-11-25,530.2999877929688,530.2999877929688,555.0,515.0,549.0,2278250,2024-11-25
2024-12-02,553.1500244140625,553.1500244140625,557.8499755859375,525.2999877929688,531.2000122070312,2313698,2024-12-02
2024-12-09,553.4000244140625,553.4000244140625,565.2000122070312,543.25,553.4000244140625,2036510,2024-12-09
2024-12-16,532.9500122070312,532.9500122070312,568.9000244140625,530.0,554.0,2662899,2024-12-16
2024-12-23,550.4500122070312,550.4500122070312,563.7000122070312,525.5999755859375,536.9000244140625,3037113,2024-12-23
2024-12-30,547.2999877929688,547.2999877929688,562.4000244140625,530.7000122070312,551.5,2611068,2024-12-30
2025-01-06,522.5999755859375,522.5999755859375,555.9500122070312,520.25,553.0,1303228,2025-01-06
2025-01-13,542.7000122070312,542.7000122070312,545.9500122070312,493.70001220703125,521.5,2575056,2025-01-13
2025-01-20,516.1500244140625,516.1500244140625,545.9000244140625,514.25,545.8499755859375,1354018,2025-01-20
2025-01-27,513.0499877929688,513.0499877929688,518.75,478.54998779296875,514.9000244140625,2627790,2025-01-27
2025-02-03,534.75,534.75,538.75,498.0,509.0,2178643,2025-02-03
2025-02-10,492.5,492.5,533.9000244140625,479.5,533.0,3413136,2025-02-10
2025-02-17,489.04998779296875,489.04998779296875,500.54998779296875,482.45001220703125,495.0,1853294,2025-02-17
2025-02-24,465.6499938964844,465.6499938964844,492.8999938964844,460.45001220703125,487.79998779296875,1204760,2025-02-24
2025-03-03,487.04998779296875,487.04998779296875,494.5,438.45001220703125,468.70001220703125,2645200,2025-03-03
2025-03-10,480.6499938964844,480.6499938964844,493.0,476.8500061035156,488.3999938964844,948948,2025-03-10
2025-03-17,496.8999938964844,496.8999938964844,507.8500061035156,480.54998779296875,483.0,1486774,2025-03-17
2025-03-24,501.8500061035156,501.8500061035156,510.1000061035156,484.70001220703125,500.95001220703125,1961913,2025-03-24
2025-03-31,513.7000122070312,513.7000122070312,521.4000244140625,494.1499938964844,501.8500061035156,1499610,2025-03-31
2025-04-07,515.5999755859375,515.5999755859375,518.8499755859375,476.5,485.0,1604311,2025-04-07
2025-04-14,544.2999877929688,544.2999877929688,546.7000122070312,515.5999755859375,515.5999755859375,2173621,2025-04-14
2025-04-21,624.7999877929688,624.7999877929688,635.0,549.5499877929688,550.0,8997436,2025-04-21
2025-04-28,613.9000244140625,613.9000244140625,638.0,604.2999877929688,635.7000122070312,3536720,2025-04-28
2025-05-05,619.5499877929688,619.5499877929688,647.0,604.4500122070312,618.0,4291879,2025-05-05
2025-05-12,684.2000122070312,684.2000122070312,692.4000244140625,635.0499877929688,643.9500122070312,4054942,2025-05-12
2025-05-19,703.75,703.75,712.5,679.9000244140625,685.7000122070312,2102060,2025-05-19
2025-05-26,701.5499877929688,701.5499877929688,718.7000122070312,698.0999755859375,707.7999877929688,1592839,2025-05-26
2025-06-02,701.0999755859375,701.0999755859375,712.75,693.0,703.0,1817992,2025-06-02
2025-06-09,694.7000122070312,694.7000122070312,723.0,683.5,704.9000244140625,2119431,2025-06-09
2025-06-16,704.5,704.5,708.0499877929688,681.0,696.0,1823221,2025-06-16
2025-06-23,703.5,703.5,721.2999877929688,695.7000122070312,703.0,2495253,2025-06-23
2025-06-30,734.4000244140625,734.4000244140625,738.5,688.5,705.9000244140625,2450419,2025-06-30
2025-07-07,705.9500122070312,705.9500122070312,740.0,697.5,734.9000244140625,1900606,2025-07-07
2025-07-14,705.2000122070312,705.2000122070312,721.0,685.1500244140625,706.5499877929688,992404,2025-07-14
