Date,Adj Close_ALKEM.NS,Close_ALKEM.NS,High_ALKEM.NS,Low_ALKEM.NS,Open_ALKEM.NS,Volume_ALKEM.NS,Date
2024-06-17,5084.56396484375,5129.25,5258.85009765625,4908.7998046875,5101.9501953125,908381,2024-06-17
2024-06-24,4947.865234375,4991.35009765625,5259.0,4896.89990234375,5088.0,2252818,2024-06-24
2024-07-01,5019.43603515625,5063.5498046875,5085.0,4872.0,4992.0,842352,2024-07-01
2024-07-08,5153.45849609375,5198.75,5348.7998046875,5063.0,5090.0,1276865,2024-07-08
2024-07-15,5088.92529296875,5133.64990234375,5450.0,5111.5498046875,5236.10009765625,1191297,2024-07-15
2024-07-22,5243.7646484375,5289.85009765625,5316.85009765625,5030.39990234375,5130.0,618714,2024-07-22
2024-07-29,5249.61376953125,5295.75,5405.85009765625,5180.0,5325.0,704108,2024-07-29
2024-08-05,5746.34765625,5796.85009765625,5848.0,5164.75,5200.0498046875,3135304,2024-08-05
2024-08-12,5637.4052734375,5681.9501953125,5850.0,5625.60009765625,5850.0,1242659,2024-08-12
2024-08-19,5708.7412109375,5753.85009765625,5864.5498046875,5677.35009765625,5722.14990234375,1434059,2024-08-19
2024-08-26,6121.97607421875,6170.35009765625,6199.89990234375,5700.0,5795.14990234375,1686611,2024-08-26
2024-09-02,6260.48193359375,6309.9501953125,6346.7001953125,6040.0498046875,6174.9501953125,1105594,2024-09-02
2024-09-09,6316.34033203125,6366.25,6439.89990234375,6250.39990234375,6310.4501953125,956927,2024-09-09
2024-09-16,6039.03125,6086.75,6411.25,6042.5,6369.0,677814,2024-09-16
2024-09-23,6136.1142578125,6184.60009765625,6264.0,5966.0498046875,6111.0,939364,2024-09-23
2024-09-30,6145.58935546875,6194.14990234375,6320.0,6030.60009765625,6184.60009765625,910786,2024-09-30
2024-10-07,6142.76171875,6191.2998046875,6375.5498046875,6071.39990234375,6230.0,798969,2024-10-07
2024-10-14,6084.6708984375,6132.75,6318.5498046875,5998.0,6191.2998046875,823362,2024-10-14
2024-10-21,5895.9619140625,5942.5498046875,6250.0,5805.0,6170.0,1021051,2024-10-21
2024-10-28,5759.73828125,5805.25,6084.5,5750.0,5954.2998046875,592002,2024-10-28
2024-11-04,5661.7626953125,5706.5,5958.89990234375,5620.10009765625,5762.39990234375,1204035,2024-11-04
2024-11-11,5481.63623046875,5524.9501953125,5745.10009765625,5361.0498046875,5712.0,1503255,2024-11-11
2024-11-18,5539.578125,5583.35009765625,5665.0,5463.0,5550.0,1174651,2024-11-18
2024-11-25,5598.21484375,5642.4501953125,5718.5,5374.2001953125,5699.0,6883129,2024-11-25
2024-12-02,5462.23876953125,5505.39990234375,5751.0,5493.0498046875,5658.0,863235,2024-12-02
2024-12-09,5330.43017578125,5372.5498046875,5700.0,5341.5498046875,5532.9501953125,530685,2024-12-09
2024-12-16,5384.94970703125,5427.5,5543.25,5351.64990234375,5353.35009765625,632946,2024-12-16
2024-12-23,5439.71728515625,5482.7001953125,5515.0,5345.0498046875,5431.2998046875,270740,2024-12-23
2024-12-30,5459.5107421875,5502.64990234375,5684.64990234375,5486.0498046875,5522.85009765625,532475,2024-12-30
2025-01-06,5333.90283203125,5376.0498046875,5669.89990234375,5311.64990234375,5476.14990234375,490095,2025-01-06
2025-01-13,5214.6455078125,5255.85009765625,5461.0,5143.0,5301.0,421282,2025-01-13
2025-01-20,4983.32373046875,5022.7001953125,5299.0,4999.0,5260.64990234375,361322,2025-01-20
2025-01-27,4990.16943359375,5029.60009765625,5143.25,4869.25,4992.2001953125,484232,2025-01-27
2025-02-03,5110.96484375,5151.35009765625,5318.0,4977.60009765625,5022.64990234375,848907,2025-02-03
2025-02-10,4615.03369140625,4651.5,5095.0498046875,4562.64990234375,5095.0498046875,1728360,2025-02-10
2025-02-17,4601.25,4601.25,4806.0,4570.0,4655.0,930027,2025-02-17
2025-02-24,4646.2001953125,4646.2001953125,4785.14990234375,4491.64990234375,4590.0,975803,2025-02-24
2025-03-03,4738.0498046875,4738.0498046875,4782.35009765625,4523.0,4601.0,772949,2025-03-03
2025-03-10,4706.9501953125,4706.9501953125,4805.89990234375,4608.0,4738.0,359961,2025-03-10
2025-03-17,4979.0,4979.0,5016.75,4725.0,4729.5,460048,2025-03-17
2025-03-24,4881.7001953125,4881.7001953125,5092.39990234375,4848.0,5015.0,536563,2025-03-24
2025-03-31,4828.7001953125,4828.7001953125,5012.9501953125,4738.5498046875,4881.7001953125,385360,2025-03-31
2025-04-07,4887.4501953125,4887.4501953125,4909.35009765625,4611.85009765625,4623.0,341458,2025-04-07
2025-04-14,4953.2998046875,4953.2998046875,4989.5,4852.0,4900.0,207758,2025-04-14
2025-04-21,5033.5,5033.5,5299.0,4921.0,4960.0,520270,2025-04-21
2025-04-28,5071.5,5071.5,5165.89990234375,4960.7001953125,4999.0,253160,2025-04-28
2025-05-05,4946.5,4946.5,5150.0,4850.0,5050.0,306424,2025-05-05
2025-05-12,5221.0,5221.0,5320.5,4935.0,4969.0,521387,2025-05-12
2025-05-19,5288.0,5288.0,5400.0,5192.0,5225.0,762851,2025-05-19
2025-05-26,5098.5,5098.5,5367.0,5043.5,5349.0,1297938,2025-05-26
2025-06-02,4862.5,4862.5,5118.0,4811.0,5077.0,1381408,2025-06-02
2025-06-09,4847.5,4847.5,5005.0,4743.5,4889.0,1458439,2025-06-09
2025-06-16,4773.5,4773.5,4882.5,4743.5,4832.0,1174143,2025-06-16
2025-06-23,4906.5,4906.5,4920.0,4730.5,4774.5,879919,2025-06-23
2025-06-30,4886.2998046875,4886.2998046875,4945.0,4813.60009765625,4930.5,650809,2025-06-30
2025-07-07,4806.7001953125,4806.7001953125,4905.7998046875,4716.2001953125,4895.0,683518,2025-07-07
2025-07-14,4933.2001953125,4933.2001953125,4944.5,4786.7001953125,4796.7001953125,301988,2025-07-14
