Date,Adj Close_STEELXIND.NS,Close_STEELXIND.NS,High_STEELXIND.NS,Low_STEELXIND.NS,Open_STEELXIND.NS,Volume_STEELXIND.NS,Date
2022-08-22,13.149999618530273,13.149999618530273,14.199999809265137,12.600000381469727,13.350000381469727,11302327,2022-08-22
2022-08-29,14.800000190734863,14.800000190734863,14.800000190734863,12.550000190734863,13.25,12109842,2022-08-29
2022-09-05,13.75,13.75,15.5,13.449999809265137,15.199999809265137,17440303,2022-09-05
2022-09-12,13.449999809265137,13.449999809265137,14.0,13.199999809265137,13.899999618530273,8100093,2022-09-12
2022-09-19,12.699999809265137,12.699999809265137,13.850000381469727,12.449999809265137,13.550000190734863,8670413,2022-09-19
2022-09-26,12.449999809265137,12.449999809265137,12.649999618530273,10.949999809265137,12.5,9196301,2022-09-26
2022-10-03,13.050000190734863,13.050000190734863,13.699999809265137,12.600000381469727,12.800000190734863,5157006,2022-10-03
2022-10-10,13.050000190734863,13.050000190734863,13.449999809265137,12.699999809265137,13.050000190734863,4917146,2022-10-10
2022-10-17,12.649999618530273,12.649999618530273,13.25,12.100000381469727,13.25,2685576,2022-10-17
2022-10-24,11.75,11.75,12.949999809265137,11.649999618530273,12.699999809265137,3173975,2022-10-24
2022-10-31,11.800000190734863,11.800000190734863,12.449999809265137,11.649999618530273,11.850000381469727,5821829,2022-10-31
2022-11-07,11.649999618530273,11.649999618530273,12.100000381469727,11.449999809265137,12.100000381469727,4725431,2022-11-07
2022-11-14,11.649999618530273,11.649999618530273,11.949999809265137,11.100000381469727,11.649999618530273,3337314,2022-11-14
2022-11-21,12.600000381469727,12.600000381469727,12.75,11.449999809265137,11.649999618530273,5473036,2022-11-21
2022-11-28,13.350000381469727,13.350000381469727,14.25,12.5,12.550000190734863,15901475,2022-11-28
2022-12-05,13.350000381469727,13.350000381469727,13.800000190734863,13.050000190734863,13.449999809265137,8090890,2022-12-05
2022-12-12,14.949999809265137,14.949999809265137,15.399999618530273,13.600000381469727,14.0,23964080,2022-12-12
2022-12-19,13.5,13.5,15.949999809265137,13.5,15.649999618530273,19352661,2022-12-19
