Date,Adj Close_TCS.NS,Close_TCS.NS,High_TCS.NS,Low_TCS.NS,Open_TCS.NS,Volume_TCS.NS,Date
2022-08-29,3012.6767578125,3130.39990234375,3226.5,3081.0,3125.0,11570533,2022-08-29
2022-09-05,3096.646240234375,3217.64990234375,3233.5,3102.0,3123.64990234375,8283197,2022-09-05
2022-09-12,2895.553466796875,3008.699951171875,3269.800048828125,3000.0,3239.89990234375,16309119,2022-09-12
2022-09-19,2869.90625,2982.050048828125,3079.949951171875,2979.0,3036.0,10540690,2022-09-19
2022-09-26,2891.5595703125,3004.550048828125,3055.85009765625,2926.10009765625,2959.85009765625,13203958,2022-09-26
2022-10-03,2949.639892578125,3064.89990234375,3124.0,2974.0,2995.0,7639901,2022-10-03
2022-10-10,2982.60205078125,3099.14990234375,3150.0,3005.0,3010.0,13760713,2022-10-10
2022-10-17,3019.413818359375,3137.39990234375,3160.39990234375,3071.449951171875,3072.64990234375,7114530,2022-10-17
2022-10-24,3052.170654296875,3163.25,3184.25,3134.35009765625,3170.10009765625,6124752,2022-10-24
2022-10-31,3104.418701171875,3217.39990234375,3270.0,3166.14990234375,3199.0,9203094,2022-10-31
2022-11-07,3199.508056640625,3315.949951171875,3341.60009765625,3170.0,3229.0,7475251,2022-11-07
2022-11-14,3226.042724609375,3343.449951171875,3367.89990234375,3292.0,3324.0,7073543,2022-11-14
2022-11-21,3270.619873046875,3389.64990234375,3403.35009765625,3255.25,3322.5,6489516,2022-11-21
2022-11-28,3318.3818359375,3439.14990234375,3480.0,3365.550048828125,3366.0,11774772,2022-11-28
2022-12-05,3177.122802734375,3292.75,3439.14990234375,3276.35009765625,3433.0,6893084,2022-12-05
2022-12-12,3126.46630859375,3240.25,3377.0,3225.199951171875,3255.5,8238311,2022-12-12
2022-12-19,3114.984130859375,3228.35009765625,3294.0,3163.64990234375,3227.0,7827884,2022-12-19
2022-12-26,3142.33837890625,3256.699951171875,3299.0,3225.050048828125,3228.35009765625,4817893,2022-12-26
2023-01-02,3098.7744140625,3211.550048828125,3337.300048828125,3200.0,3261.0,7500826,2023-01-02
2023-01-09,3256.05029296875,3374.550048828125,3379.0,3221.14990234375,3229.0,13463455,2023-01-09
2023-01-16,3245.002685546875,3363.10009765625,3408.949951171875,3298.050048828125,3317.0,9067664,2023-01-16
2023-01-23,3291.268798828125,3411.050048828125,3451.949951171875,3355.60009765625,3388.0,5115768,2023-01-23
2023-01-30,3360.016845703125,3482.300048828125,3504.0,3351.0,3420.0,10597650,2023-01-30
2023-02-06,3413.32666015625,3537.550048828125,3547.60009765625,3436.85009765625,3473.14990234375,7424555,2023-02-06
2023-02-13,3378.204833984375,3501.14990234375,3575.0,3460.14990234375,3549.0,6777506,2023-02-13
2023-02-20,3281.04052734375,3400.449951171875,3522.0,3382.300048828125,3502.0,6073215,2023-02-20
2023-02-27,3224.787841796875,3342.14990234375,3392.0,3299.89990234375,3390.0,9513274,2023-02-27
2023-03-06,3214.029541015625,3331.0,3404.949951171875,3290.0,3361.89990234375,5851626,2023-03-06
2023-03-13,3067.656494140625,3179.300048828125,3369.800048828125,3144.0,3333.0,14993115,2023-03-13
2023-03-20,3010.921630859375,3120.5,3170.0,3095.050048828125,3169.64990234375,7930499,2023-03-20
2023-03-27,3093.32275390625,3205.89990234375,3213.0,3104.10009765625,3135.0,6950944,2023-03-27
2023-04-03,3107.602783203125,3220.699951171875,3264.35009765625,3173.75,3224.949951171875,5880359,2023-04-03
2023-04-10,3076.87158203125,3188.85009765625,3272.949951171875,3180.0,3220.0,11143763,2023-04-10
2023-04-17,3049.8544921875,3160.85009765625,3164.449951171875,3070.25,3134.10009765625,15769567,2023-04-17
2023-04-24,3106.2041015625,3219.25,3227.25,3126.14990234375,3151.10009765625,11030553,2023-04-24
2023-05-01,3117.251953125,3230.699951171875,3244.0,3173.14990234375,3219.25,8452724,2023-05-01
2023-05-08,3159.32080078125,3274.300048828125,3309.699951171875,3231.300048828125,3245.0,6342699,2023-05-08
2023-05-15,3109.67724609375,3222.85009765625,3292.0,3195.0,3284.0,6247324,2023-05-15
2023-05-22,3212.00341796875,3328.89990234375,3338.64990234375,3217.050048828125,3230.0,7203248,2023-05-22
2023-05-29,3189.52197265625,3305.60009765625,3372.0,3265.14990234375,3360.800048828125,11577995,2023-05-29
2023-06-05,3096.603271484375,3209.300048828125,3327.0,3205.35009765625,3315.0,8986568,2023-06-05
2023-06-12,3063.411376953125,3174.89990234375,3265.0,3156.0,3215.0,11785076,2023-06-12
2023-06-19,3126.486083984375,3216.35009765625,3267.64990234375,3175.0,3190.0,7291733,2023-06-19
2023-06-26,3209.98583984375,3302.25,3310.0,3173.0,3205.0,7090623,2023-06-26
2023-07-03,3236.231689453125,3329.25,3356.89990234375,3268.75,3314.300048828125,8434517,2023-07-03
2023-07-10,3416.451416015625,3514.64990234375,3524.85009765625,3250.10009765625,3324.75,14924090,2023-07-10
2023-07-17,3274.190673828125,3368.300048828125,3549.89990234375,3359.050048828125,3510.0,13234315,2023-07-17
2023-07-24,3270.13232421875,3355.39990234375,3420.85009765625,3331.0,3381.0,8321515,2023-07-24
2023-07-31,3356.042236328125,3443.550048828125,3471.0,3360.89990234375,3364.39990234375,10889588,2023-07-31
2023-08-07,3361.158935546875,3448.800048828125,3489.949951171875,3414.0,3453.949951171875,8059378,2023-08-07
2023-08-14,3281.535400390625,3367.10009765625,3466.0,3356.5,3440.699951171875,6888860,2023-08-14
2023-08-21,3295.37451171875,3381.300048828125,3413.050048828125,3350.25,3375.0,6238564,2023-08-21
2023-08-28,3293.32763671875,3379.199951171875,3417.39990234375,3343.64990234375,3394.0,7865804,2023-08-28
2023-09-04,3354.43408203125,3441.89990234375,3465.0,3370.050048828125,3378.0,8049001,2023-09-04
2023-09-11,3506.8603515625,3598.300048828125,3607.35009765625,3445.0,3462.0,13572167,2023-09-11
2023-09-18,3512.07421875,3603.64990234375,3633.75,3528.0,3580.050048828125,7038305,2023-09-18
