Date,Adj Close_MANINFRA.NS,Close_MANINFRA.NS,High_MANINFRA.NS,Low_MANINFRA.NS,Open_MANINFRA.NS,Volume_MANINFRA.NS,Date
2025-01-06,234.08935546875,235.32000732421875,253.63999938964844,233.0,248.50999450683594,6923757,2025-01-06
2025-01-13,234.25848388671875,235.49000549316406,238.8800048828125,217.08999633789062,230.9600067138672,9100680,2025-01-13
2025-01-20,202.0677032470703,203.1300048828125,236.75,201.3000030517578,236.35000610351562,5839889,2025-01-20
2025-01-27,202.09754943847656,203.16000366210938,205.75,181.77000427246094,200.0,7989288,2025-01-27
2025-02-03,191.09539794921875,192.10000610351562,203.0,190.5,200.0,3776905,2025-02-03
2025-02-10,170.4141082763672,171.30999755859375,193.66000366210938,168.4199981689453,192.10000610351562,3316514,2025-02-10
2025-02-17,165.1466064453125,165.60000610351562,176.94000244140625,160.50999450683594,170.02000427246094,3654221,2025-02-17
2025-02-24,147.544921875,147.9499969482422,165.85000610351562,145.99000549316406,163.5500030517578,2648325,2025-02-24
2025-03-03,153.6781005859375,154.10000610351562,160.60000610351562,139.0,149.94000244140625,7273173,2025-03-03
2025-03-10,138.6792755126953,139.05999755859375,156.6999969482422,138.0,154.0,3389278,2025-03-10
2025-03-17,156.1114044189453,156.5399932861328,159.00999450683594,135.10000610351562,138.6999969482422,4696486,2025-03-17
2025-03-24,148.32278442382812,148.72999572753906,163.1699981689453,145.11000061035156,158.9499969482422,6258615,2025-03-24
2025-03-31,148.83140563964844,149.24000549316406,158.0,147.0,148.72999572753906,3163122,2025-03-31
2025-04-07,144.403564453125,144.8000030517578,150.11000061035156,136.25,138.5,5429762,2025-04-07
2025-04-14,158.95361328125,159.38999938964844,160.0,144.8000030517578,144.8000030517578,4013609,2025-04-14
2025-04-21,158.8738250732422,159.30999755859375,168.0,156.8000030517578,160.0,4271743,2025-04-21
