Date,Adj Close_WSI.NS,Close_WSI.NS,High_WSI.NS,Low_WSI.NS,Open_WSI.NS,Volume_WSI.NS,Date
2023-04-24,73.94999694824219,73.94999694824219,73.94999694824219,60.95000076293945,60.95000076293945,38343,2023-04-24
2023-05-01,89.75,89.75,89.75,70.55000305175781,73.94999694824219,508604,2023-05-01
2023-05-08,73.0,73.0,93.69999694824219,73.0,93.69999694824219,502730,2023-05-08
2023-05-15,89.05000305175781,89.05000305175781,92.9000015258789,69.5,69.5,656555,2023-05-15
2023-05-22,88.5,88.5,94.69999694824219,80.4000015258789,88.0,255006,2023-05-22
2023-05-29,82.5,82.5,91.3499984741211,74.69999694824219,88.0,199379,2023-05-29
2023-06-05,87.0,87.0,89.9000015258789,82.94999694824219,84.80000305175781,221146,2023-06-05
2023-06-12,93.55000305175781,93.55000305175781,93.55000305175781,83.0999984741211,84.5,276030,2023-06-12
2023-06-19,103.0999984741211,103.0999984741211,103.0999984741211,97.0,98.19999694824219,330399,2023-06-19
2023-06-26,101.05000305175781,101.05000305175781,101.05000305175781,101.05000305175781,101.05000305175781,91841,2023-06-26
2023-07-03,99.05000305175781,99.05000305175781,99.05000305175781,99.05000305175781,99.05000305175781,19307,2023-07-03
2023-07-10,97.0999984741211,97.0999984741211,97.0999984741211,97.0999984741211,97.0999984741211,27067,2023-07-10
2023-07-17,96.5,96.5,96.5,95.1500015258789,96.5,95324,2023-07-17
2023-07-24,123.05000305175781,123.05000305175781,123.05000305175781,96.5,101.30000305175781,467629,2023-07-24
2023-07-31,134.1999969482422,134.1999969482422,141.10000610351562,125.69999694824219,129.1999969482422,227206,2023-07-31
2023-08-07,121.44999694824219,121.44999694824219,131.5500030517578,121.44999694824219,131.5500030517578,22083,2023-08-07
2023-08-14,112.1500015258789,112.1500015258789,123.8499984741211,112.1500015258789,119.05000305175781,49468,2023-08-14
2023-08-21,105.5,105.5,109.9000015258789,101.4000015258789,109.9000015258789,127522,2023-08-21
2023-08-28,105.05000305175781,105.05000305175781,108.5,104.9000015258789,107.5999984741211,265206,2023-08-28
2023-09-04,108.5,108.5,110.0,105.94999694824219,107.1500015258789,121200,2023-09-04
2023-09-11,112.6500015258789,112.6500015258789,119.69999694824219,109.0,113.9000015258789,173206,2023-09-11
2023-09-18,101.44999694824219,101.44999694824219,114.6500015258789,98.6500015258789,114.6500015258789,111692,2023-09-18
