Date,Adj Close_TPLPLASTEH.NS,Close_TPLPLASTEH.NS,High_TPLPLASTEH.NS,Low_TPLPLASTEH.NS,Open_TPLPLASTEH.NS,Volume_TPLPLASTEH.NS,Date
2023-06-26,40.200042724609375,41.099998474121094,45.04999923706055,40.650001525878906,45.0,331113,2023-06-26
2023-07-03,41.17814636230469,42.099998474121094,44.400001525878906,40.79999923706055,42.349998474121094,199276,2023-07-03
2023-07-10,42.15625,43.099998474121094,45.5,40.29999923706055,42.099998474121094,450639,2023-07-10
2023-07-17,41.86281967163086,42.79999923706055,45.099998474121094,42.29999923706055,44.849998474121094,184437,2023-07-17
2023-07-24,40.542381286621094,41.45000076293945,44.0,41.0,44.0,179800,2023-07-24
2023-07-31,41.17814636230469,42.099998474121094,42.95000076293945,40.599998474121094,42.29999923706055,202234,2023-07-31
2023-08-07,41.227054595947266,42.150001525878906,44.5,41.5,44.20000076293945,253354,2023-08-07
2023-08-14,40.004425048828125,40.900001525878906,42.849998474121094,40.25,41.54999923706055,118289,2023-08-14
2023-08-21,40.34675979614258,41.25,42.0,40.0,40.04999923706055,128602,2023-08-21
2023-08-28,39.7598991394043,40.650001525878906,41.900001525878906,40.0,41.29999923706055,117907,2023-08-28
2023-09-04,39.51537322998047,40.400001525878906,41.900001525878906,40.0,40.70000076293945,187315,2023-09-04
2023-09-11,40.591285705566406,41.5,41.5,38.599998474121094,41.349998474121094,265015,2023-09-11
2023-09-18,39.367919921875,39.650001525878906,43.400001525878906,39.54999923706055,41.5,144828,2023-09-18
2023-09-25,42.14799880981445,42.45000076293945,42.75,39.0,39.599998474121094,207664,2023-09-25
2023-10-02,45.72238540649414,46.04999923706055,48.29999923706055,42.45000076293945,42.45000076293945,1459431,2023-10-02
2023-10-09,51.08396911621094,51.45000076293945,52.599998474121094,42.150001525878906,43.79999923706055,3547335,2023-10-09
2023-10-16,50.438594818115234,50.79999923706055,53.45000076293945,48.20000076293945,52.900001525878906,1654982,2023-10-16
2023-10-23,48.05567169189453,48.400001525878906,50.70000076293945,44.349998474121094,50.70000076293945,792657,2023-10-23
2023-10-30,53.76476287841797,54.150001525878906,57.400001525878906,47.0,49.650001525878906,2646759,2023-10-30
2023-11-06,53.913692474365234,54.29999923706055,58.849998474121094,51.099998474121094,54.900001525878906,5946201,2023-11-06
2023-11-13,52.12649917602539,52.5,55.599998474121094,50.20000076293945,55.54999923706055,1183755,2023-11-13
2023-11-20,57.587371826171875,58.0,59.400001525878906,51.349998474121094,53.20000076293945,3041748,2023-11-20
2023-11-27,54.85693359375,55.25,59.400001525878906,54.70000076293945,58.0,1294693,2023-11-27
2023-12-04,52.62294387817383,53.0,57.79999923706055,52.5,56.54999923706055,1165139,2023-12-04
2023-12-11,52.672584533691406,53.04999923706055,54.75,51.29999923706055,53.79999923706055,1047358,2023-12-11
2023-12-18,53.119384765625,53.5,55.29999923706055,47.349998474121094,52.5,1388436,2023-12-18
2023-12-25,51.28254699707031,51.650001525878906,54.900001525878906,50.849998474121094,53.5,832122,2023-12-25
2024-01-01,53.21867370605469,53.599998474121094,55.04999923706055,50.25,51.79999923706055,1143275,2024-01-01
2024-01-08,60.21852111816406,60.650001525878906,62.849998474121094,51.900001525878906,54.400001525878906,4670724,2024-01-08
2024-01-15,62.452510833740234,62.900001525878906,65.25,59.0,62.75,5811018,2024-01-15
2024-01-22,60.5660285949707,61.0,62.900001525878906,56.45000076293945,62.900001525878906,987126,2024-01-22
2024-01-29,67.86373901367188,68.3499984741211,70.0999984741211,57.150001525878906,61.54999923706055,6045492,2024-01-29
2024-02-05,63.29646301269531,63.75,72.30000305175781,61.70000076293945,68.75,4371300,2024-02-05
2024-02-12,73.92034149169922,74.44999694824219,78.0,59.400001525878906,66.6500015258789,9163132,2024-02-12
2024-02-19,68.0126724243164,68.5,73.75,67.5,73.0,2394719,2024-02-19
2024-02-26,66.17583465576172,66.6500015258789,71.0,63.45000076293945,68.8499984741211,1249431,2024-02-26
2024-03-04,61.90642166137695,62.349998474121094,71.5999984741211,61.650001525878906,67.55000305175781,1354542,2024-03-04
2024-03-11,55.0058708190918,55.400001525878906,62.79999923706055,51.45000076293945,62.75,1630655,2024-03-11
2024-03-18,62.601444244384766,63.04999923706055,67.0,54.849998474121094,55.849998474121094,2114986,2024-03-18
2024-03-25,61.658199310302734,62.099998474121094,65.0999984741211,59.5,63.04999923706055,723828,2024-03-25
2024-04-01,70.6438217163086,71.1500015258789,74.55000305175781,64.0,64.0,4457381,2024-04-01
2024-04-08,73.42389678955078,73.94999694824219,81.9000015258789,68.3499984741211,71.44999694824219,7542920,2024-04-08
