Date,Adj Close_SMSPHARMA.NS,Close_SMSPHARMA.NS,High_SMSPHARMA.NS,Low_SMSPHARMA.NS,Open_SMSPHARMA.NS,Volume_SMSPHARMA.NS,Date
2023-09-11,126.99665069580078,127.44999694824219,129.25,120.0999984741211,128.75,493064,2023-09-11
2023-09-18,121.76532745361328,122.19999694824219,128.0,119.5,126.30000305175781,264625,2023-09-18
2023-09-25,125.71339416503906,125.8499984741211,126.9000015258789,120.5,122.19999694824219,303231,2023-09-25
2023-10-02,122.96637725830078,123.0999984741211,127.5999984741211,120.80000305175781,125.8499984741211,189088,2023-10-02
2023-10-09,121.1683349609375,121.30000305175781,123.0999984741211,119.8499984741211,123.05000305175781,230746,2023-10-09
2023-10-16,123.46583557128906,123.5999984741211,125.80000305175781,120.05000305175781,123.0,272619,2023-10-16
2023-10-23,118.37137603759766,118.5,123.0,111.8499984741211,123.0,230292,2023-10-23
2023-10-30,119.570068359375,119.69999694824219,122.4000015258789,115.30000305175781,117.30000305175781,217435,2023-10-30
2023-11-06,118.12164306640625,118.25,130.64999389648438,117.0,121.0999984741211,1345761,2023-11-06
2023-11-13,118.07169342041016,118.19999694824219,121.0,117.5,119.94999694824219,254700,2023-11-13
2023-11-20,122.41697692871094,122.55000305175781,127.5,115.5,118.0,880199,2023-11-20
2023-11-27,118.42131805419922,118.55000305175781,123.44999694824219,117.19999694824219,122.55000305175781,292411,2023-11-27
2023-12-04,118.2215347290039,118.3499984741211,121.9000015258789,117.5,120.0,303332,2023-12-04
2023-12-11,123.26605224609375,123.4000015258789,126.5999984741211,118.0,118.94999694824219,629149,2023-12-11
2023-12-18,118.8708267211914,119.0,128.3000030517578,113.30000305175781,123.94999694824219,1076102,2023-12-18
2023-12-25,118.57115173339844,118.69999694824219,122.80000305175781,118.0,119.0,250982,2023-12-25
2024-01-01,132.6059112548828,132.75,136.64999389648438,117.9000015258789,119.9000015258789,2866562,2024-01-01
2024-01-08,130.0586700439453,130.1999969482422,137.8000030517578,125.25,135.1999969482422,1485946,2024-01-08
2024-01-15,125.71339416503906,125.8499984741211,132.5,121.9000015258789,131.4499969482422,679507,2024-01-15
2024-01-22,124.86431884765625,125.0,129.39999389648438,121.05000305175781,125.8499984741211,316514,2024-01-22
2024-01-29,130.20851135253906,130.35000610351562,132.0500030517578,121.55000305175781,126.9000015258789,748712,2024-01-29
2024-02-05,146.14120483398438,146.3000030517578,152.5,129.14999389648438,132.5,8507369,2024-02-05
2024-02-12,148.83827209472656,149.0,160.0,139.9499969482422,149.89999389648438,8245766,2024-02-12
2024-02-19,141.8458709716797,142.0,155.8000030517578,141.25,151.39999389648438,1701759,2024-02-19
2024-02-26,147.0901641845703,147.25,161.4499969482422,141.5,143.8000030517578,4501220,2024-02-26
2024-03-04,178.705810546875,178.89999389648438,194.0,154.5,154.5,16943565,2024-03-04
2024-03-11,185.59832763671875,185.8000030517578,193.0,157.6999969482422,179.0,7242078,2024-03-11
2024-03-18,182.6515350341797,182.85000610351562,198.0,174.6999969482422,189.1999969482422,3780702,2024-03-18
2024-03-25,178.0565185546875,178.25,187.8000030517578,177.10000610351562,182.89999389648438,560372,2024-03-25
2024-04-01,205.9262237548828,206.14999389648438,211.64999389648438,177.89999389648438,179.9499969482422,2912821,2024-04-01
2024-04-08,204.17813110351562,204.39999389648438,218.0,202.35000610351562,208.1999969482422,1843367,2024-04-08
2024-04-15,206.026123046875,206.25,214.6999969482422,190.89999389648438,197.39999389648438,2069564,2024-04-15
2024-04-22,207.22482299804688,207.4499969482422,219.39999389648438,205.64999389648438,208.25,1425767,2024-04-22
2024-04-29,200.63198852539062,200.85000610351562,211.5500030517578,198.0500030517578,209.6999969482422,893388,2024-04-29
2024-05-06,203.52883911132812,203.75,213.8000030517578,194.14999389648438,202.6999969482422,1289307,2024-05-06
2024-05-13,207.27476501464844,207.5,212.5,197.5500030517578,205.6999969482422,497397,2024-05-13
2024-05-20,205.07716369628906,205.3000030517578,212.5,200.60000610351562,206.6999969482422,554724,2024-05-20
2024-05-27,197.88497924804688,198.10000610351562,221.89999389648438,195.3000030517578,205.3000030517578,2990047,2024-05-27
2024-06-03,200.08258056640625,200.3000030517578,205.10000610351562,175.25,205.0,1103166,2024-06-03
2024-06-10,207.8341522216797,208.05999755859375,213.64999389648438,201.41000366210938,202.6999969482422,975934,2024-06-10
2024-06-17,236.61288452148438,236.8699951171875,249.39999389648438,206.5,208.05999755859375,4089085,2024-06-17
2024-06-24,223.1375274658203,223.3800048828125,239.6999969482422,218.61000061035156,226.0,1642455,2024-06-24
2024-07-01,259.74774169921875,260.0299987792969,263.7300109863281,224.61000061035156,225.97999572753906,3464680,2024-07-01
2024-07-08,246.6919403076172,246.9600067138672,262.29998779296875,242.25,262.0,1860550,2024-07-08
2024-07-15,237.26219177246094,237.52000427246094,253.0,232.61000061035156,245.10000610351562,792237,2024-07-15
2024-07-22,279.46630859375,279.7699890136719,285.0,233.5399932861328,238.0,2761217,2024-07-22
2024-07-29,312.4105224609375,312.75,316.29998779296875,275.760009765625,280.1000061035156,2372053,2024-07-29
2024-08-05,283.5419006347656,283.8500061035156,325.0,271.3500061035156,309.0,3331162,2024-08-05
2024-08-12,292.3822937011719,292.70001220703125,297.0,273.04998779296875,283.6499938964844,722865,2024-08-12
2024-08-19,356.5126037597656,356.8999938964844,363.75,292.3500061035156,295.5,4552048,2024-08-19
2024-08-26,338.3822937011719,338.75,359.3500061035156,333.04998779296875,358.0,1878362,2024-08-26
2024-09-02,334.13690185546875,334.5,353.54998779296875,326.6499938964844,344.0,1941239,2024-09-02
2024-09-09,370.1977233886719,370.6000061035156,391.6499938964844,327.29998779296875,334.5,6786166,2024-09-09
2024-09-16,368.1000061035156,368.5,374.3999938964844,340.20001220703125,371.6000061035156,1173418,2024-09-16
2024-09-23,350.81878662109375,351.20001220703125,398.0,346.3500061035156,368.5,2109421,2024-09-23
2024-09-30,364.1000061035156,364.1000061035156,390.8500061035156,345.45001220703125,350.0,2039023,2024-09-30
2024-10-07,346.20001220703125,346.20001220703125,366.8999938964844,330.04998779296875,365.3500061035156,1061559,2024-10-07
2024-10-14,317.3999938964844,317.3999938964844,359.8999938964844,311.0,347.8500061035156,1089873,2024-10-14
2024-10-21,280.6000061035156,280.6000061035156,324.6499938964844,275.6000061035156,318.8999938964844,1307807,2024-10-21
2024-10-28,300.6499938964844,300.6499938964844,304.20001220703125,278.8500061035156,280.6000061035156,519178,2024-10-28
2024-11-04,295.79998779296875,295.79998779296875,315.8999938964844,290.54998779296875,304.0,750149,2024-11-04
2024-11-11,263.20001220703125,263.20001220703125,284.79998779296875,256.1499938964844,283.3500061035156,853472,2024-11-11
2024-11-18,241.14999389648438,241.14999389648438,264.20001220703125,233.35000610351562,262.6499938964844,624233,2024-11-18
2024-11-25,260.95001220703125,260.95001220703125,270.75,242.5,243.0500030517578,886853,2024-11-25
2024-12-02,256.95001220703125,256.95001220703125,271.70001220703125,255.9499969482422,260.95001220703125,1111315,2024-12-02
2024-12-09,247.35000610351562,247.35000610351562,263.8999938964844,244.1999969482422,258.0,761189,2024-12-09
2024-12-16,231.5500030517578,231.5500030517578,251.89999389648438,230.0,248.10000610351562,626208,2024-12-16
