Date,Adj Close_NRL.NS,Close_NRL.NS,High_NRL.NS,Low_NRL.NS,Open_NRL.NS,Volume_NRL.NS,Date
2024-10-07,132.67999267578125,132.67999267578125,136.9600067138672,99.0,109.0,13975275,2024-10-07
2024-10-14,136.3300018310547,136.3300018310547,143.39999389648438,122.41999816894531,132.1699981689453,6596914,2024-10-14
2024-10-21,108.37000274658203,108.37000274658203,138.89999389648438,108.37000274658203,138.0,1518014,2024-10-21
2024-10-28,117.66000366210938,117.66000366210938,119.9000015258789,102.94999694824219,108.0,704996,2024-10-28
2024-11-04,110.38999938964844,110.38999938964844,119.0,109.25,119.0,475579,2024-11-04
2024-11-11,105.7300033569336,105.7300033569336,112.8499984741211,102.37000274658203,107.11000061035156,294813,2024-11-11
2024-11-18,103.7300033569336,103.7300033569336,109.0,101.55999755859375,108.88999938964844,233394,2024-11-18
2024-11-25,103.13999938964844,103.13999938964844,107.8499984741211,100.9000015258789,107.8499984741211,297457,2024-11-25
2024-12-02,113.5,113.5,120.0,100.0,103.13999938964844,551758,2024-12-02
2024-12-09,110.8499984741211,110.8499984741211,116.0,106.1500015258789,114.95999908447266,282787,2024-12-09
2024-12-16,102.69000244140625,102.69000244140625,112.9000015258789,101.05000305175781,110.9000015258789,266749,2024-12-16
2024-12-23,103.0999984741211,103.0999984741211,106.30000305175781,101.0,105.0,139171,2024-12-23
2024-12-30,104.06999969482422,104.06999969482422,105.6500015258789,96.58999633789062,104.9800033569336,307849,2024-12-30
2025-01-06,98.01000213623047,98.01000213623047,108.0,96.5,104.9800033569336,295694,2025-01-06
2025-01-13,99.25,99.25,99.88999938964844,90.0,93.5,248535,2025-01-13
2025-01-20,98.87000274658203,98.87000274658203,104.9000015258789,96.33000183105469,99.77999877929688,351276,2025-01-20
2025-01-27,95.26000213623047,95.26000213623047,103.0,89.0,94.5999984741211,626597,2025-01-27
2025-02-03,99.69999694824219,99.69999694824219,106.48999786376953,91.0,95.83999633789062,587815,2025-02-03
2025-02-10,79.18000030517578,79.18000030517578,100.19999694824219,76.98999786376953,100.19999694824219,549339,2025-02-10
2025-02-17,74.43000030517578,74.43000030517578,79.38999938964844,69.0,79.18000030517578,349677,2025-02-17
2025-02-24,66.44999694824219,66.44999694824219,76.0,65.41000366210938,73.0,242409,2025-02-24
2025-03-03,65.91000366210938,65.91000366210938,70.0,53.15999984741211,68.5999984741211,1369154,2025-03-03
2025-03-10,56.970001220703125,56.970001220703125,67.75,54.900001525878906,67.75,1202407,2025-03-10
2025-03-17,62.68000030517578,62.68000030517578,67.6500015258789,57.29999923706055,57.29999923706055,1979007,2025-03-17
2025-03-24,59.79999923706055,59.79999923706055,67.38999938964844,59.47999954223633,62.90999984741211,1348901,2025-03-24
2025-03-31,58.2599983215332,58.2599983215332,63.0,57.5099983215332,59.79999923706055,424562,2025-03-31
2025-04-07,58.849998474121094,58.849998474121094,60.41999816894531,52.70000076293945,52.70000076293945,419736,2025-04-07
2025-04-14,62.869998931884766,62.869998931884766,64.73999786376953,59.7400016784668,59.75,324097,2025-04-14
2025-04-21,61.7599983215332,61.7599983215332,67.01000213623047,61.0099983215332,64.51000213623047,414931,2025-04-21
2025-04-28,59.5,59.5,63.310001373291016,58.0,61.060001373291016,161320,2025-04-28
2025-05-05,58.189998626708984,58.189998626708984,61.7599983215332,56.0,60.900001525878906,197395,2025-05-05
2025-05-12,64.68000030517578,64.68000030517578,66.8499984741211,59.0099983215332,59.0099983215332,436384,2025-05-12
2025-05-19,68.68000030517578,68.68000030517578,74.36000061035156,64.51000213623047,65.19999694824219,708926,2025-05-19
2025-05-26,82.30000305175781,82.30000305175781,91.4000015258789,66.4000015258789,67.30999755859375,4538969,2025-05-26
2025-06-02,88.58000183105469,88.58000183105469,94.0,82.0,82.0,1677650,2025-06-02
2025-06-09,85.19000244140625,85.19000244140625,91.0,83.55000305175781,90.3499984741211,520122,2025-06-09
2025-06-16,75.97000122070312,75.97000122070312,82.19999694824219,73.0,82.0,206982,2025-06-16
2025-06-23,80.97000122070312,80.97000122070312,82.9000015258789,73.55000305175781,75.0,178018,2025-06-23
2025-06-30,78.01000213623047,78.01000213623047,81.69999694824219,77.0,81.0,161714,2025-06-30
2025-07-07,78.45999908447266,78.45999908447266,79.55000305175781,75.20999908447266,77.5,106865,2025-07-07
2025-07-14,77.72000122070312,77.72000122070312,78.6500015258789,76.0,76.3499984741211,45145,2025-07-14
