Date,Adj Close_PLASTIBLEN.NS,Close_PLASTIBLEN.NS,High_PLASTIBLEN.NS,Low_PLASTIBLEN.NS,Open_PLASTIBLEN.NS,Volume_PLASTIBLEN.NS,Date
2022-10-31,194.9610595703125,204.35000610351562,205.64999389648438,199.0,202.0,40625,2022-10-31
2022-11-07,192.09889221191406,201.35000610351562,205.8000030517578,199.64999389648438,204.9499969482422,22125,2022-11-07
2022-11-14,184.70497131347656,193.60000610351562,203.8000030517578,193.0,201.14999389648438,26474,2022-11-14
2022-11-21,184.46646118164062,193.35000610351562,199.0500030517578,190.0,193.64999389648438,41752,2022-11-21
2022-11-28,179.12374877929688,187.75,194.89999389648438,185.1999969482422,192.0500030517578,98032,2022-11-28
2022-12-05,173.59022521972656,181.9499969482422,191.0,180.60000610351562,188.35000610351562,88790,2022-12-05
2022-12-12,176.07078552246094,184.5500030517578,186.0,178.10000610351562,182.5,127512,2022-12-12
2022-12-19,161.5214385986328,169.3000030517578,188.6999969482422,168.1999969482422,183.5,114946,2022-12-19
2022-12-26,170.48956298828125,178.6999969482422,181.0,170.10000610351562,172.0,39712,2022-12-26
2023-01-02,173.87644958496094,182.25,189.0,180.14999389648438,183.9499969482422,75801,2023-01-02
2023-01-09,167.53199768066406,175.60000610351562,187.0,172.89999389648438,185.0,144273,2023-01-09
2023-01-16,159.04090881347656,166.6999969482422,177.85000610351562,166.0,174.14999389648438,65454,2023-01-16
2023-01-23,148.35548400878906,155.5,169.0,153.3000030517578,169.0,71012,2023-01-23
2023-01-30,152.93495178222656,160.3000030517578,167.4499969482422,155.0,158.6999969482422,53745,2023-01-30
2023-02-06,157.94374084472656,165.5500030517578,166.89999389648438,160.0,162.0,28464,2023-02-06
2023-02-13,157.13278198242188,164.6999969482422,170.35000610351562,161.0500030517578,166.60000610351562,24969,2023-02-13
2023-02-20,150.97914123535156,158.25,167.0,156.0,167.0,31138,2023-02-20
2023-02-27,154.22293090820312,161.64999389648438,169.0,152.89999389648438,158.25,87621,2023-02-27
2023-03-06,152.55332946777344,159.89999389648438,167.0,158.5500030517578,163.35000610351562,61629,2023-03-06
2023-03-13,148.59400939941406,155.75,163.0,150.35000610351562,159.89999389648438,39764,2023-03-13
2023-03-20,142.965087890625,149.85000610351562,155.0,149.0,154.0500030517578,43171,2023-03-20
2023-03-27,144.062255859375,151.0,158.4499969482422,138.5500030517578,149.85000610351562,133854,2023-03-27
2023-04-03,153.3165740966797,160.6999969482422,167.0,154.0,154.0,32426,2023-04-03
2023-04-10,155.797119140625,163.3000030517578,164.9499969482422,154.9499969482422,162.14999389648438,45177,2023-04-10
2023-04-17,153.0303497314453,160.39999389648438,163.89999389648438,158.0500030517578,163.3000030517578,27931,2023-04-17
2023-04-24,157.18051147460938,164.75,169.0,160.0,161.1999969482422,48338,2023-04-24
2023-05-01,167.29348754882812,175.35000610351562,180.10000610351562,163.0,164.75,148261,2023-05-01
2023-05-08,164.47900390625,172.39999389648438,177.4499969482422,171.0500030517578,175.35000610351562,39893,2023-05-08
2023-05-15,162.57089233398438,170.39999389648438,178.4499969482422,168.0500030517578,171.1999969482422,49356,2023-05-15
2023-05-22,162.8094024658203,170.64999389648438,173.39999389648438,164.10000610351562,171.0,43438,2023-05-22
2023-05-29,171.01429748535156,179.25,182.5,168.0500030517578,170.5,100794,2023-05-29
2023-06-05,176.64320373535156,185.14999389648438,191.0,179.5,179.5,89206,2023-06-05
2023-06-12,179.2191619873047,187.85000610351562,189.5,181.5,183.0,45854,2023-06-12
2023-06-19,175.83226013183594,184.3000030517578,191.0,183.8000030517578,188.0,44246,2023-06-19
2023-06-26,188.81015014648438,193.6999969482422,205.5,179.0500030517578,182.3000030517578,199255,2023-06-26
2023-07-03,188.51771545410156,193.39999389648438,200.5,191.60000610351562,195.0,85432,2023-07-03
2023-07-10,186.76316833496094,191.60000610351562,204.0,181.5500030517578,195.39999389648438,228072,2023-07-10
2023-07-17,212.5941925048828,218.10000610351562,222.60000610351562,188.35000610351562,188.35000610351562,426124,2023-07-17
2023-07-24,209.13380432128906,214.5500030517578,219.8000030517578,207.39999389648438,219.8000030517578,136792,2023-07-24
2023-07-31,218.97882080078125,224.64999389648438,228.35000610351562,211.0500030517578,214.5500030517578,143579,2023-07-31
2023-08-07,218.73513793945312,224.39999389648438,232.8000030517578,217.3000030517578,220.39999389648438,160909,2023-08-07
2023-08-14,220.53843688964844,226.25,231.5,215.60000610351562,219.9499969482422,125398,2023-08-14
2023-08-21,227.16677856445312,233.0500030517578,250.9499969482422,221.3000030517578,225.0500030517578,567786,2023-08-21
2023-08-28,231.796875,237.8000030517578,245.0,224.1999969482422,237.35000610351562,156390,2023-08-28
2023-09-04,223.70640563964844,229.5,243.0,226.0,243.0,157306,2023-09-04
2023-09-11,227.5079345703125,233.39999389648438,235.0,215.75,232.6999969482422,267799,2023-09-11
2023-09-18,226.19203186035156,232.0500030517578,258.8999938964844,229.14999389648438,233.39999389648438,377128,2023-09-18
2023-09-25,230.77337646484375,236.75,241.0,229.0,232.0500030517578,76075,2023-09-25
2023-10-02,222.1955108642578,227.9499969482422,236.75,221.0500030517578,236.75,120733,2023-10-02
2023-10-09,252.99778747558594,259.54998779296875,278.0,224.0,225.5500030517578,1409436,2023-10-09
2023-10-16,259.9673156738281,266.70001220703125,280.5,262.0,262.0,835421,2023-10-16
2023-10-23,258.6513977050781,265.3500061035156,270.0,247.3000030517578,270.0,279870,2023-10-23
2023-10-30,266.30322265625,273.20001220703125,288.8999938964844,262.29998779296875,265.3500061035156,567805,2023-10-30
2023-11-06,302.0767517089844,309.8999938964844,318.8999938964844,267.0,275.6499938964844,1358774,2023-11-06
2023-11-13,285.2135009765625,292.6000061035156,320.54998779296875,291.0,315.0,296892,2023-11-13
2023-11-20,308.2664489746094,316.25,320.5,289.04998779296875,290.3500061035156,321717,2023-11-20
2023-11-27,309.67987060546875,317.70001220703125,329.70001220703125,310.8500061035156,316.25,318356,2023-11-27
2023-12-04,300.32220458984375,308.1000061035156,325.0,304.6000061035156,322.0,250842,2023-12-04
2023-12-11,292.4266662597656,300.0,313.1499938964844,296.70001220703125,312.0,139046,2023-12-11
2023-12-18,282.6304016113281,289.95001220703125,305.29998779296875,270.3500061035156,300.0,274551,2023-12-18
2023-12-25,286.6756286621094,294.1000061035156,305.0,287.8500061035156,289.95001220703125,156466,2023-12-25
2024-01-01,323.4726257324219,331.8500061035156,340.8999938964844,295.3999938964844,297.6499938964844,821189,2024-01-01
2024-01-08,302.515380859375,310.3500061035156,358.0,308.1000061035156,336.3999938964844,1029257,2024-01-08
2024-01-15,289.9410400390625,297.45001220703125,317.8999938964844,290.6000061035156,316.0,311126,2024-01-15
2024-01-22,300.5171203613281,308.29998779296875,319.79998779296875,293.29998779296875,297.45001220703125,539399,2024-01-22
2024-01-29,296.5206604003906,304.20001220703125,312.45001220703125,297.1000061035156,308.29998779296875,182408,2024-01-29
2024-02-05,290.4771423339844,298.0,309.8999938964844,291.0,304.20001220703125,178449,2024-02-05
2024-02-12,278.43890380859375,285.6499938964844,297.8999938964844,270.04998779296875,296.0,116067,2024-02-12
2024-02-19,267.6678771972656,274.6000061035156,293.54998779296875,272.25,283.25,116660,2024-02-19
2024-02-26,257.9203186035156,264.6000061035156,278.0,260.3500061035156,263.0,116132,2024-02-26
2024-03-04,256.06829833984375,262.70001220703125,271.70001220703125,257.25,265.29998779296875,110082,2024-03-04
2024-03-11,228.48268127441406,234.39999389648438,264.0,227.14999389648438,262.70001220703125,188358,2024-03-11
2024-03-18,238.08404541015625,244.25,248.0,231.0,234.39999389648438,97289,2024-03-18
2024-03-25,226.09454345703125,231.9499969482422,248.0,230.0500030517578,244.25,129981,2024-03-25
2024-04-01,271.2744445800781,278.29998779296875,281.70001220703125,233.10000610351562,233.10000610351562,232882,2024-04-01
2024-04-08,262.50164794921875,269.29998779296875,279.79998779296875,267.95001220703125,277.04998779296875,115574,2024-04-08
2024-04-15,254.11878967285156,260.70001220703125,272.0,253.89999389648438,253.89999389648438,76849,2024-04-15
2024-04-22,265.27972412109375,272.1499938964844,282.5,260.0,262.1000061035156,107720,2024-04-22
2024-04-29,268.4476623535156,275.3999938964844,291.6499938964844,268.0,281.0,160787,2024-04-29
