Date,Adj Close_SHREECEM.NS,Close_SHREECEM.NS,High_SHREECEM.NS,Low_SHREECEM.NS,Open_SHREECEM.NS,Volume_SHREECEM.NS,Date
2024-09-23,26200.916015625,26247.900390625,26550.0,24952.150390625,25222.0,169830,2024-09-23
2024-09-30,25987.59765625,26034.19921875,26698.900390625,25865.0,26149.0,128600,2024-09-30
2024-10-07,24293.48828125,24337.05078125,26168.0,24219.94921875,26034.19921875,162583,2024-10-07
2024-10-14,24281.708984375,24325.25,24966.75,24050.0,24435.0,80488,2024-10-14
2024-10-21,24912.12890625,24956.80078125,25365.400390625,23999.849609375,24320.400390625,233887,2024-10-21
2024-10-28,25195.869140625,25241.05078125,25555.0,24956.849609375,24963.0,97728,2024-10-28
2024-11-04,24489.0859375,24533.0,25400.0,24245.5,25241.05078125,58433,2024-11-04
2024-11-11,24048.576171875,24091.69921875,24562.0,23500.0,24500.0,185591,2024-11-11
2024-11-18,24750.3671875,24794.75,24822.0,23821.099609375,23984.900390625,102046,2024-11-18
2024-11-25,26029.7734375,26076.44921875,26330.0,24803.0,24972.30078125,187853,2024-11-25
2024-12-02,27028.18359375,27076.650390625,27521.0,26000.0,26000.0,196975,2024-12-02
2024-12-09,27542.060546875,27591.44921875,27687.94921875,26453.05078125,27076.0,96780,2024-12-09
2024-12-16,27015.056640625,27063.5,28494.900390625,27000.0,27502.0,126701,2024-12-16
2024-12-23,26002.373046875,26049.0,27383.94921875,25864.650390625,27131.150390625,170376,2024-12-23
2024-12-30,26049.537109375,26096.25,26955.0,25176.099609375,25990.0,192260,2024-12-30
2025-01-06,25692.23046875,25738.30078125,26327.94921875,25550.05078125,26121.0,127746,2025-01-06
2025-01-13,25270.134765625,25315.44921875,25794.0,24817.80078125,25427.599609375,123156,2025-01-13
2025-01-20,25736.998046875,25783.150390625,26393.400390625,24967.55078125,25315.44921875,148538,2025-01-20
2025-01-27,27314.76953125,27363.75,28000.0,24862.55078125,25600.0,224875,2025-01-27
2025-02-03,28198.533203125,28249.099609375,28598.44921875,26856.55078125,27000.0,167681,2025-02-03
2025-02-10,28556.05078125,28556.05078125,28750.0,27352.400390625,28308.0,188170,2025-02-10
2025-02-17,28405.69921875,28405.69921875,28900.0,28007.650390625,28490.0,108864,2025-02-17
2025-02-24,27284.0,27284.0,28589.0,27002.19921875,28301.0,168337,2025-02-24
2025-03-03,27985.19921875,27985.19921875,28548.0,27151.05078125,27284.0,183314,2025-03-03
2025-03-10,27495.150390625,27495.150390625,28351.0,27251.05078125,27985.19921875,77076,2025-03-10
2025-03-17,28987.400390625,28987.400390625,29320.0,27373.349609375,27495.150390625,179712,2025-03-17
2025-03-24,30502.94921875,30502.94921875,31237.94921875,28931.0,29050.0,254097,2025-03-24
2025-03-31,30694.5,30694.5,31139.94921875,29900.05078125,30502.94921875,112766,2025-03-31
2025-04-07,30107.94921875,30107.94921875,30709.94921875,29390.0,29600.30078125,168506,2025-04-07
2025-04-14,31000.0,31000.0,31290.0,30107.94921875,30107.94921875,101561,2025-04-14
2025-04-21,30540.0,30540.0,31415.0,29955.0,31000.0,184022,2025-04-21
2025-04-28,29280.0,29280.0,30830.0,28980.0,30540.0,87481,2025-04-28
