Date,Adj Close_MOREPENLAB.NS,Close_MOREPENLAB.NS,High_MOREPENLAB.NS,Low_MOREPENLAB.NS,Open_MOREPENLAB.NS,Volume_MOREPENLAB.NS,Date
2023-02-20,25.549999237060547,25.549999237060547,26.600000381469727,24.950000762939453,26.600000381469727,4954473,2023-02-20
2023-02-27,25.799999237060547,25.799999237060547,26.549999237060547,24.799999237060547,25.549999237060547,6185196,2023-02-27
2023-03-06,26.299999237060547,26.299999237060547,27.75,25.649999618530273,26.299999237060547,7206083,2023-03-06
2023-03-13,24.950000762939453,24.950000762939453,26.450000762939453,24.100000381469727,26.450000762939453,5854261,2023-03-13
2023-03-20,24.350000381469727,24.350000381469727,26.899999618530273,24.0,25.100000381469727,9753409,2023-03-20
2023-03-27,25.799999237060547,25.799999237060547,28.899999618530273,24.0,25.450000762939453,59236310,2023-03-27
2023-04-03,27.0,27.0,27.450000762939453,25.700000762939453,26.0,9729590,2023-04-03
2023-04-10,27.25,27.25,27.950000762939453,25.5,27.299999237060547,16833759,2023-04-10
2023-04-17,26.100000381469727,26.100000381469727,27.899999618530273,25.75,27.399999618530273,13059422,2023-04-17
2023-04-24,27.350000381469727,27.350000381469727,27.950000762939453,25.799999237060547,26.25,12298859,2023-04-24
2023-05-01,27.0,27.0,29.049999237060547,26.899999618530273,27.350000381469727,12344774,2023-05-01
2023-05-08,26.950000762939453,26.950000762939453,27.5,26.549999237060547,27.200000762939453,6335855,2023-05-08
2023-05-15,25.899999618530273,25.899999618530273,27.549999237060547,25.799999237060547,27.0,7581325,2023-05-15
2023-05-22,25.450000762939453,25.450000762939453,26.200000762939453,25.100000381469727,25.899999618530273,4911579,2023-05-22
2023-05-29,26.350000381469727,26.350000381469727,26.75,25.299999237060547,25.600000381469727,7823950,2023-05-29
2023-06-05,27.049999237060547,27.049999237060547,27.950000762939453,26.200000762939453,26.5,18845295,2023-06-05
2023-06-12,29.200000762939453,29.200000762939453,30.700000762939453,27.0,27.149999618530273,46969102,2023-06-12
2023-06-19,29.700000762939453,29.700000762939453,32.25,28.5,29.200000762939453,44414054,2023-06-19
2023-06-26,30.350000381469727,30.350000381469727,32.150001525878906,29.5,29.799999237060547,18812056,2023-06-26
2023-07-03,30.700000762939453,30.700000762939453,31.5,29.700000762939453,30.5,13020730,2023-07-03
2023-07-10,29.450000762939453,29.450000762939453,31.0,29.100000381469727,30.799999237060547,9666536,2023-07-10
2023-07-17,29.149999618530273,29.149999618530273,31.399999618530273,28.75,29.700000762939453,11909537,2023-07-17
2023-07-24,30.799999237060547,30.799999237060547,31.75,28.600000381469727,29.200000762939453,20805505,2023-07-24
2023-07-31,30.5,30.5,31.850000381469727,29.75,30.950000762939453,12608421,2023-07-31
2023-08-07,34.70000076293945,34.70000076293945,37.45000076293945,32.599998474121094,33.5,66268526,2023-08-07
2023-08-14,36.95000076293945,36.95000076293945,38.70000076293945,33.150001525878906,34.79999923706055,34807042,2023-08-14
2023-08-21,38.25,38.25,39.79999923706055,36.599998474121094,37.150001525878906,35999522,2023-08-21
2023-08-28,38.70000076293945,38.70000076293945,41.29999923706055,38.0,38.54999923706055,31740499,2023-08-28
2023-09-04,39.400001525878906,39.400001525878906,41.79999923706055,38.75,38.900001525878906,32431636,2023-09-04
2023-09-11,37.599998474121094,37.599998474121094,39.79999923706055,35.650001525878906,39.70000076293945,21276620,2023-09-11
2023-09-18,36.400001525878906,36.400001525878906,38.099998474121094,35.900001525878906,37.900001525878906,9283034,2023-09-18
2023-09-25,37.099998474121094,37.099998474121094,37.5,36.0,36.5,10603775,2023-09-25
2023-10-02,36.099998474121094,36.099998474121094,38.150001525878906,36.0,37.099998474121094,9571339,2023-10-02
2023-10-09,35.599998474121094,35.599998474121094,36.04999923706055,34.349998474121094,35.25,9452156,2023-10-09
