Date,Adj Close_SAGARDEEP.NS,Close_SAGARDEEP.NS,High_SAGARDEEP.NS,Low_SAGARDEEP.NS,Open_SAGARDEEP.NS,Volume_SAGARDEEP.NS,Date
2024-02-12,28.149999618530273,28.149999618530273,29.799999237060547,27.549999237060547,29.299999237060547,50097,2024-02-12
2024-02-19,32.25,32.25,33.400001525878906,27.700000762939453,27.700000762939453,342402,2024-02-19
2024-02-26,28.899999618530273,28.899999618530273,33.0,28.399999618530273,32.900001525878906,93656,2024-02-26
2024-03-04,28.899999618530273,28.899999618530273,30.450000762939453,27.399999618530273,30.450000762939453,45044,2024-03-04
2024-03-11,25.850000381469727,25.850000381469727,29.5,23.899999618530273,27.899999618530273,62319,2024-03-11
2024-03-18,23.100000381469727,23.100000381469727,25.899999618530273,23.100000381469727,25.5,77006,2024-03-18
2024-03-25,22.799999237060547,22.799999237060547,24.100000381469727,22.149999618530273,23.100000381469727,70578,2024-03-25
2024-04-01,27.100000381469727,27.100000381469727,27.5,23.299999237060547,23.75,58138,2024-04-01
2024-04-08,27.100000381469727,27.100000381469727,28.100000381469727,26.299999237060547,26.799999237060547,48578,2024-04-08
2024-04-15,26.649999618530273,26.649999618530273,27.5,25.75,27.100000381469727,41333,2024-04-15
2024-04-22,26.549999237060547,26.549999237060547,28.450000762939453,25.950000762939453,26.149999618530273,66266,2024-04-22
2024-04-29,28.049999237060547,28.049999237060547,28.5,26.100000381469727,26.100000381469727,86896,2024-04-29
2024-05-06,27.799999237060547,27.799999237060547,30.899999618530273,27.450000762939453,28.5,131701,2024-05-06
2024-05-13,27.600000381469727,27.600000381469727,29.399999618530273,26.5,26.5,58181,2024-05-13
2024-05-20,28.200000762939453,28.200000762939453,29.600000381469727,27.350000381469727,28.100000381469727,83827,2024-05-20
2024-05-27,26.75,26.75,28.799999237060547,26.25,27.149999618530273,85616,2024-05-27
2024-06-03,28.100000381469727,28.100000381469727,29.299999237060547,24.950000762939453,26.75,106013,2024-06-03
2024-06-10,29.170000076293945,29.170000076293945,29.600000381469727,27.5,28.899999618530273,95211,2024-06-10
2024-06-17,28.719999313354492,28.719999313354492,30.920000076293945,28.010000228881836,29.170000076293945,122347,2024-06-17
2024-06-24,27.200000762939453,27.200000762939453,28.979999542236328,26.510000228881836,28.719999313354492,215416,2024-06-24
2024-07-01,27.100000381469727,27.100000381469727,28.399999618530273,26.649999618530273,27.739999771118164,130788,2024-07-01
2024-07-08,30.65999984741211,30.65999984741211,34.849998474121094,25.600000381469727,27.100000381469727,944723,2024-07-08
2024-07-15,36.369998931884766,36.369998931884766,36.369998931884766,29.020000457763672,32.0,2329121,2024-07-15
