Date,Adj Close_VETO.NS,Close_VETO.NS,High_VETO.NS,Low_VETO.NS,Open_VETO.NS,Volume_VETO.NS,Date
2024-09-09,169.55023193359375,170.66000366210938,172.8000030517578,161.5500030517578,172.8000030517578,322210,2024-09-09
2024-09-16,151.478515625,152.47000122070312,173.39999389648438,148.6999969482422,173.39999389648438,385841,2024-09-16
2024-09-23,147.5800018310547,147.5800018310547,157.0,146.0,156.89999389648438,305699,2024-09-23
2024-09-30,140.86000061035156,140.86000061035156,149.99000549316406,137.6999969482422,148.0,270356,2024-09-30
2024-10-07,139.35000610351562,139.35000610351562,143.8000030517578,130.10000610351562,136.14999389648438,184756,2024-10-07
2024-10-14,139.27999877929688,139.27999877929688,149.0,135.1999969482422,141.0,152639,2024-10-14
2024-10-21,128.16000366210938,128.16000366210938,141.99000549316406,125.26000213623047,139.27999877929688,188418,2024-10-21
2024-10-28,139.33999633789062,139.33999633789062,141.75,126.0,130.99000549316406,102047,2024-10-28
2024-11-04,137.2899932861328,137.2899932861328,141.14999389648438,130.60000610351562,139.0,116126,2024-11-04
2024-11-11,128.1199951171875,128.1199951171875,141.5,125.5999984741211,135.1999969482422,151032,2024-11-11
2024-11-18,127.93000030517578,127.93000030517578,133.1999969482422,124.0199966430664,127.0999984741211,86313,2024-11-18
2024-11-25,142.17999267578125,142.17999267578125,148.89999389648438,127.94000244140625,127.94000244140625,258557,2024-11-25
2024-12-02,139.74000549316406,139.74000549316406,139.74000549316406,134.89999389648438,139.3300018310547,75516,2024-12-02
2024-12-09,136.0500030517578,136.0500030517578,141.4499969482422,134.10000610351562,141.0,55551,2024-12-09
2024-12-16,134.0,134.0,140.75999450683594,134.0,138.0,90115,2024-12-16
2024-12-23,132.0,132.0,133.00999450683594,130.0,133.0,59059,2024-12-23
2024-12-30,138.0,138.0,138.0,129.5500030517578,131.39999389648438,53913,2024-12-30
2025-01-06,127.38999938964844,127.38999938964844,143.0,125.3499984741211,140.64999389648438,164182,2025-01-06
2025-01-13,130.22000122070312,130.22000122070312,130.22000122070312,118.69999694824219,127.38999938964844,126842,2025-01-13
2025-01-20,129.00999450683594,129.00999450683594,149.0,127.5999984741211,138.0,489815,2025-01-20
2025-01-27,120.3499984741211,120.3499984741211,130.0399932861328,112.41999816894531,128.9499969482422,334216,2025-01-27
2025-02-03,122.23999786376953,122.23999786376953,125.47000122070312,117.61000061035156,121.88999938964844,321315,2025-02-03
2025-02-10,102.66999816894531,102.66999816894531,123.37000274658203,99.5,123.01000213623047,494343,2025-02-10
2025-02-17,104.58999633789062,104.58999633789062,108.02999877929688,97.69999694824219,100.05999755859375,287965,2025-02-17
2025-02-24,96.9800033569336,96.9800033569336,104.0999984741211,96.0,103.0,183906,2025-02-24
2025-03-03,100.19999694824219,100.19999694824219,104.5,92.5999984741211,96.9800033569336,330552,2025-03-03
2025-03-10,98.5,98.5,102.0,96.5,101.80000305175781,262809,2025-03-10
2025-03-17,106.80000305175781,106.80000305175781,108.01000213623047,93.0,98.0,555463,2025-03-17
2025-03-24,101.26000213623047,101.26000213623047,109.69999694824219,97.0,107.1500015258789,982168,2025-03-24
2025-03-31,106.87000274658203,106.87000274658203,115.8499984741211,101.26000213623047,101.26000213623047,689956,2025-03-31
2025-04-07,106.7300033569336,106.7300033569336,109.80000305175781,99.0199966430664,102.69999694824219,157651,2025-04-07
2025-04-14,109.41000366210938,109.41000366210938,112.36000061035156,106.61000061035156,106.7300033569336,128542,2025-04-14
2025-04-21,112.31999969482422,112.31999969482422,118.9000015258789,106.95999908447266,109.9000015258789,504005,2025-04-21
2025-04-28,103.43000030517578,103.43000030517578,113.19999694824219,102.5999984741211,112.31999969482422,215718,2025-04-28
2025-05-05,99.19000244140625,99.19000244140625,105.83000183105469,96.0,105.30000305175781,256127,2025-05-05
2025-05-12,110.58999633789062,110.58999633789062,111.0,102.37000274658203,103.88999938964844,268410,2025-05-12
2025-05-19,107.54000091552734,107.54000091552734,113.0,105.69000244140625,111.9000015258789,259113,2025-05-19
2025-05-26,133.0,133.0,141.0,106.45999908447266,108.54000091552734,2870817,2025-05-26
2025-06-02,130.67999267578125,130.67999267578125,136.24000549316406,129.6199951171875,134.8800048828125,650597,2025-06-02
2025-06-09,128.74000549316406,128.74000549316406,136.8000030517578,127.1500015258789,131.5,532345,2025-06-09
2025-06-16,122.8499984741211,122.8499984741211,130.3300018310547,120.0999984741211,129.0,273622,2025-06-16
2025-06-23,125.20999908447266,125.20999908447266,127.80000305175781,121.11000061035156,121.54000091552734,233510,2025-06-23
