Date,Adj Close_KNRCON.NS,Close_KNRCON.NS,High_KNRCON.NS,Low_KNRCON.NS,Open_KNRCON.NS,Volume_KNRCON.NS,Date
2023-05-01,243.00210571289062,243.39999389648438,245.60000610351562,240.0500030517578,240.1999969482422,992153,2023-05-01
2023-05-08,239.50782775878906,239.89999389648438,246.9499969482422,239.25,241.3000030517578,1335485,2023-05-08
2023-05-15,240.20669555664062,240.60000610351562,249.6999969482422,237.1999969482422,241.4499969482422,1409047,2023-05-15
2023-05-22,238.85890197753906,239.25,241.75,235.60000610351562,240.39999389648438,628071,2023-05-22
2023-05-29,250.8892059326172,251.3000030517578,256.45001220703125,241.0500030517578,241.9499969482422,2740367,2023-05-29
2023-06-05,233.76722717285156,234.14999389648438,256.8999938964844,226.3000030517578,253.60000610351562,2870756,2023-06-05
2023-06-12,240.80569458007812,241.1999969482422,244.9499969482422,235.4499969482422,235.4499969482422,1522670,2023-06-12
2023-06-19,238.06019592285156,238.4499969482422,250.5,235.0,243.5,2333113,2023-06-19
2023-06-26,241.60440063476562,242.0,244.8000030517578,236.89999389648438,239.9499969482422,1230420,2023-06-26
2023-07-03,247.7942657470703,248.1999969482422,252.60000610351562,241.25,243.89999389648438,4321816,2023-07-03
2023-07-10,249.09213256835938,249.5,251.5,245.8000030517578,250.0,2048080,2023-07-10
2023-07-17,241.90391540527344,242.3000030517578,252.75,241.60000610351562,251.64999389648438,1388787,2023-07-17
2023-07-24,243.75086975097656,244.14999389648438,250.6999969482422,239.8000030517578,242.3000030517578,1891805,2023-07-24
2023-07-31,242.60276794433594,243.0,248.35000610351562,237.6999969482422,245.0,1277431,2023-07-31
2023-08-07,253.38510131835938,253.8000030517578,258.3999938964844,240.89999389648438,244.1999969482422,2977691,2023-08-07
2023-08-14,243.15187072753906,243.5500030517578,255.8000030517578,242.0,254.89999389648438,1647377,2023-08-14
2023-08-21,265.81475830078125,266.25,277.70001220703125,245.0,246.3000030517578,8654648,2023-08-21
2023-08-28,273.9015197753906,274.3500061035156,284.75,266.0,268.5,5574846,2023-08-28
2023-09-04,268.9096984863281,269.3500061035156,279.8500061035156,267.8999938964844,279.8500061035156,4756225,2023-09-04
2023-09-11,275.69854736328125,276.1499938964844,287.0,266.1000061035156,270.8999938964844,7328647,2023-09-11
2023-09-18,272.20428466796875,272.6499938964844,283.75,269.5,276.3500061035156,2880535,2023-09-18
2023-09-25,283.7945251464844,284.0,291.0,274.5,280.0,6460269,2023-09-25
2023-10-02,281.696044921875,281.8999938964844,288.5,278.3500061035156,284.0,3031626,2023-10-02
2023-10-09,279.6475524902344,279.8500061035156,286.5,277.0,281.79998779296875,3660501,2023-10-09
2023-10-16,274.6011657714844,274.79998779296875,284.95001220703125,271.5,279.8500061035156,4501415,2023-10-16
2023-10-23,263.50921630859375,263.70001220703125,277.54998779296875,256.0,274.8500061035156,3158572,2023-10-23
2023-10-30,267.7061767578125,267.8999938964844,269.6499938964844,257.5,263.70001220703125,2084230,2023-10-30
2023-11-06,264.4585266113281,264.6499938964844,271.79998779296875,260.20001220703125,269.0,2172562,2023-11-06
2023-11-13,281.5461730957031,281.75,286.0,262.20001220703125,267.45001220703125,7530626,2023-11-13
2023-11-20,288.04144287109375,288.25,305.5,279.6499938964844,282.6000061035156,11465296,2023-11-20
2023-11-27,285.39337158203125,285.6000061035156,296.8999938964844,285.0,288.25,3147567,2023-11-27
2023-12-04,267.5562744140625,267.75,289.70001220703125,265.1000061035156,287.0,7994633,2023-12-04
2023-12-11,269.65478515625,269.8500061035156,280.8999938964844,263.70001220703125,268.8999938964844,7055496,2023-12-11
2023-12-18,260.3115234375,260.5,274.3999938964844,251.85000610351562,270.1000061035156,3515739,2023-12-18
2023-12-25,256.26446533203125,256.45001220703125,268.5,254.6999969482422,260.5,3313293,2023-12-25
2024-01-01,265.1080627441406,265.29998779296875,267.29998779296875,256.8999938964844,257.04998779296875,5988655,2024-01-01
2024-01-08,261.6605529785156,261.8500061035156,267.0,255.8000030517578,266.95001220703125,3825883,2024-01-08
2024-01-15,261.6605529785156,261.8500061035156,264.6499938964844,248.75,262.0,6630822,2024-01-15
2024-01-22,262.9595947265625,263.1499938964844,275.25,258.1000061035156,261.8500061035156,2992283,2024-01-22
