Date,Adj Close_HIRECT.NS,Close_HIRECT.NS,High_HIRECT.NS,Low_HIRECT.NS,Open_HIRECT.NS,Volume_HIRECT.NS,Date
2023-02-20,195.823974609375,196.14999389648438,209.5,194.14999389648438,209.5,20888,2023-02-20
2023-02-27,196.17340087890625,196.5,199.85000610351562,186.35000610351562,195.5,15851,2023-02-27
2023-03-06,215.19174194335938,215.5500030517578,232.5,191.10000610351562,199.4499969482422,185308,2023-03-06
2023-03-13,202.36309814453125,202.6999969482422,228.6999969482422,202.0,224.0,40799,2023-03-13
2023-03-20,199.26824951171875,199.60000610351562,212.8000030517578,198.1999969482422,200.0500030517578,14348,2023-03-20
2023-03-27,193.427978515625,193.75,207.85000610351562,190.0,201.0,28095,2023-03-27
2023-04-03,206.95545959472656,207.3000030517578,212.9499969482422,193.0500030517578,199.89999389648438,8546,2023-04-03
2023-04-10,207.30487060546875,207.64999389648438,209.3000030517578,201.35000610351562,207.3000030517578,24077,2023-04-10
2023-04-17,205.65760803222656,206.0,212.3000030517578,200.0500030517578,212.0,22372,2023-04-17
2023-04-24,213.64431762695312,214.0,219.8000030517578,205.5500030517578,205.5500030517578,23934,2023-04-24
2023-05-01,221.1817626953125,221.5500030517578,240.3000030517578,211.0500030517578,214.0,121231,2023-05-01
2023-05-08,219.5844268798828,219.9499969482422,227.9499969482422,212.0500030517578,227.9499969482422,48478,2023-05-08
2023-05-15,217.53782653808594,217.89999389648438,224.0,210.5500030517578,224.0,48970,2023-05-15
2023-05-22,248.93556213378906,249.35000610351562,257.5,215.0,217.89999389648438,266159,2023-05-22
2023-05-29,283.6777038574219,284.1499938964844,321.95001220703125,235.60000610351562,249.35000610351562,948264,2023-05-29
2023-06-05,281.8807067871094,282.3500061035156,306.0,277.0,286.0,138379,2023-06-05
2023-06-12,299.5013732910156,300.0,303.0,280.0,282.0,61424,2023-06-12
2023-06-19,284.5762023925781,285.04998779296875,304.0,278.0,300.0,47577,2023-06-19
2023-06-26,309.6344909667969,310.1499938964844,329.1000061035156,281.8999938964844,285.25,71950,2023-06-26
2023-07-03,292.56292724609375,293.04998779296875,319.0,286.20001220703125,315.0,42761,2023-07-03
2023-07-10,293.76092529296875,294.25,299.8999938964844,281.0,290.0,15037,2023-07-10
2023-07-17,283.0787048339844,283.54998779296875,298.95001220703125,280.04998779296875,295.04998779296875,39204,2023-07-17
2023-07-24,291.81414794921875,292.29998779296875,295.0,276.0,283.54998779296875,29498,2023-07-24
2023-07-31,329.3516845703125,329.8999938964844,329.8999938964844,288.0,292.29998779296875,83534,2023-07-31
2023-08-07,340.9822998046875,341.54998779296875,342.75,310.54998779296875,333.29998779296875,99334,2023-08-07
2023-08-14,357.7044677734375,358.29998779296875,394.70001220703125,331.1000061035156,345.95001220703125,61753,2023-08-14
2023-08-21,354.95904541015625,355.54998779296875,372.0,343.0,368.3500061035156,22279,2023-08-21
2023-08-28,378.1703796386719,378.79998779296875,390.3999938964844,350.0,368.0,61878,2023-08-28
2023-09-04,355.4082946777344,356.0,378.79998779296875,349.5,371.25,17526,2023-09-04
2023-09-11,351.26519775390625,351.8500061035156,365.0,351.8500061035156,363.1000061035156,18726,2023-09-11
2023-09-18,347.1221008300781,347.70001220703125,362.0,347.70001220703125,355.0,12834,2023-09-18
2023-09-25,344.177001953125,344.75,349.0,337.0,349.0,14915,2023-09-25
2023-10-02,352.0139465332031,352.6000061035156,352.6000061035156,333.0,344.75,6179,2023-10-02
2023-10-09,378.3700866699219,379.0,384.0,342.0,352.6000061035156,33267,2023-10-09
2023-10-16,364.34344482421875,364.95001220703125,384.8999938964844,360.0,375.0,19342,2023-10-16
2023-10-23,467.5715637207031,468.3500061035156,479.8999938964844,344.04998779296875,344.04998779296875,432948,2023-10-23
2023-10-30,592.8629760742188,593.8499755859375,593.8499755859375,454.45001220703125,468.5,459358,2023-10-30
2023-11-06,631.997802734375,633.0499877929688,678.7999877929688,602.0999755859375,630.9500122070312,383868,2023-11-06
2023-11-13,615.275634765625,616.2999877929688,666.0,570.9000244140625,640.7999877929688,318454,2023-11-13
2023-11-20,639.7848510742188,640.8499755859375,710.0,611.1500244140625,619.9000244140625,188914,2023-11-20
2023-11-27,607.7880859375,608.7999877929688,654.0,601.0999755859375,640.8499755859375,90209,2023-11-27
2023-12-04,602.447021484375,603.4500122070312,635.9500122070312,600.0499877929688,609.9500122070312,85820,2023-12-04
2023-12-11,576.7897338867188,577.75,613.9500122070312,552.5,600.1500244140625,95602,2023-12-11
2023-12-18,551.0326538085938,551.9500122070312,590.75,523.0,590.75,87353,2023-12-18
2023-12-25,539.1024780273438,540.0,581.0,536.0999755859375,551.9500122070312,62086,2023-12-25
2024-01-01,561.1657104492188,562.0999755859375,581.9000244140625,512.0499877929688,539.9000244140625,81526,2024-01-01
2024-01-08,557.471923828125,558.4000244140625,590.0,528.0999755859375,564.4500122070312,93471,2024-01-08
2024-01-15,599.9013061523438,600.9000244140625,604.5499877929688,534.0499877929688,550.2999877929688,112431,2024-01-15
2024-01-22,571.398681640625,572.3499755859375,619.0,550.0,600.9000244140625,46946,2024-01-22
2024-01-29,577.9378662109375,578.9000244140625,609.7999877929688,552.4000244140625,574.0,59018,2024-01-29
2024-02-05,588.9195556640625,589.9000244140625,620.0,559.0499877929688,578.9000244140625,93011,2024-02-05
2024-02-12,558.7198486328125,559.6500244140625,596.0,534.0999755859375,593.7000122070312,51486,2024-02-12
2024-02-19,567.3055419921875,568.25,625.2999877929688,560.0499877929688,564.9500122070312,124301,2024-02-19
2024-02-26,757.2892456054688,758.5499877929688,758.5499877929688,542.0,590.0,1585894,2024-02-26
2024-03-04,683.012939453125,684.1500244140625,824.0,650.0,804.4000244140625,407148,2024-03-04
2024-03-11,591.1658325195312,592.1500244140625,690.0,551.0,673.0999755859375,284616,2024-03-11
2024-03-18,595.1591796875,596.1500244140625,614.0,553.0,592.1500244140625,252901,2024-03-18
2024-03-25,602.7465209960938,603.75,625.9500122070312,576.2999877929688,596.1500244140625,136431,2024-03-25
2024-04-01,653.4620971679688,654.5499877929688,681.5,595.0499877929688,623.8499755859375,117043,2024-04-01
2024-04-08,627.1558837890625,628.2000122070312,673.9500122070312,625.0,658.0499877929688,72370,2024-04-08
2024-04-15,736.1244506835938,737.3499755859375,737.3499755859375,595.0,601.0,167536,2024-04-15
2024-04-22,757.0895385742188,758.3499755859375,811.0499877929688,720.0,811.0499877929688,518978,2024-04-22
2024-04-29,714.0112915039062,715.2000122070312,774.9500122070312,701.0,767.0,91513,2024-04-29
2024-05-06,673.2291259765625,674.3499755859375,726.9000244140625,648.0,715.2000122070312,108423,2024-05-06
2024-05-13,727.3889770507812,728.5999755859375,734.9500122070312,647.5499877929688,673.75,87527,2024-05-13
2024-05-20,778.3541870117188,779.6500244140625,781.0999755859375,701.1500244140625,718.8499755859375,125837,2024-05-20
2024-05-27,687.605224609375,688.75,804.0,669.5999755859375,799.2000122070312,441532,2024-05-27
2024-06-03,668.6867065429688,669.7999877929688,722.0,596.0,722.0,213050,2024-06-03
2024-06-10,682.9130249023438,684.0499877929688,709.9500122070312,661.5499877929688,684.9000244140625,78738,2024-06-10
2024-06-17,681.066162109375,682.2000122070312,713.8499755859375,667.5499877929688,685.0,82836,2024-06-17
2024-06-24,671.83154296875,672.9500122070312,716.4000244140625,658.0,690.0499877929688,171974,2024-06-24
2024-07-01,709.9180908203125,711.0999755859375,715.0,672.0,676.0999755859375,92620,2024-07-01
2024-07-08,723.4954833984375,724.7000122070312,764.0,698.5499877929688,718.0,167629,2024-07-08
