Date,Adj Close_UNIVCABLES.NS,Close_UNIVCABLES.NS,High_UNIVCABLES.NS,Low_UNIVCABLES.NS,Open_UNIVCABLES.NS,Volume_UNIVCABLES.NS,Date
2024-07-22,872.4275512695312,875.4000244140625,910.0,766.0,850.0,265763,2024-07-22
2024-07-29,819.2000122070312,819.2000122070312,938.0,814.0,883.25,512294,2024-07-29
2024-08-05,753.0,753.0,815.4500122070312,713.3499755859375,810.0,984745,2024-08-05
2024-08-12,668.6500244140625,668.6500244140625,782.0,664.2000122070312,740.2000122070312,1225290,2024-08-12
2024-08-19,687.7000122070312,687.7000122070312,723.0499877929688,668.7000122070312,671.9500122070312,238861,2024-08-19
2024-08-26,714.1500244140625,714.1500244140625,740.0,672.0,687.75,626821,2024-08-26
2024-09-02,666.0499877929688,666.0499877929688,718.8499755859375,658.0999755859375,715.9500122070312,423763,2024-09-02
2024-09-09,723.1500244140625,723.1500244140625,732.0,647.2000122070312,675.9500122070312,711802,2024-09-09
2024-09-16,699.4500122070312,699.4500122070312,729.6500244140625,661.0,725.0,211064,2024-09-16
2024-09-23,679.6500244140625,679.6500244140625,800.0,668.5,705.0,241682,2024-09-23
2024-09-30,640.5499877929688,640.5499877929688,694.9000244140625,633.6500244140625,682.4000244140625,165448,2024-09-30
2024-10-07,655.7999877929688,655.7999877929688,664.7999877929688,598.0499877929688,649.8499755859375,119307,2024-10-07
2024-10-14,656.0,656.0,677.0,630.0499877929688,651.7999877929688,127090,2024-10-14
2024-10-21,632.5999755859375,632.5999755859375,680.9000244140625,615.0,662.5499877929688,144198,2024-10-21
2024-10-28,665.5499877929688,665.5499877929688,690.0,644.25,654.5,196238,2024-10-28
2024-11-04,650.5999755859375,650.5999755859375,693.4000244140625,645.0,665.5499877929688,104138,2024-11-04
2024-11-11,612.5,612.5,660.9000244140625,601.0,653.0999755859375,92841,2024-11-11
2024-11-18,591.0999755859375,591.0999755859375,623.0499877929688,588.0,614.2000122070312,54645,2024-11-18
2024-11-25,611.9500122070312,611.9500122070312,645.0,599.9500122070312,599.9500122070312,77912,2024-11-25
2024-12-02,616.3499755859375,616.3499755859375,632.0,605.7999877929688,616.9000244140625,86944,2024-12-02
2024-12-09,668.5499877929688,668.5499877929688,762.0,605.0,617.9000244140625,1349409,2024-12-09
2024-12-16,739.75,739.75,797.0,681.0999755859375,700.0,1057598,2024-12-16
2024-12-23,794.5,794.5,815.0,716.5999755859375,739.75,350320,2024-12-23
2024-12-30,810.0,810.0,861.0,794.9500122070312,808.0499877929688,525630,2024-12-30
2025-01-06,769.0999755859375,769.0999755859375,866.25,761.4500122070312,802.0,476317,2025-01-06
2025-01-13,748.0999755859375,748.0999755859375,773.9500122070312,715.5,752.5999755859375,171159,2025-01-13
2025-01-20,660.2000122070312,660.2000122070312,789.5,655.7999877929688,755.5499877929688,192379,2025-01-20
2025-01-27,657.5,657.5,664.75,565.5499877929688,643.6500244140625,182557,2025-01-27
2025-02-03,629.5,629.5,673.9500122070312,614.0,663.4000244140625,106722,2025-02-03
2025-02-10,531.8499755859375,531.8499755859375,641.2999877929688,523.4500122070312,640.7999877929688,245167,2025-02-10
2025-02-17,546.25,546.25,558.0,488.1000061035156,523.8499755859375,223887,2025-02-17
2025-02-24,499.54998779296875,499.54998779296875,589.75,477.75,540.0499877929688,334432,2025-02-24
2025-03-03,503.70001220703125,503.70001220703125,521.0,476.54998779296875,502.04998779296875,157001,2025-03-03
2025-03-10,464.8500061035156,464.8500061035156,504.8999938964844,458.54998779296875,502.1000061035156,143396,2025-03-10
2025-03-17,509.8500061035156,509.8500061035156,514.9000244140625,457.70001220703125,475.0,305554,2025-03-17
